Vendor ID,Vendor,Type,Num,Date,Due Date,Currency,Current,1 - 30,31 - 60,61 - 90,> 90,Open Balance (USD)
V-1080,Mt. Hood Berry Farm,Bill,B-21328,12/15/2025,01/14/2026,USD,"10,765.21",,,,,"10,765.21"
V-1080,Mt. Hood Berry Farm,Bill,B-20501,12/22/2025,01/21/2026,USD,"13,075.67",,,,,"13,075.67"
V-1119,Cowlitz Creek Farms,Bill,B-20834,12/17/2025,01/01/2026,USD,"11,282.31",,,,,"11,282.31"
V-1120,Columbia River Freightways,Bill,B-20111,12/17/2025,01/16/2026,USD,"2,641.85",,,,,"2,641.85"
V-1120,Columbia River Freightways,Bill,B-20275,12/18/2025,01/17/2026,USD,"1,691.67",,,,,"1,691.67"
V-1124,Coos Bay Crab Co.,Bill,B-21168,12/11/2025,01/10/2026,USD,"5,952.68",,,,,"5,952.68"
V-1124,Coos Bay Crab Co.,Bill,B-21359,12/29/2025,01/28/2026,USD,"6,233.95",,,,,"6,233.95"
V-1127,Nooksack Berry Growers,Bill,B-20518,12/19/2025,01/03/2026,USD,"13,031.60",,,,,"13,031.60"
V-1127,Nooksack Berry Growers,Bill,B-20940,12/19/2025,01/03/2026,USD,"9,170.91",,,,,"9,170.91"
V-1128,Yakima Hop & Herb,Bill,B-21392,12/12/2025,01/11/2026,USD,"11,437.23",,,,,"11,437.23"
V-1128,Yakima Hop & Herb,Bill,B-20836,12/19/2025,01/18/2026,USD,"15,060.74",,,,,"15,060.74"
V-1136,Hells Canyon Honey,Bill,B-20262,12/15/2025,01/14/2026,USD,"11,303.18",,,,,"11,303.18"
V-1136,Hells Canyon Honey,Bill,B-21343,12/23/2025,01/22/2026,USD,"15,348.83",,,,,"15,348.83"
V-1142,Umatilla Specialty Produce,Bill,B-20815,12/19/2025,01/18/2026,USD,"5,995.27",,,,,"5,995.27"
V-1142,Umatilla Specialty Produce,Bill,B-21266,12/29/2025,01/28/2026,USD,"14,155.18",,,,,"14,155.18"
V-1147,Oregon Coast Seafood Traders,Bill,B-20094,12/29/2025,01/28/2026,USD,"5,841.33",,,,,"5,841.33"
V-1151,Walla Walla Onion Growers,Bill,B-20298,12/22/2025,01/21/2026,USD,"10,450.76",,,,,"10,450.76"
V-1151,Walla Walla Onion Growers,Bill,B-21138,12/25/2025,01/24/2026,USD,"11,214.25",,,,,"11,214.25"
V-1173,Nisqually Salmon Co.,Bill,B-20884,12/08/2025,01/07/2026,USD,"9,246.62",,,,,"9,246.62"
V-1173,Nisqually Salmon Co.,Bill,B-21190,12/17/2025,01/16/2026,USD,"8,642.47",,,,,"8,642.47"
V-1193,Chehalis Valley Eggs,Bill,B-21538,12/09/2025,01/08/2026,USD,"7,615.80",,,,,"7,615.80"
V-1193,Chehalis Valley Eggs,Bill,B-20178,12/19/2025,01/18/2026,USD,"8,979.66",,,,,"8,979.66"
V-1200,Yamhill Charcuterie,Bill,B-21259,12/29/2025,01/28/2026,USD,"6,941.21",,,,,"6,941.21"
V-1204,Northwest Reefer Transport,Bill,B-20886,12/19/2025,01/18/2026,USD,"3,696.71",,,,,"3,696.71"
V-1204,Northwest Reefer Transport,Bill,B-20300,12/26/2025,01/25/2026,USD,"3,110.62",,,,,"3,110.62"
V-1205,Methow Valley Apples,Bill,B-20153,12/23/2025,01/07/2026,USD,"4,834.32",,,,,"4,834.32"
V-1205,Methow Valley Apples,Bill,B-20292,12/29/2025,01/13/2026,USD,"5,420.97",,,,,"5,420.97"
V-1206,Pend Oreille Wild Rice,Bill,B-20071,12/17/2025,01/16/2026,USD,"14,726.06",,,,,"14,726.06"
V-1206,Pend Oreille Wild Rice,Bill,B-21300,12/17/2025,01/16/2026,USD,"6,788.35",,,,,"6,788.35"
V-1209,Sound Cartage Co.,Bill,B-21047,12/22/2025,01/21/2026,USD,"1,576.89",,,,,"1,576.89"
V-1209,Sound Cartage Co.,Bill,B-21496,12/22/2025,01/21/2026,USD,"1,176.60",,,,,"1,176.60"
V-1216,Chinook Smokehouse Co.,Bill,B-21274,12/10/2025,01/09/2026,USD,"5,918.74",,,,,"5,918.74"
V-1216,Chinook Smokehouse Co.,Bill,B-20517,12/15/2025,01/14/2026,USD,"10,398.04",,,,,"10,398.04"
V-1220,Treasure Valley Trucking,Bill,B-20701,12/15/2025,01/14/2026,USD,"1,969.34",,,,,"1,969.34"
V-1220,Treasure Valley Trucking,Bill,B-21298,12/18/2025,01/17/2026,USD,"3,311.82",,,,,"3,311.82"
V-1223,Malheur Onion Co.,Bill,B-20436,12/12/2025,01/11/2026,USD,"9,945.83",,,,,"9,945.83"
V-1223,Malheur Onion Co.,Bill,B-21142,12/23/2025,01/22/2026,USD,"11,506.30",,,,,"11,506.30"
V-1224,Siuslaw Cranberry Growers,Bill,B-20857,12/22/2025,01/21/2026,USD,"13,692.32",,,,,"13,692.32"
V-1226,Skagit Valley Grains,Bill,B-20133,12/17/2025,01/16/2026,USD,"6,520.07",,,,,"6,520.07"
V-1227,Blue Mountain Carriers,Bill,B-20511,12/23/2025,01/22/2026,USD,"2,086.35",,,,,"2,086.35"
V-1233,Lummi Bay Seafood,Bill,B-20418,12/15/2025,01/14/2026,USD,"12,871.67",,,,,"12,871.67"
V-1235,Bitterroot Bakehouse Supply,Bill,B-21337,12/16/2025,01/15/2026,USD,"7,623.31",,,,,"7,623.31"
V-1236,Kittitas Hay & Grain,Bill,B-21180,12/15/2025,12/30/2025,USD,,"6,856.47",,,,"6,856.47"
V-1236,Kittitas Hay & Grain,Bill,B-20739,12/18/2025,01/02/2026,USD,"4,869.48",,,,,"4,869.48"
V-1237,McKenzie River Mills,Bill,B-20371,12/16/2025,01/15/2026,USD,"4,405.17",,,,,"4,405.17"
V-1237,McKenzie River Mills,Bill,B-20396,12/22/2025,01/21/2026,USD,"13,314.07",,,,,"13,314.07"
V-1239,Newberg Nut Growers,Bill,B-20535,12/24/2025,01/23/2026,USD,"5,255.37",,,,,"5,255.37"
V-1239,Newberg Nut Growers,Bill,B-20170,12/25/2025,01/24/2026,USD,"5,962.32",,,,,"5,962.32"
V-1242,Teton Valley Trout,Bill,B-20951,12/09/2025,01/08/2026,USD,"4,161.25",,,,,"4,161.25"
V-1251,Payette Valley Beef,Bill,B-21313,12/09/2025,01/08/2026,USD,"11,665.87",,,,,"11,665.87"
V-1251,Payette Valley Beef,Bill,B-20187,12/15/2025,01/14/2026,USD,"4,719.82",,,,,"4,719.82"
V-1252,Snake River Trout Farms,Bill,B-20614,12/22/2025,01/21/2026,USD,"13,654.44",,,,,"13,654.44"
V-1252,Snake River Trout Farms,Bill,B-21206,12/22/2025,01/21/2026,USD,"14,026.09",,,,,"14,026.09"
V-1255,Coquille Dairy Cooperative,Bill,B-20449,12/22/2025,01/21/2026,USD,"5,468.04",,,,,"5,468.04"
V-1266,Silvies River Lamb,Bill,B-21437,12/16/2025,01/15/2026,USD,"14,434.17",,,,,"14,434.17"
V-1266,Silvies River Lamb,Bill,B-21334,12/19/2025,01/18/2026,USD,"10,115.45",,,,,"10,115.45"
V-1270,Santiam Canning Co.,Bill,B-21214,12/22/2025,01/06/2026,USD,"9,292.03",,,,,"9,292.03"
V-1274,Olympic Peninsula Mushrooms,Bill,B-20646,12/08/2025,12/23/2025,USD,,"6,814.52",,,,"6,814.52"
V-1274,Olympic Peninsula Mushrooms,Bill,B-21390,12/29/2025,01/13/2026,USD,"10,269.45",,,,,"10,269.45"
V-1279,Willamette Valley Creamery,Bill,B-20347,12/29/2025,01/28/2026,USD,"7,555.97",,,,,"7,555.97"
V-1280,Grande Ronde Poultry,Bill,B-20342,12/23/2025,01/07/2026,USD,"14,251.50",,,,,"14,251.50"
V-1280,Grande Ronde Poultry,Bill,B-20403,12/29/2025,01/13/2026,USD,"7,635.68",,,,,"7,635.68"
V-1281,Boardman Tree Fruit,Bill,B-20571,12/10/2025,01/09/2026,USD,"12,754.27",,,,,"12,754.27"
V-1281,Boardman Tree Fruit,Bill,B-20163,12/11/2025,01/10/2026,USD,"10,910.31",,,,,"10,910.31"
V-1284,Hood Canal Oyster Co.,Bill,B-20600,12/15/2025,01/14/2026,USD,"6,073.06",,,,,"6,073.06"
V-1288,Wallowa Grass-Fed Beef,Bill,B-20902,12/11/2025,01/10/2026,USD,"8,868.25",,,,,"8,868.25"
V-1289,Blue Heron Preserves,Bill,B-20832,12/19/2025,01/03/2026,USD,"8,671.25",,,,,"8,671.25"
V-1290,Columbia Gorge Orchards,Bill,B-20360,12/15/2025,01/14/2026,USD,"11,063.35",,,,,"11,063.35"
V-1290,Columbia Gorge Orchards,Bill,B-20038,12/19/2025,01/18/2026,USD,"10,340.97",,,,,"10,340.97"
V-1291,Palouse Lentil Growers,Bill,B-20851,12/17/2025,01/01/2026,USD,"6,757.39",,,,,"6,757.39"
V-1292,Hermiston Melon Farms,Bill,B-21227,12/09/2025,12/24/2025,USD,,"4,793.81",,,,"4,793.81"
V-1294,Umpqua Oat Mill,Bill,B-21046,12/11/2025,01/10/2026,USD,"5,961.75",,,,,"5,961.75"
V-1294,Umpqua Oat Mill,Bill,B-20289,12/29/2025,01/28/2026,USD,"10,529.88",,,,,"10,529.88"
,TOTAL,,,,,,"717,008.21","18,464.80",0.00,0.00,0.00,"735,473.01"
