Account,Account Description,Date,Period,Type,Num,Line,Doc No,Name ID,Name,Memo,Debit,Credit,Currency,Foreign Amount,Reversal Of
1010,Operating Account - First Cascade 4471,01/07/2026,01/2026,Payment,JE-CR-31263,1,PMT-31263,,,,"1,699.41",,USD,,
1010,Operating Account - First Cascade 4471,01/07/2026,01/2026,Payment,JE-CR-31264,1,PMT-31264,,,,"1,868.44",,USD,,
1010,Operating Account - First Cascade 4471,01/07/2026,01/2026,Payment,JE-CR-31265,1,PMT-31265,,,,"2,476.93",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7378,2,PAY-D-7378,,,Check 40109,,"3,013.46",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7379,2,PAY-D-7379,,,Check 40110,,"3,886.60",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7380,2,PAY-D-7380,,,Check 40111,,"13,627.78",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7381,2,PAY-D-7381,,,,,"7,605.70",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7382,2,PAY-D-7382,,,,,"10,765.21",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7383,2,PAY-D-7383,,,,,"11,282.31",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7384,2,PAY-D-7384,,,Check 40112,,"5,952.68",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7385,3,PAY-D-7385,,,,,"22,202.51",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7386,2,PAY-D-7386,,,,,"11,437.23",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7387,2,PAY-D-7387,,,Check 40113,,"11,303.18",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7388,2,PAY-D-7388,,,Check 40114,,"9,246.62",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7389,2,PAY-D-7389,,,,,"7,615.80",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7390,3,PAY-D-7390,,,,,"10,255.29",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7391,3,PAY-D-7391,,,,,"16,316.78",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7392,2,PAY-D-7392,,,,,"1,969.34",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7393,2,PAY-D-7393,,,Check 40115,,"9,945.83",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7394,2,PAY-D-7394,,,,,"12,871.67",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7395,3,PAY-D-7395,,,Check 40116,,"11,725.95",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7396,2,PAY-D-7396,,,,,"4,161.25",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7397,3,PAY-D-7397,,,,,"16,385.69",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7398,2,PAY-D-7398,,,Check 40117,,"9,292.03",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7399,3,PAY-D-7399,,,Check 40118,,"17,083.97",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7400,3,PAY-D-7400,,,Check 40119,,"21,887.18",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7401,3,PAY-D-7401,,,,,"23,664.58",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7402,2,PAY-D-7402,,,,,"6,073.06",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7403,2,PAY-D-7403,,,,,"8,868.25",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -Check,JE-CD-7404,2,PAY-D-7404,,,Check 40120,,"8,671.25",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7405,2,PAY-D-7405,,,,,"11,063.35",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7406,2,PAY-D-7406,,,,,"6,757.39",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7407,2,PAY-D-7407,,,,,"4,793.81",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Bill Pmt -ACH,JE-CD-7408,2,PAY-D-7408,,,,,"5,961.75",USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31266,1,PMT-31266,,,,"2,851.99",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31267,1,PMT-31267,,,,"3,529.77",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31268,1,PMT-31268,,,,"22,982.46",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31269,1,PMT-31269,,,,"3,227.86",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31270,1,PMT-31270,,,,"1,118.19",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31271,1,PMT-31271,,,,"27,626.10",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31272,1,PMT-31272,,,,"12,339.91",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31273,1,PMT-31273,,,,"2,525.93",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31274,1,PMT-31274,,,,"3,271.05",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31275,1,PMT-31275,,,,"2,224.26",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31276,1,PMT-31276,,,,"21,035.01",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31277,1,PMT-31277,,,,"2,141.60",,USD,,
1010,Operating Account - First Cascade 4471,01/08/2026,01/2026,Payment,JE-CR-31278,1,PMT-31278,,,,"16,033.40",,USD,,
1010,Operating Account - First Cascade 4471,01/09/2026,01/2026,General Journal,JE-2026-0027,3,,,,,,"6,326.20",USD,,
1010,Operating Account - First Cascade 4471,01/09/2026,01/2026,Payment,JE-CR-31279,1,PMT-31279,,,,"15,991.86",,USD,,
1010,Operating Account - First Cascade 4471,01/09/2026,01/2026,Payment,JE-CR-31280,1,PMT-31280,,,,"3,225.33",,USD,,
1010,Operating Account - First Cascade 4471,01/09/2026,01/2026,Payment,JE-CR-31281,1,PMT-31281,,,,"21,180.62",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31282,1,PMT-31282,,,,"1,814.84",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31283,1,PMT-31283,,,,"11,070.08",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31284,1,PMT-31284,,,,"1,361.95",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31285,1,PMT-31285,,,,"17,381.87",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31286,1,PMT-31286,,,,"21,368.66",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31287,1,PMT-31287,,,,"2,044.03",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31288,1,PMT-31288,,,,"1,516.99",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31289,1,PMT-31289,,,,"22,257.49",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31290,1,PMT-31290,,,,"1,518.35",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31291,1,PMT-31291,,,,"3,461.44",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31292,1,PMT-31292,,,,"12,011.91",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31293,1,PMT-31293,,,,"15,415.38",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31294,1,PMT-31294,,,,"3,748.06",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31295,1,PMT-31295,,,,"1,830.73",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31296,1,PMT-31296,,,,"1,922.99",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31297,1,PMT-31297,,,,"12,652.18",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31298,1,PMT-31298,,,,"3,299.21",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31299,1,PMT-31299,,,,"1,449.33",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31300,1,PMT-31300,,,,"24,680.05",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31301,1,PMT-31301,,,,"1,847.44",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31302,1,PMT-31302,,,,"2,300.54",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31303,1,PMT-31303,,,,"13,992.68",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31304,1,PMT-31304,,,,"28,574.96",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31305,1,PMT-31305,,,,"14,880.52",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31306,1,PMT-31306,,,,"19,779.29",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31307,1,PMT-31307,,,,"16,478.73",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31308,1,PMT-31308,,,,"3,292.47",,USD,,
1010,Operating Account - First Cascade 4471,01/12/2026,01/2026,Payment,JE-CR-31309,1,PMT-31309,,,,"11,895.59",,USD,,
1010,Operating Account - First Cascade 4471,01/13/2026,01/2026,Payment,JE-CR-31310,1,PMT-31310,,,,"2,609.75",,USD,,
1010,Operating Account - First Cascade 4471,01/13/2026,01/2026,Payment,JE-CR-31311,1,PMT-31311,,,,"24,744.11",,USD,,
1010,Operating Account - First Cascade 4471,01/13/2026,01/2026,Payment,JE-CR-31312,1,PMT-31312,,,,"18,008.51",,USD,,
1010,Operating Account - First Cascade 4471,01/14/2026,01/2026,Payment,JE-CR-31313,1,PMT-31313,,,,"1,501.38",,USD,,
1010,Operating Account - First Cascade 4471,01/14/2026,01/2026,Payment,JE-CR-31314,1,PMT-31314,,,,"3,336.33",,USD,,
1010,Operating Account - First Cascade 4471,01/14/2026,01/2026,Payment,JE-CR-31315,1,PMT-31315,,,,"2,434.19",,USD,,
1010,Operating Account - First Cascade 4471,01/14/2026,01/2026,Payment,JE-CR-31316,1,PMT-31316,,,,"3,626.31",,USD,,
1010,Operating Account - First Cascade 4471,01/14/2026,01/2026,Payment,JE-CR-31317,1,PMT-31317,,,,"1,634.93",,USD,,
1010,Operating Account - First Cascade 4471,01/14/2026,01/2026,Payment,JE-CR-31318,1,PMT-31318,,,,"2,744.02",,USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,General Journal,JE-2026-0055,6,,,,Payroll funding,,"162,865.84",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7409,3,PAY-D-7409,,,,,"26,029.43",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -Check,JE-CD-7410,2,PAY-D-7410,,,Check 40121,,"10,441.53",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7411,3,PAY-D-7411,,,,,"21,004.01",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7412,2,PAY-D-7412,,,,,"13,075.67",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7413,2,PAY-D-7413,,,,,"13,965.35",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7414,3,PAY-D-7414,,,,,"4,333.52",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7415,2,PAY-D-7415,,,,,"9,984.38",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7416,2,PAY-D-7416,,,,,"15,060.74",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -Check,JE-CD-7417,2,PAY-D-7417,,,Check 40122,,"5,995.27",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7418,2,PAY-D-7418,,,,,"10,450.76",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -Check,JE-CD-7419,2,PAY-D-7419,,,Check 40123,,"8,642.47",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7420,2,PAY-D-7420,,,,,"8,979.66",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7421,2,PAY-D-7421,,,,,"3,696.71",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7422,2,PAY-D-7422,,,,,"10,961.48",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -Check,JE-CD-7423,3,PAY-D-7423,,,Check 40124,,"21,514.41",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7424,3,PAY-D-7424,,,,,"2,753.49",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7425,2,PAY-D-7425,,,,,"3,311.82",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7426,2,PAY-D-7426,,,,,"13,692.32",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -Check,JE-CD-7427,2,PAY-D-7427,,,Check 40125,,"6,520.07",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7428,2,PAY-D-7428,,,,,"7,623.31",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7429,3,PAY-D-7429,,,,,"17,719.24",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7430,3,PAY-D-7430,,,,,"27,680.53",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7431,2,PAY-D-7431,,,,,"5,468.04",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -Check,JE-CD-7432,3,PAY-D-7432,,,Check 40126,,"24,549.62",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -Check,JE-CD-7433,2,PAY-D-7433,,,Check 40127,,"9,690.36",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -Check,JE-CD-7434,2,PAY-D-7434,,,Check 40128,,"14,115.71",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -Check,JE-CD-7435,2,PAY-D-7435,,,Check 40129,,"8,509.11",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7436,2,PAY-D-7436,,,,,"10,340.97",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7437,2,PAY-D-7437,,,,,"15,444.69",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Bill Pmt -ACH,JE-CD-7438,2,PAY-D-7438,,,,,"6,972.18",USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Payment,JE-CR-31319,1,PMT-31319,,,,"24,120.85",,USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Payment,JE-CR-31320,1,PMT-31320,,,,"1,870.53",,USD,,
1010,Operating Account - First Cascade 4471,01/15/2026,01/2026,Payment,JE-CR-31321,1,PMT-31321,,,,"22,488.49",,USD,,
1010,Operating Account - First Cascade 4471,01/16/2026,01/2026,Payment,JE-CR-31322,1,PMT-31322,,,,"14,062.61",,USD,,
1010,Operating Account - First Cascade 4471,01/16/2026,01/2026,Payment,JE-CR-31323,1,PMT-31323,,,,"3,010.78",,USD,,
1010,Operating Account - First Cascade 4471,01/16/2026,01/2026,Payment,JE-CR-31324,1,PMT-31324,,,,"25,975.29",,USD,,
1010,Operating Account - First Cascade 4471,01/16/2026,01/2026,Payment,JE-CR-31325,1,PMT-31325,,,,"16,079.74",,USD,,
1010,Operating Account - First Cascade 4471,01/16/2026,01/2026,Payment,JE-CR-31326,1,PMT-31326,,,,"25,069.42",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31327,1,PMT-31327,,,,"1,583.62",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31328,1,PMT-31328,,,,"2,529.64",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31329,1,PMT-31329,,,,"25,533.85",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31330,1,PMT-31330,,,,"28,391.28",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31331,1,PMT-31331,,,,"11,661.91",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31332,1,PMT-31332,,,,778.29,,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31333,1,PMT-31333,,,,"16,708.78",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31334,1,PMT-31334,,,,"1,466.70",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31335,1,PMT-31335,,,,"3,812.89",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31336,1,PMT-31336,,,,"1,293.22",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31337,1,PMT-31337,,,,"11,542.68",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31338,1,PMT-31338,,,,863.93,,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31339,1,PMT-31339,,,,"3,242.64",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31340,1,PMT-31340,,,,"1,876.35",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31341,1,PMT-31341,,,,"25,057.19",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31342,1,PMT-31342,,,,"2,076.85",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31343,1,PMT-31343,,,,"27,887.86",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31344,1,PMT-31344,,,,"21,040.73",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31345,1,PMT-31345,,,,"19,905.22",,USD,,
1010,Operating Account - First Cascade 4471,01/19/2026,01/2026,Payment,JE-CR-31346,1,PMT-31346,,,,"23,421.31",,USD,,
1010,Operating Account - First Cascade 4471,01/20/2026,01/2026,Payment,JE-CR-31347,1,PMT-31347,,,,"12,453.02",,USD,,
1010,Operating Account - First Cascade 4471,01/20/2026,01/2026,Payment,JE-CR-31348,1,PMT-31348,,,,"1,981.70",,USD,,
1010,Operating Account - First Cascade 4471,01/20/2026,01/2026,Payment,JE-CR-31349,1,PMT-31349,,,,"12,453.75",,USD,,
1010,Operating Account - First Cascade 4471,01/20/2026,01/2026,Payment,JE-CR-31350,1,PMT-31350,,,,"3,434.88",,USD,,
1010,Operating Account - First Cascade 4471,01/21/2026,01/2026,Payment,JE-CR-31351,1,PMT-31351,,,,"28,235.12",,USD,,
1010,Operating Account - First Cascade 4471,01/21/2026,01/2026,Payment,JE-CR-31352,1,PMT-31352,,,,"3,600.10",,USD,,
1010,Operating Account - First Cascade 4471,01/21/2026,01/2026,Payment,JE-CR-31353,1,PMT-31353,,,,"24,793.84",,USD,,
1010,Operating Account - First Cascade 4471,01/21/2026,01/2026,Payment,JE-CR-31354,1,PMT-31354,,,,"1,842.72",,USD,,
1010,Operating Account - First Cascade 4471,01/21/2026,01/2026,Payment,JE-CR-31355,1,PMT-31355,,,,"2,321.36",,USD,,
