Payment No,Type,Date,Name ID,Name,Method,Check/Ref No,Currency,Amount,Exchange Rate,Amount (USD),Applied To,Applied Amount,Unapplied
PAY-D-7391,Bill Payment,01/08/2026,V-1216,Chinook Smokehouse Co.,ACH,970285804340982,USD,"16,316.78",1.0000,"16,316.78",B-20517,"10,398.04",
PAY-D-7392,Bill Payment,01/08/2026,V-1220,Treasure Valley Trucking,ACH,827544462426334,USD,"1,969.34",1.0000,"1,969.34",B-20701,"1,969.34",0.00
PAY-D-7393,Bill Payment,01/08/2026,V-1223,Malheur Onion Co.,CHECK,40115,USD,"9,945.83",1.0000,"9,945.83",B-20436,"9,945.83",0.00
PAY-D-7394,Bill Payment,01/08/2026,V-1233,Lummi Bay Seafood,ACH,652323992730458,USD,"12,871.67",1.0000,"12,871.67",B-20418,"12,871.67",0.00
PAY-D-7395,Bill Payment,01/08/2026,V-1236,Kittitas Hay & Grain,CHECK,40116,USD,"11,725.95",1.0000,"11,725.95",B-21180,"6,856.47",0.00
PAY-D-7395,Bill Payment,01/08/2026,V-1236,Kittitas Hay & Grain,CHECK,40116,USD,"11,725.95",1.0000,"11,725.95",B-20739,"4,869.48",
PAY-D-7396,Bill Payment,01/08/2026,V-1242,Teton Valley Trout,ACH,824357992050415,USD,"4,161.25",1.0000,"4,161.25",B-20951,"4,161.25",0.00
PAY-D-7397,Bill Payment,01/08/2026,V-1251,Payette Valley Beef,ACH,152002098539065,USD,"16,385.69",1.0000,"16,385.69",B-21313,"11,665.87",0.00
PAY-D-7397,Bill Payment,01/08/2026,V-1251,Payette Valley Beef,ACH,152002098539065,USD,"16,385.69",1.0000,"16,385.69",B-20187,"4,719.82",
PAY-D-7398,Bill Payment,01/08/2026,V-1270,Santiam Canning Co.,CHECK,40117,USD,"9,292.03",1.0000,"9,292.03",B-21214,"9,292.03",0.00
PAY-D-7399,Bill Payment,01/08/2026,V-1274,Olympic Peninsula Mushrooms,CHECK,40118,USD,"17,083.97",1.0000,"17,083.97",B-20646,"6,814.52",0.00
PAY-D-7399,Bill Payment,01/08/2026,V-1274,Olympic Peninsula Mushrooms,CHECK,40118,USD,"17,083.97",1.0000,"17,083.97",B-21390,"10,269.45",
PAY-D-7400,Bill Payment,01/08/2026,V-1280,Grande Ronde Poultry,CHECK,40119,USD,"21,887.18",1.0000,"21,887.18",B-20342,"14,251.50",0.00
PAY-D-7400,Bill Payment,01/08/2026,V-1280,Grande Ronde Poultry,CHECK,40119,USD,"21,887.18",1.0000,"21,887.18",B-20403,"7,635.68",
PAY-D-7401,Bill Payment,01/08/2026,V-1281,Boardman Tree Fruit,ACH,114929259790686,USD,"23,664.58",1.0000,"23,664.58",B-20571,"12,754.27",0.00
PAY-D-7401,Bill Payment,01/08/2026,V-1281,Boardman Tree Fruit,ACH,114929259790686,USD,"23,664.58",1.0000,"23,664.58",B-20163,"10,910.31",
PAY-D-7402,Bill Payment,01/08/2026,V-1284,Hood Canal Oyster Co.,ACH,731701672531483,USD,"6,073.06",1.0000,"6,073.06",B-20600,"6,073.06",0.00
PAY-D-7403,Bill Payment,01/08/2026,V-1288,Wallowa Grass-Fed Beef,ACH,878195903059608,USD,"8,868.25",1.0000,"8,868.25",B-20902,"8,868.25",0.00
PAY-D-7404,Bill Payment,01/08/2026,V-1289,Blue Heron Preserves,CHECK,40120,USD,"8,671.25",1.0000,"8,671.25",B-20832,"8,671.25",0.00
PAY-D-7405,Bill Payment,01/08/2026,V-1290,Columbia Gorge Orchards,ACH,827592443978140,USD,"11,063.35",1.0000,"11,063.35",B-20360,"11,063.35",0.00
PAY-D-7406,Bill Payment,01/08/2026,V-1291,Palouse Lentil Growers,ACH,988685909567338,USD,"6,757.39",1.0000,"6,757.39",B-20851,"6,757.39",0.00
PAY-D-7407,Bill Payment,01/08/2026,V-1292,Hermiston Melon Farms,ACH,194376934651107,USD,"4,793.81",1.0000,"4,793.81",B-21227,"4,793.81",0.00
PAY-D-7408,Bill Payment,01/08/2026,V-1294,Umpqua Oat Mill,ACH,821873518717657,USD,"5,961.75",1.0000,"5,961.75",B-21046,"5,961.75",0.00
PAY-D-7409,Bill Payment,01/15/2026,V-1015,Deschutes Brewing Supply Co-op,ACH,890968458507050,USD,"26,029.43",1.0000,"26,029.43",B-20810,"11,793.60",0.00
PAY-D-7409,Bill Payment,01/15/2026,V-1015,Deschutes Brewing Supply Co-op,ACH,890968458507050,USD,"26,029.43",1.0000,"26,029.43",B-20191,"14,235.83",
PAY-D-7410,Bill Payment,01/15/2026,V-1074,Scappoose Organic Farms,CHECK,40121,USD,"10,441.53",1.0000,"10,441.53",B-21183,"10,441.53",0.00
PAY-D-7411,Bill Payment,01/15/2026,V-1077,Puget Sound Shellfish Co.,ACH,123151309676672,USD,"21,004.01",1.0000,"21,004.01",B-20082,"14,167.78",0.00
PAY-D-7411,Bill Payment,01/15/2026,V-1077,Puget Sound Shellfish Co.,ACH,123151309676672,USD,"21,004.01",1.0000,"21,004.01",B-20142,"6,836.23",
PAY-D-7412,Bill Payment,01/15/2026,V-1080,Mt. Hood Berry Farm,ACH,485117584514317,USD,"13,075.67",1.0000,"13,075.67",B-20501,"13,075.67",0.00
PAY-D-7413,Bill Payment,01/15/2026,V-1119,Cowlitz Creek Farms,ACH,018752749210403,USD,"13,965.35",1.0000,"13,965.35",B-20713,"13,965.35",0.00
PAY-D-7414,Bill Payment,01/15/2026,V-1120,Columbia River Freightways,ACH,672832390006028,USD,"4,333.52",1.0000,"4,333.52",B-20111,"2,641.85",0.00
PAY-D-7414,Bill Payment,01/15/2026,V-1120,Columbia River Freightways,ACH,672832390006028,USD,"4,333.52",1.0000,"4,333.52",B-20275,"1,691.67",
PAY-D-7415,Bill Payment,01/15/2026,V-1127,Nooksack Berry Growers,ACH,683816074868270,USD,"9,984.38",1.0000,"9,984.38",B-20812,"9,984.38",0.00
PAY-D-7416,Bill Payment,01/15/2026,V-1128,Yakima Hop & Herb,ACH,758409921436182,USD,"15,060.74",1.0000,"15,060.74",B-20836,"15,060.74",0.00
PAY-D-7417,Bill Payment,01/15/2026,V-1142,Umatilla Specialty Produce,CHECK,40122,USD,"5,995.27",1.0000,"5,995.27",B-20815,"5,995.27",0.00
PAY-D-7418,Bill Payment,01/15/2026,V-1151,Walla Walla Onion Growers,ACH,878640463846208,USD,"10,450.76",1.0000,"10,450.76",B-20298,"10,450.76",0.00
PAY-D-7419,Bill Payment,01/15/2026,V-1173,Nisqually Salmon Co.,CHECK,40123,USD,"8,642.47",1.0000,"8,642.47",B-21190,"8,642.47",0.00
PAY-D-7420,Bill Payment,01/15/2026,V-1193,Chehalis Valley Eggs,ACH,983689103696216,USD,"8,979.66",1.0000,"8,979.66",B-20178,"8,979.66",0.00
PAY-D-7421,Bill Payment,01/15/2026,V-1204,Northwest Reefer Transport,ACH,855491862316825,USD,"3,696.71",1.0000,"3,696.71",B-20886,"3,696.71",0.00
PAY-D-7422,Bill Payment,01/15/2026,V-1205,Methow Valley Apples,ACH,756141588912332,USD,"10,961.48",1.0000,"10,961.48",B-20443,"10,961.48",0.00
PAY-D-7423,Bill Payment,01/15/2026,V-1206,Pend Oreille Wild Rice,CHECK,40124,USD,"21,514.41",1.0000,"21,514.41",B-20071,"14,726.06",0.00
PAY-D-7423,Bill Payment,01/15/2026,V-1206,Pend Oreille Wild Rice,CHECK,40124,USD,"21,514.41",1.0000,"21,514.41",B-21300,"6,788.35",
PAY-D-7424,Bill Payment,01/15/2026,V-1209,Sound Cartage Co.,ACH,520684365889961,USD,"2,753.49",1.0000,"2,753.49",B-21047,"1,576.89",0.00
PAY-D-7424,Bill Payment,01/15/2026,V-1209,Sound Cartage Co.,ACH,520684365889961,USD,"2,753.49",1.0000,"2,753.49",B-21496,"1,176.60",
PAY-D-7425,Bill Payment,01/15/2026,V-1220,Treasure Valley Trucking,ACH,946513707856085,USD,"3,311.82",1.0000,"3,311.82",B-21298,"3,311.82",0.00
PAY-D-7426,Bill Payment,01/15/2026,V-1224,Siuslaw Cranberry Growers,ACH,608486024066481,USD,"13,692.32",1.0000,"13,692.32",B-20857,"13,692.32",0.00
PAY-D-7427,Bill Payment,01/15/2026,V-1226,Skagit Valley Grains,CHECK,40125,USD,"6,520.07",1.0000,"6,520.07",B-20133,"6,520.07",0.00
PAY-D-7428,Bill Payment,01/15/2026,V-1235,Bitterroot Bakehouse Supply,ACH,270913086966708,USD,"7,623.31",1.0000,"7,623.31",B-21337,"7,623.31",0.00
PAY-D-7429,Bill Payment,01/15/2026,V-1237,McKenzie River Mills,ACH,552039105671248,USD,"17,719.24",1.0000,"17,719.24",B-20371,"4,405.17",0.00
PAY-D-7429,Bill Payment,01/15/2026,V-1237,McKenzie River Mills,ACH,552039105671248,USD,"17,719.24",1.0000,"17,719.24",B-20396,"13,314.07",
PAY-D-7430,Bill Payment,01/15/2026,V-1252,Snake River Trout Farms,ACH,892192790693612,USD,"27,680.53",1.0000,"27,680.53",B-20614,"13,654.44",0.00
PAY-D-7430,Bill Payment,01/15/2026,V-1252,Snake River Trout Farms,ACH,892192790693612,USD,"27,680.53",1.0000,"27,680.53",B-21206,"14,026.09",
PAY-D-7431,Bill Payment,01/15/2026,V-1255,Coquille Dairy Cooperative,ACH,720465797516197,USD,"5,468.04",1.0000,"5,468.04",B-20449,"5,468.04",0.00
PAY-D-7432,Bill Payment,01/15/2026,V-1266,Silvies River Lamb,CHECK,40126,USD,"24,549.62",1.0000,"24,549.62",B-21437,"14,434.17",0.00
PAY-D-7432,Bill Payment,01/15/2026,V-1266,Silvies River Lamb,CHECK,40126,USD,"24,549.62",1.0000,"24,549.62",B-21334,"10,115.45",
PAY-D-7433,Bill Payment,01/15/2026,V-1270,Santiam Canning Co.,CHECK,40127,USD,"9,690.36",1.0000,"9,690.36",B-20419,"9,690.36",0.00
PAY-D-7434,Bill Payment,01/15/2026,V-1274,Olympic Peninsula Mushrooms,CHECK,40128,USD,"14,115.71",1.0000,"14,115.71",B-20024,"14,115.71",0.00
PAY-D-7435,Bill Payment,01/15/2026,V-1289,Blue Heron Preserves,CHECK,40129,USD,"8,509.11",1.0000,"8,509.11",B-21420,"8,509.11",0.00
PAY-D-7436,Bill Payment,01/15/2026,V-1290,Columbia Gorge Orchards,ACH,221563762039687,USD,"10,340.97",1.0000,"10,340.97",B-20038,"10,340.97",0.00
PAY-D-7437,Bill Payment,01/15/2026,V-1291,Palouse Lentil Growers,ACH,401433462894935,USD,"15,444.69",1.0000,"15,444.69",B-20839,"15,444.69",0.00
PAY-D-7438,Bill Payment,01/15/2026,V-1292,Hermiston Melon Farms,ACH,466677620196455,USD,"6,972.18",1.0000,"6,972.18",B-21078,"6,972.18",0.00
PAY-D-7439,Bill Payment,01/22/2026,V-1011,Klamath Basin Potato Co.,CHECK,40130,USD,"11,650.98",1.0000,"11,650.98",B-20917,"6,590.69",0.00
PAY-D-7439,Bill Payment,01/22/2026,V-1011,Klamath Basin Potato Co.,CHECK,40130,USD,"11,650.98",1.0000,"11,650.98",B-20293,"5,060.29",
PAY-D-7440,Bill Payment,01/22/2026,V-1023,Clearwater Creamery,ACH,811482270376045,USD,"9,881.12",1.0000,"9,881.12",B-20215,"9,881.12",0.00
PAY-D-7441,Bill Payment,01/22/2026,V-1055,Wenatchee Pear Packers,CHECK,40131,USD,"7,884.64",1.0000,"7,884.64",B-21241,"7,884.64",0.00
PAY-D-7442,Bill Payment,01/22/2026,V-1058,Ridgeline Express,ACH,114903650949459,USD,"1,898.65",1.0000,"1,898.65",B-20173,"1,898.65",0.00
PAY-D-7443,Bill Payment,01/22/2026,V-1078,Rogue Valley Cheese Works,ACH,115835775711592,USD,"3,844.97",1.0000,"3,844.97",B-20756,"3,844.97",0.00
PAY-D-7444,Bill Payment,01/22/2026,V-1119,Cowlitz Creek Farms,ACH,511478439280023,USD,"4,159.33",1.0000,"4,159.33",B-20346,"4,159.33",0.00
PAY-D-7445,Bill Payment,01/22/2026,V-1124,Coos Bay Crab Co.,CHECK,40132,USD,"6,233.95",1.0000,"6,233.95",B-21359,"6,233.95",0.00
PAY-D-7446,Bill Payment,01/22/2026,V-1136,Hells Canyon Honey,CHECK,40133,USD,"15,348.83",1.0000,"15,348.83",B-21343,"15,348.83",0.00
PAY-D-7447,Bill Payment,01/22/2026,V-1142,Umatilla Specialty Produce,CHECK,40134,USD,"14,155.18",1.0000,"14,155.18",B-21266,"14,155.18",0.00
PAY-D-7448,Bill Payment,01/22/2026,V-1147,Oregon Coast Seafood Traders,CHECK,40135,USD,"5,841.33",1.0000,"5,841.33",B-20094,"5,841.33",0.00
PAY-D-7449,Bill Payment,01/22/2026,V-1151,Walla Walla Onion Growers,ACH,417775112369088,USD,"11,214.25",1.0000,"11,214.25",B-21138,"11,214.25",0.00
PAY-D-7450,Bill Payment,01/22/2026,V-1200,Yamhill Charcuterie,CHECK,40136,USD,"6,941.21",1.0000,"6,941.21",B-21259,"6,941.21",0.00
PAY-D-7451,Bill Payment,01/22/2026,V-1204,Northwest Reefer Transport,ACH,872550766665067,USD,"3,110.62",1.0000,"3,110.62",B-20300,"3,110.62",0.00
PAY-D-7452,Bill Payment,01/22/2026,V-1205,Methow Valley Apples,ACH,663334017277900,USD,"14,926.64",1.0000,"14,926.64",B-20866,"14,926.64",0.00
PAY-D-7453,Bill Payment,01/22/2026,V-1223,Malheur Onion Co.,CHECK,40137,USD,"11,506.30",1.0000,"11,506.30",B-21142,"11,506.30",0.00
PAY-D-7454,Bill Payment,01/22/2026,V-1227,Blue Mountain Carriers,CHECK,40138,USD,"2,086.35",1.0000,"2,086.35",B-20511,"2,086.35",0.00
PAY-D-7455,Bill Payment,01/22/2026,V-1236,Kittitas Hay & Grain,CHECK,40139,USD,"7,628.58",1.0000,"7,628.58",B-20620,"7,628.58",0.00
PAY-D-7456,Bill Payment,01/22/2026,V-1239,Newberg Nut Growers,ACH,238901902415665,USD,"11,217.69",1.0000,"11,217.69",B-20535,"5,255.37",0.00
PAY-D-7456,Bill Payment,01/22/2026,V-1239,Newberg Nut Growers,ACH,238901902415665,USD,"11,217.69",1.0000,"11,217.69",B-20170,"5,962.32",
PAY-D-7457,Bill Payment,01/22/2026,V-1261,Columbia Basin Water District,ACH,881952831732882,USD,438.03,1.0000,438.03,B-20840,438.03,0.00
PAY-D-7458,Bill Payment,01/22/2026,V-1279,Willamette Valley Creamery,ACH,809353066333898,USD,"7,555.97",1.0000,"7,555.97",B-20347,"7,555.97",0.00
PAY-D-7459,Bill Payment,01/22/2026,V-1280,Grande Ronde Poultry,CHECK,40140,USD,"29,321.33",1.0000,"29,321.33",B-20888,"14,017.26",0.00
PAY-D-7459,Bill Payment,01/22/2026,V-1280,Grande Ronde Poultry,CHECK,40140,USD,"29,321.33",1.0000,"29,321.33",B-20445,"15,304.07",
PAY-D-7460,Bill Payment,01/22/2026,V-1294,Umpqua Oat Mill,ACH,681863542758205,USD,"10,529.88",1.0000,"10,529.88",B-20289,"10,529.88",0.00
PAY-D-7461,Bill Payment,01/29/2026,V-1011,Klamath Basin Potato Co.,CHECK,40141,USD,"14,638.22",1.0000,"14,638.22",B-21315,"14,638.22",0.00
PAY-D-7462,Bill Payment,01/29/2026,V-1020,Cascade Coldchain Logistics,CHECK,40142,USD,"3,966.40",1.0000,"3,966.40",B-21411,"3,966.40",0.00
PAY-D-7463,Bill Payment,01/29/2026,V-1021,Harborview Sign Co.,CHECK,40143,USD,567.58,1.0000,567.58,B-20413,567.58,0.00
PAY-D-7464,Bill Payment,01/29/2026,V-1023,Clearwater Creamery,ACH,065218631862578,USD,"8,614.00",1.0000,"8,614.00",B-21446,"8,614.00",0.00
PAY-D-7465,Bill Payment,01/29/2026,V-1031,Tualatin Hazelnut Co.,CHECK,40144,USD,"7,429.25",1.0000,"7,429.25",B-20630,"7,429.25",0.00
PAY-D-7466,Bill Payment,01/29/2026,V-1042,Pacific Coast Packaging LLC,ACH,434484035586538,USD,"3,084.45",1.0000,"3,084.45",B-20616,"3,084.45",0.00
PAY-D-7467,Bill Payment,01/29/2026,V-1055,Wenatchee Pear Packers,CHECK,40145,USD,"9,519.17",1.0000,"9,519.17",B-20054,"9,519.17",0.00
PAY-D-7468,Bill Payment,01/29/2026,V-1058,Ridgeline Express,ACH,837260073037956,USD,"2,229.66",1.0000,"2,229.66",B-20718,"2,229.66",0.00
PAY-D-7469,Bill Payment,01/29/2026,V-1077,Puget Sound Shellfish Co.,ACH,746084701443989,USD,"10,579.53",1.0000,"10,579.53",B-20212,"10,579.53",0.00
PAY-D-7470,Bill Payment,01/29/2026,V-1120,Columbia River Freightways,ACH,564439374467531,USD,"1,992.36",1.0000,"1,992.36",B-21339,"1,992.36",0.00
PAY-D-7471,Bill Payment,01/29/2026,V-1124,Coos Bay Crab Co.,CHECK,40146,USD,"10,575.43",1.0000,"10,575.43",B-20468,"10,575.43",0.00
PAY-D-7472,Bill Payment,01/29/2026,V-1127,Nooksack Berry Growers,ACH,640800648475469,USD,"25,407.21",1.0000,"25,407.21",B-20692,"11,912.13",0.00
PAY-D-7472,Bill Payment,01/29/2026,V-1127,Nooksack Berry Growers,ACH,640800648475469,USD,"25,407.21",1.0000,"25,407.21",B-20340,"13,495.08",
PAY-D-7473,Bill Payment,01/29/2026,V-1128,Yakima Hop & Herb,ACH,745292401405586,USD,"11,556.30",1.0000,"11,556.30",B-20636,"11,556.30",0.00
PAY-D-7474,Bill Payment,01/29/2026,V-1147,Oregon Coast Seafood Traders,CHECK,40147,USD,"11,566.44",1.0000,"11,566.44",B-20296,"11,566.44",0.00
PAY-D-7475,Bill Payment,01/29/2026,V-1151,Walla Walla Onion Growers,ACH,341450103807425,USD,"5,897.00",1.0000,"5,897.00",B-20657,"5,897.00",0.00
PAY-D-7476,Bill Payment,01/29/2026,V-1155,Pacific Fleet Fuel,ACH,217530156586193,USD,"2,680.02",1.0000,"2,680.02",B-20856,"2,680.02",0.00
PAY-D-7477,Bill Payment,01/29/2026,V-1161,Salem Pallet Recyclers,ACH,802243571370845,USD,459.94,1.0000,459.94,B-20316,459.94,0.00
PAY-D-7478,Bill Payment,01/29/2026,V-1173,Nisqually Salmon Co.,CHECK,40148,USD,"10,321.62",1.0000,"10,321.62",B-21408,"10,321.62",0.00
PAY-D-7479,Bill Payment,01/29/2026,V-1193,Chehalis Valley Eggs,ACH,922390067604881,USD,"4,037.95",1.0000,"4,037.95",B-20444,"4,037.95",0.00
PAY-D-7480,Bill Payment,01/29/2026,V-1198,Emerald City Cold Storage,ACH,919140548171327,USD,"3,808.52",1.0000,"3,808.52",B-20321,"3,808.52",0.00
PAY-D-7481,Bill Payment,01/29/2026,V-1211,Portland General Utilities,ACH,606638819042537,USD,"1,263.51",1.0000,"1,263.51",B-20395,"1,263.51",0.00
PAY-D-7482,Bill Payment,01/29/2026,V-1213,Pinnacle Payroll Services,ACH,219363019651369,USD,355.83,1.0000,355.83,B-21038,355.83,0.00
PAY-D-7483,Bill Payment,01/29/2026,V-1216,Chinook Smokehouse Co.,ACH,710498199609576,USD,"11,425.77",1.0000,"11,425.77",B-20604,"11,425.77",0.00
PAY-D-7484,Bill Payment,01/29/2026,V-1220,Treasure Valley Trucking,ACH,418997090527581,USD,"2,406.25",1.0000,"2,406.25",B-21354,"2,406.25",0.00
PAY-D-7485,Bill Payment,01/29/2026,V-1223,Malheur Onion Co.,CHECK,40149,USD,"7,463.12",1.0000,"7,463.12",B-20512,"7,463.12",0.00
PAY-D-7486,Bill Payment,01/29/2026,V-1227,Blue Mountain Carriers,CHECK,40150,USD,"1,723.00",1.0000,"1,723.00",B-20483,"1,723.00",0.00
PAY-D-7487,Bill Payment,01/29/2026,V-1233,Lummi Bay Seafood,ACH,635320512926493,USD,"8,765.25",1.0000,"8,765.25",B-20661,"8,765.25",0.00
PAY-D-7488,Bill Payment,01/29/2026,V-1235,Bitterroot Bakehouse Supply,ACH,025701004902904,USD,"8,870.01",1.0000,"8,870.01",B-20925,"8,870.01",0.00
PAY-D-7489,Bill Payment,01/29/2026,V-1236,Kittitas Hay & Grain,CHECK,40151,USD,"5,554.82",1.0000,"5,554.82",B-20844,"5,554.82",0.00
PAY-D-7490,Bill Payment,01/29/2026,V-1237,McKenzie River Mills,ACH,761610227008007,USD,"11,370.22",1.0000,"11,370.22",B-20896,"11,370.22",0.00
PAY-D-7491,Bill Payment,01/29/2026,V-1239,Newberg Nut Growers,ACH,935946114402364,USD,"14,063.71",1.0000,"14,063.71",B-21069,"14,063.71",0.00
PAY-D-7492,Bill Payment,01/29/2026,V-1242,Teton Valley Trout,ACH,390058019916890,USD,"11,012.63",1.0000,"11,012.63",B-20350,"11,012.63",0.00
PAY-D-7493,Bill Payment,01/29/2026,V-1251,Payette Valley Beef,ACH,142385071113301,USD,"15,481.05",1.0000,"15,481.05",B-21533,"15,481.05",0.00
PAY-D-7494,Bill Payment,01/29/2026,V-1266,Silvies River Lamb,CHECK,40152,USD,"10,544.58",1.0000,"10,544.58",B-21002,"10,544.58",0.00
PAY-D-7495,Bill Payment,01/29/2026,V-1270,Santiam Canning Co.,CHECK,40153,USD,"9,545.78",1.0000,"9,545.78",B-20795,"9,545.78",0.00
PAY-D-7496,Bill Payment,01/29/2026,V-1274,Olympic Peninsula Mushrooms,CHECK,40154,USD,"13,567.11",1.0000,"13,567.11",B-20992,"13,567.11",0.00
PAY-D-7497,Bill Payment,01/29/2026,V-1281,Boardman Tree Fruit,ACH,272997275159577,USD,"15,169.47",1.0000,"15,169.47",B-20001,"15,169.47",0.00
PAY-D-7498,Bill Payment,01/29/2026,V-1288,Wallowa Grass-Fed Beef,ACH,616706631167322,USD,"8,022.58",1.0000,"8,022.58",B-21040,"8,022.58",0.00
PAY-D-7499,Bill Payment,01/29/2026,V-1289,Blue Heron Preserves,CHECK,40155,USD,"14,788.72",1.0000,"14,788.72",B-21516,"14,788.72",0.00
PAY-D-7500,Bill Payment,01/29/2026,V-1291,Palouse Lentil Growers,ACH,908388078020288,USD,"11,263.45",1.0000,"11,263.45",B-21173,"11,263.45",0.00
PAY-D-7501,Bill Payment,01/29/2026,V-1292,Hermiston Melon Farms,ACH,515606918913620,USD,"15,781.51",1.0000,"15,781.51",B-21119,"15,781.51",0.00
PAY-D-7502,Bill Payment,01/29/2026,V-1294,Umpqua Oat Mill,ACH,457360249863616,USD,"9,615.02",1.0000,"9,615.02",B-20726,"9,615.02",0.00
PAY-D-7503,Bill Payment,01/29/2026,V-1299,Evergreen Box & Film,ACH,728594678104186,USD,"1,708.04",1.0000,"1,708.04",B-20286,"1,708.04",0.00
PAY-D-7504,Bill Payment,02/01/2026,V-1072,Gowen Field Commerce Park,ACH,421547101647700,USD,"4,875.00",1.0000,"4,875.00",B-21556,"4,875.00",0.00
PAY-D-7505,Bill Payment,02/01/2026,V-1167,Lombard Street Properties LLC,ACH,067960153410790,USD,"8,500.00",1.0000,"8,500.00",B-20655,"8,500.00",0.00
PAY-D-7506,Bill Payment,02/01/2026,V-1181,Duwamish Industrial Partners,ACH,211227307316761,USD,"6,420.00",1.0000,"6,420.00",B-20005,"6,420.00",0.00
PAY-D-7507,Bill Payment,02/05/2026,V-1003,Ridgewire Telecom,ACH,734668039537222,USD,"1,299.56",1.0000,"1,299.56",B-20914,"1,299.56",0.00
PAY-D-7508,Bill Payment,02/05/2026,V-1011,Klamath Basin Potato Co.,CHECK,40156,USD,"15,054.62",1.0000,"15,054.62",B-20422,"15,054.62",0.00
PAY-D-7509,Bill Payment,02/05/2026,V-1015,Deschutes Brewing Supply Co-op,ACH,404539734788932,USD,"10,979.54",1.0000,"10,979.54",B-20901,"10,979.54",0.00
PAY-D-7510,Bill Payment,02/05/2026,V-1020,Cascade Coldchain Logistics,CHECK,40157,USD,"4,598.67",1.0000,"4,598.67",B-20531,"4,598.67",0.00
PAY-D-7511,Bill Payment,02/05/2026,V-1031,Tualatin Hazelnut Co.,CHECK,40158,USD,"9,151.05",1.0000,"9,151.05",B-20199,"9,151.05",0.00
PAY-D-7512,Bill Payment,02/05/2026,V-1042,Pacific Coast Packaging LLC,ACH,816290493093066,USD,"7,620.55",1.0000,"7,620.55",B-20648,"7,620.55",0.00
PAY-D-7513,Bill Payment,02/05/2026,V-1074,Scappoose Organic Farms,CHECK,40159,USD,"13,562.57",1.0000,"13,562.57",B-20560,"13,562.57",0.00
