Bill No,Vendor ID,Vendor Name,Vendor Ref,Bill Date,Due Date,Currency,Amount,Balance Due,Status
B-20041,V-1193,Chehalis Valley Eggs,CVE-60944,02/24/2026,03/26/2026,USD,"5,489.02",0.00,Paid
B-20042,V-1204,Northwest Reefer Transport,NRT-66652,05/27/2026,06/26/2026,USD,"1,485.75",0.00,Paid
B-20043,V-1003,Ridgewire Telecom,RT-27283,06/26/2026,07/16/2026,USD,"1,292.93","1,292.93",Open
B-20044,V-1289,Blue Heron Preserves,BHP-43832,06/26/2026,07/11/2026,USD,"6,562.69","6,562.69",Open
B-20045,V-1127,Nooksack Berry Growers,NBG-54343,03/30/2026,04/14/2026,USD,"5,925.70",0.00,Paid
B-20047,V-1235,Bitterroot Bakehouse Supply,BBS-56750,04/09/2026,05/09/2026,USD,"4,636.20",0.00,Paid
B-20048,V-1266,Silvies River Lamb,SRL-64653,06/23/2026,07/23/2026,USD,"7,109.02","7,109.02",Open
B-20051,V-1080,Mt. Hood Berry Farm,MHB-48728,05/25/2026,06/24/2026,USD,"4,420.68",0.00,Paid
B-20052,V-1226,Skagit Valley Grains,SVG-15617,04/20/2026,05/20/2026,USD,"14,166.27",0.00,Paid
B-20053,V-1280,Grande Ronde Poultry,GRP-20299,02/04/2026,02/19/2026,USD,"11,076.39",0.00,Paid
B-20054,V-1055,Wenatchee Pear Packers,WPP-34373,01/02/2026,02/01/2026,USD,"9,519.17",0.00,Paid
B-20055,V-1205,Methow Valley Apples,MVA-59160,01/23/2026,02/07/2026,USD,"8,704.76",0.00,Paid
B-20056,V-1235,Bitterroot Bakehouse Supply,BBS-56622,02/11/2026,03/13/2026,USD,"12,508.06",0.00,Paid
B-20058,V-1226,Skagit Valley Grains,SVG-15686,06/01/2026,07/01/2026,USD,"7,718.05",0.00,Paid
B-20059,V-1204,Northwest Reefer Transport,NRT-66605,05/11/2026,06/10/2026,USD,"1,584.11",0.00,Paid
B-20060,V-1226,Skagit Valley Grains,SVG-15692,06/05/2026,07/05/2026,USD,"7,094.56","7,094.56",Open
B-20062,V-1274,Olympic Peninsula Mushrooms,OPM-33873,06/01/2026,06/16/2026,USD,"8,031.05",0.00,Paid
B-20063,V-1255,Coquille Dairy Cooperative,CDC-45244,04/20/2026,05/20/2026,USD,"15,079.02",0.00,Paid
B-20064,V-1233,Lummi Bay Seafood,LBS-35410,04/14/2026,05/14/2026,USD,"14,151.55",0.00,Paid
B-20065,V-1223,Malheur Onion Co.,MOC-17281,05/22/2026,06/21/2026,USD,"6,223.32",0.00,Paid
B-20067,V-1051,Stumptown Office Supply,SOS-12023,04/27/2026,05/27/2026,USD,724.88,0.00,Paid
B-20068,V-1290,Columbia Gorge Orchards,CGO-75905,06/22/2026,07/22/2026,USD,"15,421.41","15,421.41",Open
B-20069,V-1226,Skagit Valley Grains,SVG-15652,04/30/2026,05/30/2026,USD,"13,350.88",0.00,Paid
B-20070,V-1209,Sound Cartage Co.,SCC-77251,04/29/2026,05/29/2026,USD,"1,267.08",0.00,Paid
B-20071,V-1206,Pend Oreille Wild Rice,POW-24096,12/17/2025,01/16/2026,USD,"14,726.06",0.00,Paid
B-20073,V-1077,Puget Sound Shellfish Co.,PSS-18845,03/18/2026,04/17/2026,USD,"14,784.13",0.00,Paid
B-20074,V-1120,Columbia River Freightways,CRF-77926,03/20/2026,04/19/2026,USD,"2,060.97",0.00,Paid
B-20076,V-1226,Skagit Valley Grains,SVG-15364,01/08/2026,02/07/2026,USD,"13,804.61",0.00,Paid
B-20078,V-1279,Willamette Valley Creamery,WVC-19274,03/18/2026,04/17/2026,USD,"7,696.55",0.00,Paid
B-20079,V-1147,Oregon Coast Seafood Traders,OCS-59020,04/06/2026,05/06/2026,USD,"4,052.12",0.00,Paid
B-20080,V-1120,Columbia River Freightways,CRF-77888,03/09/2026,04/08/2026,USD,"3,894.55",0.00,Paid
B-20082,V-1077,Puget Sound Shellfish Co.,PSS-19041,12/22/2025,01/21/2026,USD,"14,167.78",0.00,Paid
B-20083,V-1124,Coos Bay Crab Co.,CBC-43066,01/14/2026,02/13/2026,USD,"4,714.95",0.00,Paid
B-20084,V-1127,Nooksack Berry Growers,NBG-54452,05/25/2026,06/09/2026,USD,"9,686.77",0.00,Paid
B-20085,V-1274,Olympic Peninsula Mushrooms,OPM-33674,01/26/2026,02/10/2026,USD,"15,512.51",0.00,Paid
B-20087,V-1289,Blue Heron Preserves,BHP-43724,04/30/2026,05/15/2026,USD,"10,806.05",0.00,Paid
B-20088,V-1281,Boardman Tree Fruit,BTF-48505,06/15/2026,07/15/2026,USD,"4,798.29","4,798.29",Open
B-20090,V-1058,Ridgeline Express,RE-17450,02/24/2026,03/26/2026,USD,663.80,0.00,Paid
B-20091,V-1120,Columbia River Freightways,CRF-77763,01/26/2026,02/25/2026,USD,"2,076.76",0.00,Paid
B-20093,V-1288,Wallowa Grass-Fed Beef,WGB-71908,02/10/2026,03/12/2026,USD,"7,567.94",0.00,Paid
B-20094,V-1147,Oregon Coast Seafood Traders,OCS-59214,12/29/2025,01/28/2026,USD,"5,841.33",0.00,Paid
B-20095,V-1166,Crown Linen & Uniform,CLU-45692,05/25/2026,06/24/2026,USD,457.67,0.00,Paid
B-20096,V-1096,Tri-County Health Permits,THP-64244,04/02/2026,05/02/2026,USD,514.92,0.00,Paid
B-20098,V-1281,Boardman Tree Fruit,BTF-48518,06/22/2026,07/22/2026,USD,"8,723.68","8,723.68",Open
B-20099,V-1031,Tualatin Hazelnut Co.,THC-26154,02/23/2026,03/25/2026,USD,"9,309.20",0.00,Paid
B-20100,V-1274,Olympic Peninsula Mushrooms,OPM-33790,04/01/2026,04/16/2026,USD,"11,449.40",0.00,Paid
B-20101,V-1289,Blue Heron Preserves,BHP-43683,04/09/2026,04/24/2026,USD,"15,729.14",0.00,Paid
B-20102,V-1147,Oregon Coast Seafood Traders,OCS-59081,05/05/2026,06/04/2026,USD,"12,539.81",0.00,Paid
B-20104,V-1291,Palouse Lentil Growers,PLG-19717,06/10/2026,06/25/2026,USD,"8,950.14",0.00,Paid
B-20105,V-1020,Cascade Coldchain Logistics,CCL-22530,01/27/2026,02/26/2026,USD,"3,384.72",0.00,Paid
B-20108,V-1255,Coquille Dairy Cooperative,CDC-45265,04/30/2026,05/30/2026,USD,"4,864.59",0.00,Paid
B-20109,V-1120,Columbia River Freightways,CRF-77875,02/27/2026,03/29/2026,USD,"2,116.20",0.00,Paid
B-20111,V-1120,Columbia River Freightways,CRF-78160,12/17/2025,01/16/2026,USD,"2,641.85",0.00,Paid
B-20112,V-1205,Methow Valley Apples,MVA-59183,02/10/2026,02/25/2026,USD,"5,939.74",0.00,Paid
B-20113,V-1020,Cascade Coldchain Logistics,CCL-22785,05/28/2026,06/27/2026,USD,"4,258.07",0.00,Paid
B-20115,V-1167,Lombard Street Properties LLC,RENT-2026-05,05/01/2026,05/01/2026,USD,"8,500.00",0.00,Paid
B-20116,V-1031,Tualatin Hazelnut Co.,THC-26182,03/05/2026,04/04/2026,USD,"6,573.46",0.00,Paid
B-20117,V-1181,Duwamish Industrial Partners,RENT-2026-04,04/01/2026,04/01/2026,USD,"6,420.00",0.00,Paid
B-20118,V-1236,Kittitas Hay & Grain,KHG-25632,04/09/2026,04/24/2026,USD,"11,079.77",0.00,Paid
B-20119,V-1023,Clearwater Creamery,CC-67902,01/20/2026,02/19/2026,USD,"14,496.02",0.00,Paid
B-20120,V-1132,Rose City Tire & Auto,RCT-28680,03/25/2026,04/24/2026,USD,"1,611.56",0.00,Paid
B-20121,V-1288,Wallowa Grass-Fed Beef,WGB-71986,04/01/2026,05/01/2026,USD,"8,872.25",0.00,Paid
B-20122,V-1155,Pacific Fleet Fuel,PFF-26278,06/02/2026,07/02/2026,USD,"2,801.00","2,801.00",Open
B-20124,V-1147,Oregon Coast Seafood Traders,OCS-58830,01/26/2026,02/25/2026,USD,"15,102.20",0.00,Paid
B-20125,V-1080,Mt. Hood Berry Farm,MHB-48461,02/09/2026,03/11/2026,USD,"4,918.96",0.00,Paid
B-20126,V-1166,Crown Linen & Uniform,CLU-45527,01/06/2026,02/05/2026,USD,648.22,0.00,Paid
B-20127,V-1200,Yamhill Charcuterie,YC-21248,06/02/2026,07/02/2026,USD,"8,592.01","8,592.01",Open
B-20128,V-1224,Siuslaw Cranberry Growers,SCG-27323,02/09/2026,03/11/2026,USD,"10,340.61",0.00,Paid
B-20129,V-1276,Critter Guard Pest Control,CGP-56420,03/23/2026,04/22/2026,USD,278.27,0.00,Paid
B-20130,V-1224,Siuslaw Cranberry Growers,SCG-27334,02/23/2026,03/25/2026,USD,"5,995.23",0.00,Paid
B-20131,V-1237,McKenzie River Mills,MRM-67546,05/06/2026,06/05/2026,USD,"14,210.96",0.00,Paid
B-20132,V-1077,Puget Sound Shellfish Co.,PSS-18733,01/29/2026,02/28/2026,USD,"9,828.51",0.00,Paid
B-20133,V-1226,Skagit Valley Grains,SVG-15765,12/17/2025,01/16/2026,USD,"6,520.07",0.00,Paid
B-20134,V-1142,Umatilla Specialty Produce,USP-32220,03/30/2026,04/29/2026,USD,"8,970.06",0.00,Paid
B-20135,V-1252,Snake River Trout Farms,SRT-48273,04/13/2026,05/13/2026,USD,"15,050.35",0.00,Paid
B-20136,V-1299,Evergreen Box & Film,EBF-19500,05/04/2026,06/03/2026,USD,"1,636.61",0.00,Paid
B-20137,V-1023,Clearwater Creamery,CC-67862,01/19/2026,02/18/2026,USD,"8,498.62",0.00,Paid
B-20138,V-1147,Oregon Coast Seafood Traders,OCS-59175,06/23/2026,07/23/2026,USD,"7,012.62","7,012.62",Open
B-20139,V-1226,Skagit Valley Grains,SVG-15406,01/20/2026,02/19/2026,USD,"12,371.77",0.00,Paid
B-20141,V-1136,Hells Canyon Honey,HCH-37516,06/12/2026,07/12/2026,USD,"10,871.27","10,871.27",Open
B-20142,V-1077,Puget Sound Shellfish Co.,PSS-19045,12/22/2025,01/21/2026,USD,"6,836.23",0.00,Paid
B-20144,V-1173,Nisqually Salmon Co.,NSC-71804,02/25/2026,03/27/2026,USD,"8,691.82",0.00,Paid
B-20145,V-1242,Teton Valley Trout,TVT-23215,03/23/2026,04/22/2026,USD,"15,740.69",0.00,Paid
B-20146,V-1274,Olympic Peninsula Mushrooms,OPM-33683,02/18/2026,03/05/2026,USD,"6,078.53",0.00,Paid
B-20147,V-1227,Blue Mountain Carriers,BMC-59484,01/29/2026,02/28/2026,USD,"2,586.34",0.00,Paid
B-20148,V-1290,Columbia Gorge Orchards,CGO-75723,02/25/2026,03/27/2026,USD,"8,864.79",0.00,Paid
B-20149,V-1226,Skagit Valley Grains,SVG-15448,02/12/2026,03/14/2026,USD,"5,200.83",0.00,Paid
B-20150,V-1206,Pend Oreille Wild Rice,POW-23966,04/24/2026,05/24/2026,USD,"6,627.11",0.00,Paid
B-20152,V-1274,Olympic Peninsula Mushrooms,OPM-33851,05/08/2026,05/23/2026,USD,"4,463.35",0.00,Paid
B-20153,V-1205,Methow Valley Apples,MVA-59463,12/23/2025,01/07/2026,USD,"4,834.32",0.00,Paid
B-20154,V-1160,Hollis & Ward CPAs,HWC-33129,01/20/2026,02/19/2026,USD,"11,433.66",0.00,Paid
B-20155,V-1058,Ridgeline Express,RE-17542,04/13/2026,05/13/2026,USD,"2,572.46",0.00,Paid
B-20156,V-1161,Salem Pallet Recyclers,SPR-14229,04/06/2026,05/06/2026,USD,"1,056.93",0.00,Paid
B-20157,V-1155,Pacific Fleet Fuel,PFF-26227,05/13/2026,06/12/2026,USD,"3,749.50",0.00,Paid
B-20158,V-1124,Coos Bay Crab Co.,CBC-43115,02/16/2026,03/18/2026,USD,"11,098.20",0.00,Paid
B-20159,V-1244,Portland Fleet Wash,PFW-12688,04/06/2026,05/06/2026,USD,390.84,0.00,Paid
B-20160,V-1058,Ridgeline Express,RE-17562,04/20/2026,05/20/2026,USD,"1,594.49",0.00,Paid
B-20161,V-1291,Palouse Lentil Growers,PLG-19487,02/06/2026,02/21/2026,USD,"4,538.65",0.00,Paid
B-20163,V-1281,Boardman Tree Fruit,BTF-48548,12/11/2025,01/10/2026,USD,"10,910.31",0.00,Paid
B-20164,V-1198,Emerald City Cold Storage,ECC-76135,05/11/2026,06/10/2026,USD,"3,889.37",0.00,Paid
B-20165,V-1042,Pacific Coast Packaging LLC,PCP-23512,06/23/2026,07/23/2026,USD,"2,915.65","2,915.65",Open
B-20166,V-1233,Lummi Bay Seafood,LBS-35445,05/01/2026,05/31/2026,USD,"9,415.75",0.00,Paid
B-20167,V-1127,Nooksack Berry Growers,NBG-54466,06/16/2026,07/01/2026,USD,"10,888.78",0.00,Paid
B-20168,V-1093,Cascade Trade Show Group,CTS-76325,02/09/2026,03/11/2026,USD,"2,584.62",0.00,Paid
B-20169,V-1288,Wallowa Grass-Fed Beef,WGB-72048,05/04/2026,06/03/2026,USD,"9,252.75",0.00,Paid
B-20170,V-1239,Newberg Nut Growers,NNG-32454,12/25/2025,01/24/2026,USD,"5,962.32",0.00,Paid
B-20171,V-1105,Everbright Electric Contractors,EEC-36151,01/29/2026,02/28/2026,USD,"1,787.39",0.00,Paid
B-20172,V-1128,Yakima Hop & Herb,YHH-36336,04/17/2026,05/17/2026,USD,"14,203.29",0.00,Paid
B-20173,V-1058,Ridgeline Express,RE-17736,12/23/2025,01/22/2026,USD,"1,898.65",0.00,Paid
B-20174,V-1220,Treasure Valley Trucking,TVT-66194,06/11/2026,07/11/2026,USD,"2,017.43","2,017.43",Open
B-20175,V-1023,Clearwater Creamery,CC-68010,03/19/2026,04/18/2026,USD,"7,797.32",0.00,Paid
B-20176,V-1290,Columbia Gorge Orchards,CGO-75745,03/17/2026,04/16/2026,USD,"7,523.39",0.00,Paid
B-20177,V-1198,Emerald City Cold Storage,ECC-76130,04/13/2026,05/13/2026,USD,"2,917.84",0.00,Paid
B-20178,V-1193,Chehalis Valley Eggs,CVE-61205,12/19/2025,01/18/2026,USD,"8,979.66",0.00,Paid
B-20179,V-1167,Lombard Street Properties LLC,RENT-2026-04,04/01/2026,04/01/2026,USD,"8,500.00",0.00,Paid
B-20180,V-1077,Puget Sound Shellfish Co.,PSS-18970,06/01/2026,07/01/2026,USD,"14,540.07",0.00,Paid
B-20181,V-1255,Coquille Dairy Cooperative,CDC-45180,03/02/2026,04/01/2026,USD,"5,190.50",0.00,Paid
B-20183,V-1294,Umpqua Oat Mill,UOM-16004,05/13/2026,06/12/2026,USD,"10,065.31",0.00,Paid
B-20184,V-1072,Gowen Field Commerce Park,RENT-2026-06,06/01/2026,06/01/2026,USD,"4,875.00",0.00,Paid
B-20185,V-1031,Tualatin Hazelnut Co.,THC-26403,12/09/2025,01/08/2026,USD,"3,886.60",0.00,Paid
B-20186,V-1077,Puget Sound Shellfish Co.,PSS-18714,01/15/2026,02/14/2026,USD,"15,690.27",0.00,Paid
B-20187,V-1251,Payette Valley Beef,PVB-57001,12/15/2025,01/14/2026,USD,"4,719.82",0.00,Paid
B-20190,V-1055,Wenatchee Pear Packers,WPP-34529,04/02/2026,05/02/2026,USD,"4,676.59",0.00,Paid
B-20191,V-1015,Deschutes Brewing Supply Co-op,DBS-69958,12/17/2025,01/16/2026,USD,"14,235.83",0.00,Paid
B-20192,V-1023,Clearwater Creamery,CC-67976,03/05/2026,04/04/2026,USD,"10,221.08",0.00,Paid
B-20193,V-1235,Bitterroot Bakehouse Supply,BBS-56846,06/08/2026,07/08/2026,USD,"15,546.89","15,546.89",Open
B-20194,V-1200,Yamhill Charcuterie,YC-21043,02/06/2026,03/08/2026,USD,"13,794.68",0.00,Paid
B-20195,V-1078,Rogue Valley Cheese Works,RVC-37299,03/30/2026,04/29/2026,USD,"15,739.21",0.00,Paid
B-20196,V-1265,Coastline Shredding,CS-36270,03/26/2026,04/25/2026,USD,144.52,0.00,Paid
B-20198,V-1204,Northwest Reefer Transport,NRT-66302,01/26/2026,02/25/2026,USD,"2,506.12",0.00,Paid
B-20199,V-1031,Tualatin Hazelnut Co.,THC-26107,01/12/2026,02/11/2026,USD,"9,151.05",0.00,Paid
B-20200,V-1251,Payette Valley Beef,PVB-56882,05/22/2026,06/21/2026,USD,"7,860.69",0.00,Paid
B-20201,V-1143,CloudLedger Software,CS-70067,01/16/2026,02/15/2026,USD,615.10,0.00,Paid
B-20202,V-1235,Bitterroot Bakehouse Supply,BBS-56862,06/11/2026,07/11/2026,USD,"9,907.75","9,907.75",Open
B-20203,V-1277,Metro Waste Haulers,MWH-42706,01/08/2026,02/07/2026,USD,757.10,0.00,Paid
B-20204,V-1080,Mt. Hood Berry Farm,MHB-48556,03/26/2026,04/25/2026,USD,"15,453.64",0.00,Paid
B-20205,V-1242,Teton Valley Trout,TVT-23305,04/15/2026,05/15/2026,USD,"7,104.03",0.00,Paid
B-20206,V-1284,Hood Canal Oyster Co.,HCO-69263,03/25/2026,04/24/2026,USD,"4,549.78",0.00,Paid
B-20207,V-1206,Pend Oreille Wild Rice,POW-24068,06/22/2026,07/22/2026,USD,"6,413.09","6,413.09",Open
B-20208,V-1289,Blue Heron Preserves,BHP-43591,02/09/2026,02/24/2026,USD,"13,268.64",0.00,Paid
B-20209,V-1042,Pacific Coast Packaging LLC,PCP-23188,02/11/2026,03/13/2026,USD,"9,289.60",0.00,Paid
B-20210,V-1290,Columbia Gorge Orchards,CGO-75583,01/09/2026,02/08/2026,USD,"13,492.58",0.00,Paid
B-20211,V-1055,Wenatchee Pear Packers,WPP-34656,06/22/2026,07/22/2026,USD,"15,365.81","15,365.81",Open
B-20212,V-1077,Puget Sound Shellfish Co.,PSS-18704,01/05/2026,02/04/2026,USD,"10,579.53",0.00,Paid
B-20213,V-1280,Grande Ronde Poultry,GRP-20593,06/23/2026,07/08/2026,USD,"15,074.17","15,074.17",Open
B-20214,V-1279,Willamette Valley Creamery,WVC-19092,01/08/2026,02/07/2026,USD,"8,892.64",0.00,Paid
B-20215,V-1023,Clearwater Creamery,CC-68270,12/23/2025,01/22/2026,USD,"9,881.12",0.00,Paid
B-20216,V-1074,Scappoose Organic Farms,SOF-71182,06/03/2026,07/03/2026,USD,"10,137.43","10,137.43",Open
B-20217,V-1015,Deschutes Brewing Supply Co-op,DBS-69811,04/24/2026,05/24/2026,USD,"5,804.56",0.00,Paid
B-20218,V-1198,Emerald City Cold Storage,ECC-76122,02/16/2026,03/18/2026,USD,"2,372.82",0.00,Paid
B-20219,V-1042,Pacific Coast Packaging LLC,PCP-23166,02/02/2026,03/04/2026,USD,"6,082.29",0.00,Paid
B-20220,V-1080,Mt. Hood Berry Farm,MHB-48518,03/09/2026,04/08/2026,USD,"9,226.92",0.00,Paid
B-20221,V-1224,Siuslaw Cranberry Growers,SCG-27271,01/09/2026,02/08/2026,USD,"8,293.83",0.00,Paid
B-20222,V-1263,Summit Refrigeration Services,SRS-18014,04/10/2026,05/10/2026,USD,"3,979.89",0.00,Paid
B-20223,V-1132,Rose City Tire & Auto,RCT-28676,02/16/2026,03/18/2026,USD,934.72,0.00,Paid
B-20224,V-1074,Scappoose Organic Farms,SOF-70874,01/19/2026,02/18/2026,USD,"14,847.08",0.00,Paid
B-20225,V-1224,Siuslaw Cranberry Growers,SCG-27579,06/24/2026,07/24/2026,USD,"5,347.26","5,347.26",Open
B-20226,V-1136,Hells Canyon Honey,HCH-37258,02/12/2026,03/14/2026,USD,"4,163.73",0.00,Paid
B-20227,V-1120,Columbia River Freightways,CRF-78063,05/26/2026,06/25/2026,USD,"3,921.37",0.00,Paid
B-20228,V-1291,Palouse Lentil Growers,PLG-19629,04/28/2026,05/13/2026,USD,"5,946.91",0.00,Paid
B-20229,V-1072,Gowen Field Commerce Park,RENT-2026-04,04/01/2026,04/01/2026,USD,"4,875.00",0.00,Paid
B-20230,V-1294,Umpqua Oat Mill,UOM-15876,04/02/2026,05/02/2026,USD,"5,970.49",0.00,Paid
B-20231,V-1290,Columbia Gorge Orchards,CGO-75801,04/06/2026,05/06/2026,USD,"10,602.75",0.00,Paid
B-20232,V-1263,Summit Refrigeration Services,SRS-18072,06/19/2026,07/19/2026,USD,"7,629.23","7,629.23",Open
B-20234,V-1292,Hermiston Melon Farms,HMF-63860,04/08/2026,04/23/2026,USD,"4,276.81",0.00,Paid
B-20235,V-1242,Teton Valley Trout,TVT-23139,03/05/2026,04/04/2026,USD,"13,939.61",0.00,Paid
B-20238,V-1166,Crown Linen & Uniform,CLU-45580,03/02/2026,04/01/2026,USD,451.41,0.00,Paid
B-20239,V-1193,Chehalis Valley Eggs,CVE-61058,05/05/2026,06/04/2026,USD,"5,000.91",0.00,Paid
B-20240,V-1074,Scappoose Organic Farms,SOF-71038,03/20/2026,04/19/2026,USD,"9,747.45",0.00,Paid
B-20241,V-1289,Blue Heron Preserves,BHP-43770,05/25/2026,06/09/2026,USD,"11,056.63",0.00,Paid
B-20243,V-1274,Olympic Peninsula Mushrooms,OPM-33919,06/19/2026,07/04/2026,USD,"6,269.56","6,269.56",Open
B-20244,V-1147,Oregon Coast Seafood Traders,OCS-58984,03/17/2026,04/16/2026,USD,"13,175.70",0.00,Paid
B-20245,V-1289,Blue Heron Preserves,BHP-43712,04/20/2026,05/05/2026,USD,"7,246.09",0.00,Paid
B-20246,V-1274,Olympic Peninsula Mushrooms,OPM-33734,03/10/2026,03/25/2026,USD,"11,645.78",0.00,Paid
B-20247,V-1020,Cascade Coldchain Logistics,CCL-22666,04/10/2026,05/10/2026,USD,"2,959.43",0.00,Paid
B-20249,V-1242,Teton Valley Trout,TVT-23332,04/27/2026,05/27/2026,USD,"5,214.88",0.00,Paid
B-20251,V-1078,Rogue Valley Cheese Works,RVC-37490,06/16/2026,07/16/2026,USD,"14,027.85","14,027.85",Open
B-20252,V-1119,Cowlitz Creek Farms,CCF-61410,05/18/2026,06/02/2026,USD,"10,148.43",0.00,Paid
B-20253,V-1251,Payette Valley Beef,PVB-56596,01/28/2026,02/27/2026,USD,"12,993.69",0.00,Paid
B-20255,V-1154,Brightline Janitorial,BJ-36178,04/20/2026,05/20/2026,USD,"1,502.65",0.00,Paid
B-20256,V-1128,Yakima Hop & Herb,YHH-36294,04/03/2026,05/03/2026,USD,"10,692.66",0.00,Paid
B-20257,V-1299,Evergreen Box & Film,EBF-19474,03/24/2026,04/23/2026,USD,"2,808.93",0.00,Paid
B-20258,V-1236,Kittitas Hay & Grain,KHG-25818,06/16/2026,07/01/2026,USD,"6,564.12",0.00,Paid
B-20259,V-1255,Coquille Dairy Cooperative,CDC-45058,01/08/2026,02/07/2026,USD,"4,476.58",0.00,Paid
B-20260,V-1058,Ridgeline Express,RE-17418,02/02/2026,03/04/2026,USD,"1,056.79",0.00,Paid
B-20261,V-1055,Wenatchee Pear Packers,WPP-34478,03/02/2026,04/01/2026,USD,"8,266.91",0.00,Paid
B-20262,V-1136,Hells Canyon Honey,HCH-37567,12/15/2025,01/14/2026,USD,"11,303.18",0.00,Paid
B-20264,V-1127,Nooksack Berry Growers,NBG-54244,02/20/2026,03/07/2026,USD,"15,620.67",0.00,Paid
B-20265,V-1266,Silvies River Lamb,SRL-64201,01/14/2026,02/13/2026,USD,"7,310.39",0.00,Paid
B-20266,V-1233,Lummi Bay Seafood,LBS-35522,06/22/2026,07/22/2026,USD,"8,487.07","8,487.07",Open
B-20267,V-1155,Pacific Fleet Fuel,PFF-25814,01/14/2026,02/13/2026,USD,"1,833.05",0.00,Paid
B-20268,V-1255,Coquille Dairy Cooperative,CDC-45133,01/30/2026,03/01/2026,USD,"15,111.58",0.00,Paid
B-20270,V-1066,Willamette Sanitation Supply,WSS-12599,03/04/2026,04/03/2026,USD,799.24,0.00,Paid
B-20271,V-1209,Sound Cartage Co.,SCC-77187,04/15/2026,05/15/2026,USD,909.15,0.00,Paid
B-20272,V-1042,Pacific Coast Packaging LLC,PCP-23456,06/03/2026,07/03/2026,USD,"5,486.87","5,486.87",Open
