Account,Description,Period Ending,Debit,Credit
1205,Allowance for Doubtful Accounts,01/31/2026,,"35,000.00"
1215,Employee Advances,01/31/2026,0.00,
1250,Other Receivables,01/31/2026,"3,150.00",
1260,Notes Receivable,01/31/2026,0.00,
1300,Inventory - Finished Goods,01/31/2026,"1,632,349.01",
1310,Inventory in Transit,01/31/2026,0.00,
1320,Inventory - Samples,01/31/2026,0.00,
1400,Prepaid Insurance,01/31/2026,"36,025.00",
1410,Prepaid Expenses - Other,01/31/2026,"18,400.00",
1420,Security Deposits,01/31/2026,"42,500.00",
1500,Warehouse Equipment,01/31/2026,"1,182,400.00",
1510,Vehicles,01/31/2026,"486,300.00",
1520,Leasehold Improvements,01/31/2026,"211,750.00",
1530,Office Furniture & Equipment,01/31/2026,"38,620.00",
1540,Computer Equipment,01/31/2026,"52,980.00",
1590,Accumulated Depreciation,01/31/2026,,"424,490.00"
1600,Utility Deposits,01/31/2026,"6,200.00",
1700,Customer Lists,01/31/2026,"60,000.00",
1790,Accumulated Amortization,01/31/2026,,"36,500.00"
2000,Accounts Payable,01/31/2026,,"1,194,663.30"
2050,Cascade Visa Business,01/31/2026,0.00,
2060,Amex Corporate (closed),01/31/2026,0.00,
2100,Accrued Liabilities,01/31/2026,,"17,125.10"
2150,Payroll Liabilities,01/31/2026,0.00,
2160,Accrued Commissions,01/31/2026,,"16,500.48"
2170,Accrued Vacation,01/31/2026,,"48,620.00"
2200,Sales Tax Payable,01/31/2026,0.00,
2210,Use Tax Payable,01/31/2026,0.00,
2220,Oregon CAT Payable,01/31/2026,,"7,840.00"
2300,Customer Deposits,01/31/2026,0.00,
2400,Deferred Revenue,01/31/2026,0.00,
2500,Line of Credit - First Cascade,01/31/2026,,"955,000.00"
2700,Equipment Loan - First Cascade,01/31/2026,,"263,550.00"
2710,Vehicle Loans,01/31/2026,,"94,200.00"
2800,Due to Shareholder,01/31/2026,0.00,
3000,Common Stock,01/31/2026,,"50,000.00"
3100,Additional Paid-In Capital,01/31/2026,,"150,000.00"
3900,Retained Earnings,01/31/2026,,"3,293,027.23"
3950,Shareholder Distributions,01/31/2026,0.00,
4000,Sales - Wholesale Grocery,01/31/2026,,"1,649,544.47"
4010,Sales - Foodservice,01/31/2026,,"167,708.77"
4100,Sales - Export,01/31/2026,,"27,217.86"
4200,Freight Income,01/31/2026,0.00,
4300,Rebate Income,01/31/2026,0.00,
4400,Miscellaneous Income,01/31/2026,0.00,
4900,Sales Discounts,01/31/2026,0.00,
4950,Returns & Allowances,01/31/2026,0.00,
5000,Cost of Goods Sold,01/31/2026,"1,342,036.88",
5010,Inventory Adjustments,01/31/2026,0.00,
5020,Purchase Price Variance,01/31/2026,0.00,
5030,Samples & Demos,01/31/2026,0.00,
5100,Inbound Freight - COGS,01/31/2026,0.00,
5150,Packaging Materials,01/31/2026,"25,733.58",
5200,Spoilage & Shrink,01/31/2026,0.00,
5300,Co-Packing Fees,01/31/2026,0.00,
6000,Advertising & Marketing,01/31/2026,567.58,
6010,Trade Shows,01/31/2026,0.00,
6020,Website,01/31/2026,0.00,
6030,Meals & Entertainment,01/31/2026,0.00,
6040,Travel,01/31/2026,0.00,
6050,Donations,01/31/2026,0.00,
6060,Licenses & Permits,01/31/2026,0.00,
6070,Property Taxes,01/31/2026,0.00,
6080,Business Taxes,01/31/2026,0.00,
6090,Recruiting,01/31/2026,0.00,
6100,Wages - Warehouse,01/31/2026,"124,286.41",
6105,Wages - Drivers,01/31/2026,"76,685.72",
6110,Wages - Office,01/31/2026,"68,748.83",
6120,Payroll Taxes,01/31/2026,"21,928.02",
6130,Employee Benefits,01/31/2026,0.00,
6140,Workers Compensation,01/31/2026,0.00,
6150,Sales Commissions,01/31/2026,"16,500.48",
6160,Temporary Labor,01/31/2026,"2,226.48",
6170,Training,01/31/2026,0.00,
6180,Employee Relations,01/31/2026,0.00,
6190,Payroll Processing Fees,01/31/2026,355.83,
6200,Utilities - Electric,01/31/2026,"1,263.51",
6210,Utilities - Water & Sewer,01/31/2026,438.03,
6220,Telephone & Internet,01/31/2026,"1,299.56",
6230,Utilities - Gas,01/31/2026,0.00,
6240,Waste Removal,01/31/2026,757.10,
6300,Rent - Portland Warehouse,01/31/2026,"8,500.00",
6310,Rent - Seattle Warehouse,01/31/2026,"6,420.00",
6320,Rent - Boise Warehouse,01/31/2026,"4,875.00",
6330,Third-Party Storage,01/31/2026,"3,808.52",
6400,Freight-In,01/31/2026,"67,607.57",
6410,Freight Rebates,01/31/2026,0.00,
6420,Delivery Fuel,01/31/2026,"13,247.21",
6430,Vehicle Repairs & Maintenance,01/31/2026,"1,336.83",
6440,Tolls & Parking,01/31/2026,0.00,
6450,Vehicle Registration,01/31/2026,0.00,
6460,Vehicle Leases,01/31/2026,0.00,
6500,Insurance - General,01/31/2026,"3,275.00",
6510,Insurance - Vehicles,01/31/2026,0.00,
6520,Insurance - Product Liability,01/31/2026,0.00,
6600,Repairs - Refrigeration & Equipment,01/31/2026,"1,578.95",
6610,Forklift Lease,01/31/2026,"2,208.62",
6620,Building Repairs,01/31/2026,"1,787.39",
6630,Small Tools & Equipment,01/31/2026,0.00,
6700,Depreciation Expense,01/31/2026,"11,850.00",
6710,Amortization Expense,01/31/2026,500.00,
6800,Bad Debt Expense,01/31/2026,0.00,
6810,Collection Fees,01/31/2026,0.00,
6900,Office Supplies,01/31/2026,807.97,
6910,Postage & Delivery,01/31/2026,0.00,
6920,Bank Service Charges,01/31/2026,0.00,
6925,Merchant Fees,01/31/2026,0.00,
6930,Dues & Subscriptions,01/31/2026,0.00,
6935,Software Subscriptions,01/31/2026,615.10,
6940,Accounting Fees,01/31/2026,"11,433.66",
6945,Consulting Fees,01/31/2026,0.00,
6950,Legal Fees,01/31/2026,"3,784.14",
6960,IT Services,01/31/2026,"2,092.17",
6970,Janitorial,01/31/2026,"2,365.04",
6980,Pest Control,01/31/2026,261.75,
6990,Uniforms & Laundry,01/31/2026,"1,180.22",
6995,Miscellaneous Expense (old),01/31/2026,0.00,
6999,Suspense – Clearing,01/31/2026,"2,845.35",
7100,Foreign Exchange Gain/Loss,01/31/2026,0.00,
7200,Interest Expense,01/31/2026,"6,651.20",
7300,Interest Income,01/31/2026,0.00,
7400,Gain/Loss on Asset Disposal,01/31/2026,0.00,
7900,Other Expense,01/31/2026,0.00,
8000,Owner Draw (old),01/31/2026,0.00,
1000,Petty Cash,02/28/2026,400.00,
1010,Operating Account - First Cascade 4471,02/28/2026,"480,453.95",
1015,Payroll Account - First Cascade 4488,02/28/2026,"5,000.00",
1020,Money Market - First Cascade 4490,02/28/2026,"250,000.00",
1030,Savings - Umpqua (closed),02/28/2026,0.00,
1100,Undeposited Funds,02/28/2026,0.00,
1110,Returned Checks,02/28/2026,0.00,
1200,Accounts Receivable,02/28/2026,"1,922,488.90",
1205,Allowance for Doubtful Accounts,02/28/2026,,"35,000.00"
1215,Employee Advances,02/28/2026,0.00,
1250,Other Receivables,02/28/2026,"3,150.00",
1260,Notes Receivable,02/28/2026,0.00,
1300,Inventory - Finished Goods,02/28/2026,"1,790,618.52",
1310,Inventory in Transit,02/28/2026,0.00,
1320,Inventory - Samples,02/28/2026,0.00,
1400,Prepaid Insurance,02/28/2026,"32,750.00",
1410,Prepaid Expenses - Other,02/28/2026,"18,400.00",
1420,Security Deposits,02/28/2026,"42,500.00",
1500,Warehouse Equipment,02/28/2026,"1,182,400.00",
1510,Vehicles,02/28/2026,"486,300.00",
1520,Leasehold Improvements,02/28/2026,"211,750.00",
1530,Office Furniture & Equipment,02/28/2026,"38,620.00",
1540,Computer Equipment,02/28/2026,"52,980.00",
1590,Accumulated Depreciation,02/28/2026,,"436,340.00"
1600,Utility Deposits,02/28/2026,"6,200.00",
1700,Customer Lists,02/28/2026,"60,000.00",
1790,Accumulated Amortization,02/28/2026,,"37,000.00"
2000,Accounts Payable,02/28/2026,,"1,206,711.77"
2050,Cascade Visa Business,02/28/2026,0.00,
2060,Amex Corporate (closed),02/28/2026,0.00,
2100,Accrued Liabilities,02/28/2026,,"16,923.17"
2150,Payroll Liabilities,02/28/2026,0.00,
2160,Accrued Commissions,02/28/2026,,"15,823.69"
2170,Accrued Vacation,02/28/2026,,"48,620.00"
2200,Sales Tax Payable,02/28/2026,0.00,
2210,Use Tax Payable,02/28/2026,0.00,
2220,Oregon CAT Payable,02/28/2026,,"7,840.00"
2300,Customer Deposits,02/28/2026,0.00,
2400,Deferred Revenue,02/28/2026,0.00,
2500,Line of Credit - First Cascade,02/28/2026,,"1,010,000.00"
2700,Equipment Loan - First Cascade,02/28/2026,,"258,700.00"
2710,Vehicle Loans,02/28/2026,,"94,200.00"
2800,Due to Shareholder,02/28/2026,0.00,
3000,Common Stock,02/28/2026,,"50,000.00"
3100,Additional Paid-In Capital,02/28/2026,,"150,000.00"
3900,Retained Earnings,02/28/2026,,"3,293,027.23"
3950,Shareholder Distributions,02/28/2026,0.00,
4000,Sales - Wholesale Grocery,02/28/2026,,"3,107,819.42"
4010,Sales - Foodservice,02/28/2026,,"287,378.68"
4100,Sales - Export,02/28/2026,,"46,644.81"
4200,Freight Income,02/28/2026,0.00,
4300,Rebate Income,02/28/2026,0.00,
4400,Miscellaneous Income,02/28/2026,0.00,
4900,Sales Discounts,02/28/2026,0.00,
4950,Returns & Allowances,02/28/2026,0.00,
5000,Cost of Goods Sold,02/28/2026,"2,497,126.04",
5010,Inventory Adjustments,02/28/2026,0.00,
5020,Purchase Price Variance,02/28/2026,0.00,
5030,Samples & Demos,02/28/2026,0.00,
5100,Inbound Freight - COGS,02/28/2026,0.00,
5150,Packaging Materials,02/28/2026,"94,949.42",
5200,Spoilage & Shrink,02/28/2026,0.00,
5300,Co-Packing Fees,02/28/2026,0.00,
6000,Advertising & Marketing,02/28/2026,567.58,
6010,Trade Shows,02/28/2026,"2,584.62",
6020,Website,02/28/2026,0.00,
6030,Meals & Entertainment,02/28/2026,0.00,
6040,Travel,02/28/2026,0.00,
6050,Donations,02/28/2026,0.00,
6060,Licenses & Permits,02/28/2026,920.40,
6070,Property Taxes,02/28/2026,0.00,
6080,Business Taxes,02/28/2026,0.00,
6090,Recruiting,02/28/2026,0.00,
6100,Wages - Warehouse,02/28/2026,"246,329.09",
6105,Wages - Drivers,02/28/2026,"151,345.38",
6110,Wages - Office,02/28/2026,"135,983.15",
6120,Payroll Taxes,02/28/2026,"43,381.45",
6130,Employee Benefits,02/28/2026,0.00,
6140,Workers Compensation,02/28/2026,0.00,
6150,Sales Commissions,02/28/2026,"32,324.17",
6160,Temporary Labor,02/28/2026,"12,001.29",
6170,Training,02/28/2026,0.00,
6180,Employee Relations,02/28/2026,0.00,
6190,Payroll Processing Fees,02/28/2026,714.75,
6200,Utilities - Electric,02/28/2026,"2,499.58",
6210,Utilities - Water & Sewer,02/28/2026,"1,030.15",
6220,Telephone & Internet,02/28/2026,"2,566.25",
6230,Utilities - Gas,02/28/2026,0.00,
6240,Waste Removal,02/28/2026,"1,364.86",
6300,Rent - Portland Warehouse,02/28/2026,"17,000.00",
6310,Rent - Seattle Warehouse,02/28/2026,"12,840.00",
6320,Rent - Boise Warehouse,02/28/2026,"9,750.00",
6330,Third-Party Storage,02/28/2026,"6,181.34",
6400,Freight-In,02/28/2026,"132,436.02",
6410,Freight Rebates,02/28/2026,0.00,
6420,Delivery Fuel,02/28/2026,"24,332.88",
6430,Vehicle Repairs & Maintenance,02/28/2026,"2,526.84",
6440,Tolls & Parking,02/28/2026,0.00,
6450,Vehicle Registration,02/28/2026,0.00,
6460,Vehicle Leases,02/28/2026,0.00,
6500,Insurance - General,02/28/2026,"6,550.00",
6510,Insurance - Vehicles,02/28/2026,0.00,
6520,Insurance - Product Liability,02/28/2026,0.00,
6600,Repairs - Refrigeration & Equipment,02/28/2026,"5,645.77",
6610,Forklift Lease,02/28/2026,"4,395.23",
6620,Building Repairs,02/28/2026,"1,787.39",
6630,Small Tools & Equipment,02/28/2026,0.00,
6700,Depreciation Expense,02/28/2026,"23,700.00",
6710,Amortization Expense,02/28/2026,"1,000.00",
6800,Bad Debt Expense,02/28/2026,0.00,
6810,Collection Fees,02/28/2026,0.00,
6900,Office Supplies,02/28/2026,"1,449.72",
6910,Postage & Delivery,02/28/2026,0.00,
6920,Bank Service Charges,02/28/2026,0.00,
6925,Merchant Fees,02/28/2026,0.00,
6930,Dues & Subscriptions,02/28/2026,0.00,
6935,Software Subscriptions,02/28/2026,"1,159.40",
6940,Accounting Fees,02/28/2026,"11,433.66",
6945,Consulting Fees,02/28/2026,0.00,
6950,Legal Fees,02/28/2026,"3,784.14",
6960,IT Services,02/28/2026,"4,310.89",
6970,Janitorial,02/28/2026,"4,007.08",
6980,Pest Control,02/28/2026,261.75,
6990,Uniforms & Laundry,02/28/2026,"1,869.37",
6995,Miscellaneous Expense (old),02/28/2026,0.00,
6999,Suspense – Clearing,02/28/2026,"2,315.77",
7100,Foreign Exchange Gain/Loss,02/28/2026,0.00,
7200,Interest Expense,02/28/2026,"13,591.97",
7300,Interest Income,02/28/2026,0.00,
7400,Gain/Loss on Asset Disposal,02/28/2026,0.00,
7900,Other Expense,02/28/2026,0.00,
8000,Owner Draw (old),02/28/2026,0.00,
1000,Petty Cash,03/31/2026,400.00,
1010,Operating Account - First Cascade 4471,03/31/2026,"670,953.77",
1015,Payroll Account - First Cascade 4488,03/31/2026,"5,000.00",
1020,Money Market - First Cascade 4490,03/31/2026,"250,000.00",
1030,Savings - Umpqua (closed),03/31/2026,0.00,
1100,Undeposited Funds,03/31/2026,0.00,
1110,Returned Checks,03/31/2026,0.00,
1200,Accounts Receivable,03/31/2026,"1,973,787.44",
1205,Allowance for Doubtful Accounts,03/31/2026,,"36,700.00"
1215,Employee Advances,03/31/2026,0.00,
1250,Other Receivables,03/31/2026,"3,150.00",
1260,Notes Receivable,03/31/2026,0.00,
1300,Inventory - Finished Goods,03/31/2026,"1,871,257.05",
1310,Inventory in Transit,03/31/2026,0.00,
1320,Inventory - Samples,03/31/2026,0.00,
1400,Prepaid Insurance,03/31/2026,"29,475.00",
1410,Prepaid Expenses - Other,03/31/2026,"18,400.00",
1420,Security Deposits,03/31/2026,"42,500.00",
1500,Warehouse Equipment,03/31/2026,"1,182,400.00",
1510,Vehicles,03/31/2026,"486,300.00",
1520,Leasehold Improvements,03/31/2026,"211,750.00",
1530,Office Furniture & Equipment,03/31/2026,"38,620.00",
1540,Computer Equipment,03/31/2026,"52,980.00",
1590,Accumulated Depreciation,03/31/2026,,"448,190.00"
1600,Utility Deposits,03/31/2026,"6,200.00",
1700,Customer Lists,03/31/2026,"60,000.00",
1790,Accumulated Amortization,03/31/2026,,"37,500.00"
2000,Accounts Payable,03/31/2026,,"1,451,752.60"
2050,Cascade Visa Business,03/31/2026,0.00,
2060,Amex Corporate (closed),03/31/2026,0.00,
2100,Accrued Liabilities,03/31/2026,,"17,670.33"
2150,Payroll Liabilities,03/31/2026,0.00,
2160,Accrued Commissions,03/31/2026,,"16,170.73"
2170,Accrued Vacation,03/31/2026,,"48,620.00"
2200,Sales Tax Payable,03/31/2026,0.00,
2210,Use Tax Payable,03/31/2026,0.00,
2220,Oregon CAT Payable,03/31/2026,,"7,840.00"
2300,Customer Deposits,03/31/2026,0.00,
2400,Deferred Revenue,03/31/2026,0.00,
2500,Line of Credit - First Cascade,03/31/2026,,"1,065,000.00"
2700,Equipment Loan - First Cascade,03/31/2026,,"253,850.00"
2710,Vehicle Loans,03/31/2026,,"94,200.00"
2800,Due to Shareholder,03/31/2026,0.00,
3000,Common Stock,03/31/2026,,"50,000.00"
3100,Additional Paid-In Capital,03/31/2026,,"150,000.00"
3900,Retained Earnings,03/31/2026,,"3,293,027.23"
3950,Shareholder Distributions,03/31/2026,0.00,
4000,Sales - Wholesale Grocery,03/31/2026,,"4,842,217.40"
4010,Sales - Foodservice,03/31/2026,,"480,487.14"
4100,Sales - Export,03/31/2026,,"78,182.12"
4200,Freight Income,03/31/2026,0.00,
4300,Rebate Income,03/31/2026,0.00,
4400,Miscellaneous Income,03/31/2026,0.00,
4900,Sales Discounts,03/31/2026,0.00,
4950,Returns & Allowances,03/31/2026,0.00,
5000,Cost of Goods Sold,03/31/2026,"3,937,775.17",
5010,Inventory Adjustments,03/31/2026,0.00,
5020,Purchase Price Variance,03/31/2026,0.00,
5030,Samples & Demos,03/31/2026,0.00,
5100,Inbound Freight - COGS,03/31/2026,0.00,
5150,Packaging Materials,03/31/2026,"117,680.95",
5200,Spoilage & Shrink,03/31/2026,0.00,
5300,Co-Packing Fees,03/31/2026,0.00,
6000,Advertising & Marketing,03/31/2026,567.58,
6010,Trade Shows,03/31/2026,"2,584.62",
6020,Website,03/31/2026,0.00,
6030,Meals & Entertainment,03/31/2026,0.00,
6040,Travel,03/31/2026,0.00,
6050,Donations,03/31/2026,0.00,
6060,Licenses & Permits,03/31/2026,"1,727.01",
6070,Property Taxes,03/31/2026,0.00,
6080,Business Taxes,03/31/2026,0.00,
6090,Recruiting,03/31/2026,0.00,
6100,Wages - Warehouse,03/31/2026,"369,494.27",
6105,Wages - Drivers,03/31/2026,"229,121.84",
6110,Wages - Office,03/31/2026,"205,079.33",
6120,Payroll Taxes,03/31/2026,"65,249.84",
6130,Employee Benefits,03/31/2026,0.00,
6140,Workers Compensation,03/31/2026,0.00,
6150,Sales Commissions,03/31/2026,"48,494.90",
6160,Temporary Labor,03/31/2026,"18,787.38",
6170,Training,03/31/2026,0.00,
6180,Employee Relations,03/31/2026,0.00,
6190,Payroll Processing Fees,03/31/2026,"1,040.24",
6200,Utilities - Electric,03/31/2026,"3,684.20",
6210,Utilities - Water & Sewer,03/31/2026,"1,447.95",
6220,Telephone & Internet,03/31/2026,"3,912.74",
6230,Utilities - Gas,03/31/2026,0.00,
6240,Waste Removal,03/31/2026,"1,877.39",
6300,Rent - Portland Warehouse,03/31/2026,"25,500.00",
6310,Rent - Seattle Warehouse,03/31/2026,"19,260.00",
6320,Rent - Boise Warehouse,03/31/2026,"14,625.00",
6330,Third-Party Storage,03/31/2026,"9,000.44",
6400,Freight-In,03/31/2026,"197,008.58",
6410,Freight Rebates,03/31/2026,0.00,
6420,Delivery Fuel,03/31/2026,"36,528.46",
6430,Vehicle Repairs & Maintenance,03/31/2026,"4,452.93",
6440,Tolls & Parking,03/31/2026,0.00,
6450,Vehicle Registration,03/31/2026,0.00,
6460,Vehicle Leases,03/31/2026,0.00,
6500,Insurance - General,03/31/2026,"9,825.00",
6510,Insurance - Vehicles,03/31/2026,"8,499.45",
6520,Insurance - Product Liability,03/31/2026,0.00,
6600,Repairs - Refrigeration & Equipment,03/31/2026,"6,768.91",
6610,Forklift Lease,03/31/2026,"6,744.37",
6620,Building Repairs,03/31/2026,"6,290.04",
6630,Small Tools & Equipment,03/31/2026,869.81,
6700,Depreciation Expense,03/31/2026,"35,550.00",
6710,Amortization Expense,03/31/2026,"1,500.00",
6800,Bad Debt Expense,03/31/2026,"1,700.00",
6810,Collection Fees,03/31/2026,0.00,
6900,Office Supplies,03/31/2026,"2,418.18",
6910,Postage & Delivery,03/31/2026,0.00,
6920,Bank Service Charges,03/31/2026,0.00,
6925,Merchant Fees,03/31/2026,0.00,
6930,Dues & Subscriptions,03/31/2026,"1,181.47",
6935,Software Subscriptions,03/31/2026,"1,790.15",
6940,Accounting Fees,03/31/2026,"25,362.76",
6945,Consulting Fees,03/31/2026,0.00,
6950,Legal Fees,03/31/2026,"3,784.14",
6960,IT Services,03/31/2026,"6,810.32",
6970,Janitorial,03/31/2026,"6,841.77",
6980,Pest Control,03/31/2026,938.79,
6990,Uniforms & Laundry,03/31/2026,"3,320.22",
6995,Miscellaneous Expense (old),03/31/2026,0.00,
6999,Suspense – Clearing,03/31/2026,"2,315.77",
7100,Foreign Exchange Gain/Loss,03/31/2026,0.00,
7200,Interest Expense,03/31/2026,"20,822.32",
7300,Interest Income,03/31/2026,0.00,
7400,Gain/Loss on Asset Disposal,03/31/2026,0.00,
7900,Other Expense,03/31/2026,0.00,
8000,Owner Draw (old),03/31/2026,0.00,
1000,Petty Cash,04/30/2026,400.00,
1010,Operating Account - First Cascade 4471,04/30/2026,"344,932.28",
1015,Payroll Account - First Cascade 4488,04/30/2026,"5,000.00",
1020,Money Market - First Cascade 4490,04/30/2026,"250,000.00",
1030,Savings - Umpqua (closed),04/30/2026,0.00,
1100,Undeposited Funds,04/30/2026,0.00,
1110,Returned Checks,04/30/2026,0.00,
1200,Accounts Receivable,04/30/2026,"1,872,780.21",
1205,Allowance for Doubtful Accounts,04/30/2026,,"36,700.00"
1215,Employee Advances,04/30/2026,0.00,
1250,Other Receivables,04/30/2026,"3,150.00",
