Invoice No,Customer ID,Customer Name,Invoice Date,Due Date,Terms,Currency,Subtotal,Tax,Total,Exchange Rate,Total (USD),Balance Due,Status
INV-10025,C-0233,Rose City Market Hall,01/05/2026,02/04/2026,Net 30,USD,"11,722.27",0.00,"11,722.27",1.0000,"11,722.27",0.00,Paid
INV-10026,C-0357,Mountain Grocers LLC,01/05/2026,02/04/2026,Net 30,USD,"11,321.11",0.00,"11,321.11",1.0000,"11,321.11",0.00,Paid
INV-10027,C-0122,Owyhee Mercantile,01/12/2026,02/11/2026,Net 30,USD,"26,244.54",0.00,"26,244.54",1.0000,"26,244.54",0.00,Paid
INV-10028,C-0083,Acorn Supper Club,01/05/2026,01/20/2026,Net 15,USD,"2,342.22",0.00,"2,342.22",1.0000,"2,342.22",0.00,Paid
INV-10029,C-0050,Aster Kitchen,01/06/2026,01/21/2026,Net 15,USD,"3,906.86",0.00,"3,906.86",1.0000,"3,906.86",0.00,Paid
INV-10030,C-0082,Chanterelle Supper Club,01/06/2026,01/21/2026,Net 15,USD,910.83,0.00,910.83,1.0000,910.83,0.00,Paid
INV-10031,C-0193,Quinault Country Store,01/07/2026,02/06/2026,Net 30,USD,"23,128.67",0.00,"23,128.67",1.0000,"23,128.67",0.00,Paid
INV-10032,C-0420,Nehalem Bay Grocers,01/07/2026,02/06/2026,Net 30,USD,"22,415.61",0.00,"22,415.61",1.0000,"22,415.61",0.00,Paid
INV-10033,C-0069,Riverbend Natural Grocers,01/12/2026,02/11/2026,Net 30,USD,"26,284.34",0.00,"26,284.34",1.0000,"26,284.34",0.00,Paid
INV-10034,C-0200,Ember Lane Grocers,01/12/2026,02/11/2026,Net 30,USD,"28,593.39",0.00,"28,593.39",1.0000,"28,593.39",0.00,Paid
INV-10035,C-0331,Ironwood Grocery,01/12/2026,02/11/2026,Net 30,USD,"21,355.33",0.00,"21,355.33",1.0000,"21,355.33",0.00,Paid
INV-10036,C-0074,Estuary Smokehouse,01/05/2026,01/20/2026,Net 15,USD,"3,987.49",0.00,"3,987.49",1.0000,"3,987.49",0.00,Paid
INV-10037,C-0107,Green Valley Co-op,01/06/2026,02/05/2026,Net 30,USD,"15,796.67",0.00,"15,796.67",1.0000,"15,796.67",0.00,Paid
INV-10038,C-0379,Filbert & Oak Market,01/06/2026,02/05/2026,Net 30,USD,"16,651.24",0.00,"16,651.24",1.0000,"16,651.24",0.00,Paid
INV-10039,C-0396,Driftwood Pantry,01/07/2026,02/06/2026,Net 30,USD,"20,472.56",0.00,"20,472.56",1.0000,"20,472.56",0.00,Paid
INV-10040,C-0348,Foxglove Market,01/13/2026,02/12/2026,Net 30,USD,"16,546.44",0.00,"16,546.44",1.0000,"16,546.44",0.00,Paid
INV-10041,C-0337,Saffron Taproom,01/08/2026,01/23/2026,Net 15,USD,"2,321.36",0.00,"2,321.36",1.0000,"2,321.36",0.00,Paid
INV-10042,C-0105,Whidbey Harvest Co-op,01/12/2026,02/11/2026,Net 30,USD,"22,320.36",0.00,"22,320.36",1.0000,"22,320.36",0.00,Paid
INV-10043,C-0143,Gorge Valley Co-op,01/12/2026,02/11/2026,Net 30,USD,"20,662.61",0.00,"20,662.61",1.0000,"20,662.61",0.00,Paid
INV-10044,C-0306,Tillamook Road Grocery,01/07/2026,02/06/2026,Net 30,USD,"20,533.19",0.00,"20,533.19",1.0000,"20,533.19",0.00,Paid
INV-10045,C-0133,Sawtooth Natural Foods,01/09/2026,02/08/2026,Net 30,USD,"23,804.64",0.00,"23,804.64",1.0000,"23,804.64",0.00,Paid
INV-10046,C-0427,Deschutes Food Hall,01/09/2026,02/08/2026,Net 30,USD,"26,717.74",0.00,"26,717.74",1.0000,"26,717.74",0.00,Paid
INV-10047,C-0400,Salmonberry Market,01/12/2026,02/11/2026,Net 30,USD,"22,349.98",0.00,"22,349.98",1.0000,"22,349.98",0.00,Paid
INV-10048,C-0147,Vashon Island Market,01/09/2026,02/08/2026,Net 30,USD,"11,566.90",0.00,"11,566.90",1.0000,"11,566.90",0.00,Paid
INV-10049,C-0381,Rookery Cafe,01/09/2026,01/24/2026,Net 15,USD,"4,063.79",0.00,"4,063.79",1.0000,"4,063.79",0.00,Paid
INV-10050,C-0163,Elk Rock Provisions,01/13/2026,02/12/2026,Net 30,USD,"22,671.84",0.00,"22,671.84",1.0000,"22,671.84",0.00,Paid
INV-10051,C-0207,Wildwood Tavern,01/09/2026,01/24/2026,Net 15,USD,"3,222.66",0.00,"3,222.66",1.0000,"3,222.66",0.00,Paid
INV-10052,C-0090,Zigzag Mountain Grocery,01/12/2026,02/11/2026,Net 30,USD,"21,808.73",0.00,"21,808.73",1.0000,"21,808.73",0.00,Paid
INV-10053,C-0198,GREEN VALLEY COOP #2,01/12/2026,02/11/2026,Net 30,USD,"13,016.48",0.00,"13,016.48",1.0000,"13,016.48",0.00,Paid
INV-10054,C-0390,Dogwood Bistro,01/12/2026,01/27/2026,Net 15,USD,"2,745.65",0.00,"2,745.65",1.0000,"2,745.65",0.00,Paid
INV-10055,C-0425,Thistle Pizzeria,01/12/2026,01/27/2026,Net 15,USD,"2,336.48",0.00,"2,336.48",1.0000,"2,336.48",0.00,Paid
INV-10056,C-0064,Juniper Hill Foods,01/16/2026,02/15/2026,Net 30,USD,"16,007.25",0.00,"16,007.25",1.0000,"16,007.25",0.00,Paid
INV-10057,C-0301,Alpenkost GmbH,03/02/2026,05/31/2026,Net 90,EUR,"11,797.50",0.00,"11,797.50",1.0832,"12,779.05",0.00,Paid
INV-10058,C-0172,Driftless Tavern,01/12/2026,01/27/2026,Net 15,USD,"3,301.33",0.00,"3,301.33",1.0000,"3,301.33",0.00,Paid
INV-10059,C-0411,Iris Taproom,01/12/2026,01/27/2026,Net 15,USD,"1,593.98",0.00,"1,593.98",1.0000,"1,593.98",0.00,Paid
INV-10060,C-0120,Saltbox Kitchen,01/13/2026,01/28/2026,Net 15,USD,"2,201.87",0.00,"2,201.87",1.0000,"2,201.87",0.00,Paid
INV-10061,C-0027,Cascade Harvest Grocers,01/14/2026,02/13/2026,Net 30,USD,"24,402.98",0.00,"24,402.98",1.0000,"24,402.98",0.00,Paid
INV-10062,C-0415,Kestrel Market Hall,01/19/2026,02/18/2026,Net 30,USD,"22,462.20",0.00,"22,462.20",1.0000,"22,462.20",0.00,Paid
INV-10063,C-0139,Greenhouse Bistro,01/12/2026,01/27/2026,Net 15,USD,"1,456.28",0.00,"1,456.28",1.0000,"1,456.28",0.00,Paid
INV-10064,C-0145,Hearth Cantina,01/12/2026,01/27/2026,Net 15,USD,766.13,0.00,766.13,1.0000,766.13,0.00,Paid
INV-10065,C-0299,Orchard Bakery,01/12/2026,01/27/2026,Net 15,USD,"3,466.37",0.00,"3,466.37",1.0000,"3,466.37",0.00,Paid
INV-10066,C-0335,Mountain Grocers Inc.,01/12/2026,02/11/2026,Net 30,USD,"16,790.93",0.00,"16,790.93",1.0000,"16,790.93",0.00,Paid
INV-10067,C-0402,Verbena Supper Club,01/12/2026,01/27/2026,Net 15,USD,"3,285.65",0.00,"3,285.65",1.0000,"3,285.65",0.00,Paid
INV-10068,C-0012,Olallie Market,01/13/2026,02/12/2026,Net 30,USD,"13,382.94",0.00,"13,382.94",1.0000,"13,382.94",0.00,Paid
INV-10069,C-0135,Vine Bistro,01/13/2026,01/28/2026,Net 15,USD,"4,001.12",0.00,"4,001.12",1.0000,"4,001.12",0.00,Paid
INV-10070,C-0183,Madrona Food Co-op,01/13/2026,02/12/2026,Net 30,USD,"22,616.89",0.00,"22,616.89",1.0000,"22,616.89",0.00,Paid
INV-10071,C-0190,Magpie Tavern,01/14/2026,01/29/2026,Net 15,USD,"2,245.15",0.00,"2,245.15",1.0000,"2,245.15",0.00,Paid
INV-10072,C-0191,Riverstone Smokehouse,01/14/2026,01/29/2026,Net 15,USD,"1,842.58",0.00,"1,842.58",1.0000,"1,842.58",0.00,Paid
INV-10073,C-0303,Trillium Bistro,01/13/2026,01/28/2026,Net 15,USD,"2,680.20",0.00,"2,680.20",1.0000,"2,680.20",0.00,Paid
INV-10074,C-0242,Pumice Cantina,01/14/2026,01/29/2026,Net 15,USD,"2,579.46",0.00,"2,579.46",1.0000,"2,579.46",0.00,Paid
INV-10075,C-0088,Palouse Provisions,01/20/2026,02/19/2026,Net 30,USD,"23,029.88",0.00,"23,029.88",1.0000,"23,029.88",0.00,Paid
INV-10076,C-0096,Pioneer Square Provisions,01/22/2026,02/21/2026,Net 30,USD,"21,307.66",0.00,"21,307.66",1.0000,"21,307.66",0.00,Paid
INV-10077,C-0306,Tillamook Road Grocery,01/22/2026,02/21/2026,Net 30,USD,"22,934.97",0.00,"22,934.97",1.0000,"22,934.97",0.00,Paid
INV-10078,C-0116,Ember Eatery,01/14/2026,01/29/2026,Net 15,USD,"3,322.48",0.00,"3,322.48",1.0000,"3,322.48",0.00,Paid
INV-10079,C-0389,Umpqua Valley Foods,01/14/2026,02/13/2026,Net 30,USD,"26,136.60",0.00,"26,136.60",1.0000,"26,136.60",0.00,Paid
INV-10080,C-0330,Alder Street Market,01/16/2026,02/15/2026,Net 30,USD,"27,617.55",0.00,"27,617.55",1.0000,"27,617.55",0.00,Paid
INV-10081,C-0357,Mountain Grocers LLC,01/19/2026,02/18/2026,Net 30,USD,"23,014.49",0.00,"23,014.49",1.0000,"23,014.49",0.00,Paid
INV-10082,C-0399,Larch Mountain Mercantile,01/19/2026,02/18/2026,Net 30,USD,"19,165.49",0.00,"19,165.49",1.0000,"19,165.49",0.00,Paid
INV-10083,C-0147,Vashon Island Market,01/21/2026,02/20/2026,Net 30,USD,"23,589.85",0.00,"23,589.85",1.0000,"23,589.85",0.00,Paid
INV-10084,C-0045,Bridgetown Pantry,01/21/2026,02/20/2026,Net 30,USD,"20,213.39",0.00,"20,213.39",1.0000,"20,213.39",0.00,Paid
INV-10085,C-0396,Driftwood Pantry,01/23/2026,02/22/2026,Net 30,USD,"28,943.77",0.00,"28,943.77",1.0000,"28,943.77",0.00,Paid
INV-10086,C-0301,Alpenkost GmbH,02/09/2026,05/10/2026,Net 90,EUR,"10,651.30",0.00,"10,651.30",1.0791,"11,493.82",0.00,Paid
INV-10087,C-0046,Yakima Orchard Market,01/19/2026,02/18/2026,Net 30,USD,"19,535.38",0.00,"19,535.38",1.0000,"19,535.38",0.00,Paid
INV-10088,C-0379,Filbert & Oak Market,01/19/2026,02/18/2026,Net 30,USD,"24,112.32",0.00,"24,112.32",1.0000,"24,112.32",0.00,Paid
INV-10089,C-0420,Nehalem Bay Grocers,01/21/2026,02/20/2026,Net 30,USD,"20,716.65",0.00,"20,716.65",1.0000,"20,716.65",0.00,Paid
INV-10090,C-0076,Thimbleberry Eatery,01/19/2026,02/03/2026,Net 15,USD,"1,458.71",0.00,"1,458.71",1.0000,"1,458.71",0.00,Paid
INV-10091,C-0107,Green Valley Co-op,01/19/2026,02/18/2026,Net 30,USD,"25,820.98",0.00,"25,820.98",1.0000,"25,820.98",0.00,Paid
INV-10092,C-0365,Quarry Bistro,01/19/2026,02/03/2026,Net 15,USD,"3,121.16",0.00,"3,121.16",1.0000,"3,121.16",0.00,Paid
INV-10093,C-0143,Gorge Valley Co-op,01/26/2026,02/25/2026,Net 30,USD,"11,675.59",0.00,"11,675.59",1.0000,"11,675.59",0.00,Paid
INV-10094,C-0200,Ember Lane Grocers,01/26/2026,02/25/2026,Net 30,USD,"11,590.08",0.00,"11,590.08",1.0000,"11,590.08",0.00,Paid
INV-10095,C-0400,Salmonberry Market,01/26/2026,02/25/2026,Net 30,USD,"17,065.87",0.00,"17,065.87",1.0000,"17,065.87",0.00,Paid
INV-10096,C-0087,Inkwell Supper Club,01/19/2026,02/03/2026,Net 15,USD,"2,738.98",0.00,"2,738.98",1.0000,"2,738.98",0.00,Paid
INV-10097,C-0171,Dune Cantina,01/19/2026,02/03/2026,Net 15,USD,"2,621.28",0.00,"2,621.28",1.0000,"2,621.28",0.00,Paid
INV-10098,C-0090,Zigzag Mountain Grocery,01/26/2026,02/25/2026,Net 30,USD,"24,375.08",0.00,"24,375.08",1.0000,"24,375.08",0.00,Paid
INV-10099,C-0331,Ironwood Grocery,01/26/2026,02/25/2026,Net 30,USD,"11,769.07",0.00,"11,769.07",1.0000,"11,769.07",0.00,Paid
INV-10100,C-0233,Rose City Market Hall,01/19/2026,02/18/2026,Net 30,USD,"11,612.23",0.00,"11,612.23",1.0000,"11,612.23",0.00,Paid
INV-10101,C-0337,Saffron Taproom,01/19/2026,02/03/2026,Net 15,USD,"1,226.70",0.00,"1,226.70",1.0000,"1,226.70",0.00,Paid
INV-10102,C-0414,Belmont Natural Foods,01/19/2026,02/18/2026,Net 30,USD,"12,909.07",0.00,"12,909.07",1.0000,"12,909.07",0.00,Paid
INV-10103,C-0183,Madrona Food Co-op,01/27/2026,02/26/2026,Net 30,USD,"16,429.39",0.00,"16,429.39",1.0000,"16,429.39",0.00,Paid
INV-10104,C-0163,Elk Rock Provisions,01/28/2026,02/27/2026,Net 30,USD,"15,077.19",0.00,"15,077.19",1.0000,"15,077.19",0.00,Paid
INV-10105,C-0081,Fernwood Grill,01/20/2026,02/04/2026,Net 15,USD,"3,588.14",0.00,"3,588.14",1.0000,"3,588.14",0.00,Paid
INV-10106,C-0185,Gristmill Supper Club,01/20/2026,02/04/2026,Net 15,USD,"3,956.19",0.00,"3,956.19",1.0000,"3,956.19",0.00,Paid
INV-10107,C-0087,Inkwell Supper Club,01/21/2026,02/05/2026,Net 15,USD,"1,809.42",0.00,"1,809.42",1.0000,"1,809.42",0.00,Paid
INV-10108,C-0136,Redtail Brasserie,01/21/2026,02/05/2026,Net 15,USD,915.46,0.00,915.46,1.0000,915.46,0.00,Paid
INV-10109,C-0146,Jetty Tavern,01/21/2026,02/05/2026,Net 15,USD,"2,694.65",0.00,"2,694.65",1.0000,"2,694.65",0.00,Paid
INV-10110,C-0219,Huckleberry Grill,01/21/2026,02/05/2026,Net 15,USD,"3,908.37",0.00,"3,908.37",1.0000,"3,908.37",0.00,Paid
INV-10111,C-0093,Heron Cafe,01/22/2026,02/06/2026,Net 15,USD,"3,165.40",0.00,"3,165.40",1.0000,"3,165.40",0.00,Paid
INV-10112,C-0133,Sawtooth Natural Foods,01/23/2026,02/22/2026,Net 30,USD,"20,378.49",0.00,"20,378.49",1.0000,"20,378.49",0.00,Paid
INV-10113,C-0273,Coldwater Creek Market,01/26/2026,02/25/2026,Net 30,USD,"11,212.05",0.00,"11,212.05",1.0000,"11,212.05",0.00,Paid
INV-10114,C-0389,Umpqua Valley Foods,01/28/2026,02/27/2026,Net 30,USD,"12,274.09",0.00,"12,274.09",1.0000,"12,274.09",0.00,Paid
INV-10115,C-0186,Hawthorne Fresh Market,01/21/2026,02/20/2026,Net 30,USD,"22,832.55",0.00,"22,832.55",1.0000,"22,832.55",0.00,Paid
INV-10116,C-0193,Quinault Country Store,01/21/2026,02/20/2026,Net 30,USD,"25,719.27",0.00,"25,719.27",1.0000,"25,719.27",0.00,Paid
INV-10117,C-0033,Treasure Valley Market,01/22/2026,02/21/2026,Net 30,USD,"24,848.73",0.00,"24,848.73",1.0000,"24,848.73",0.00,Paid
INV-10118,C-0217,Paddle Eatery,01/22/2026,02/06/2026,Net 15,USD,841.09,0.00,841.09,1.0000,841.09,0.00,Paid
INV-10119,C-0340,Eastside Cafe,01/22/2026,02/06/2026,Net 15,USD,"2,480.66",0.00,"2,480.66",1.0000,"2,480.66",0.00,Paid
INV-10120,C-0423,Salt Marsh Kitchen,01/23/2026,02/07/2026,Net 15,USD,"1,855.36",0.00,"1,855.36",1.0000,"1,855.36",0.00,Paid
INV-10121,C-0198,GREEN VALLEY COOP #2,01/26/2026,02/25/2026,Net 30,USD,"13,070.19",0.00,"13,070.19",1.0000,"13,070.19",0.00,Paid
INV-10122,C-0334,Isle Smokehouse,01/22/2026,02/06/2026,Net 15,USD,"2,282.07",0.00,"2,282.07",1.0000,"2,282.07",0.00,Paid
INV-10123,C-0116,Ember Eatery,01/23/2026,02/07/2026,Net 15,USD,"2,608.97",0.00,"2,608.97",1.0000,"2,608.97",0.00,Paid
INV-10124,C-0275,Tamarack Smokehouse,01/23/2026,02/07/2026,Net 15,USD,"2,865.84",0.00,"2,865.84",1.0000,"2,865.84",0.00,Paid
INV-10125,C-0349,Dovetail Taproom,01/23/2026,02/07/2026,Net 15,USD,"2,703.42",0.00,"2,703.42",1.0000,"2,703.42",0.00,Paid
INV-10126,C-0335,Mountain Grocers Inc.,01/26/2026,02/25/2026,Net 30,USD,"20,927.01",0.00,"20,927.01",1.0000,"20,927.01",0.00,Paid
INV-10127,C-0381,Rookery Cafe,01/23/2026,02/07/2026,Net 15,USD,"1,812.51",0.00,"1,812.51",1.0000,"1,812.51",0.00,Paid
INV-10128,C-0403,Basalt Grill,01/26/2026,02/10/2026,Net 15,USD,867.36,0.00,867.36,1.0000,867.36,0.00,Paid
INV-10129,C-0427,Deschutes Food Hall,01/26/2026,02/25/2026,Net 30,USD,"28,242.76",0.00,"28,242.76",1.0000,"28,242.76",0.00,Paid
INV-10130,C-0012,Olallie Market,01/27/2026,02/26/2026,Net 30,USD,"23,546.12",0.00,"23,546.12",1.0000,"23,546.12",0.00,Paid
INV-10131,C-0008,Alder Cantina,01/26/2026,02/10/2026,Net 15,USD,"1,176.23",0.00,"1,176.23",1.0000,"1,176.23",0.00,Paid
INV-10132,C-0207,Wildwood Tavern,01/27/2026,02/11/2026,Net 15,USD,"2,944.57",0.00,"2,944.57",1.0000,"2,944.57",0.00,Paid
INV-10133,C-0355,Jackdaw Kitchen,01/27/2026,02/11/2026,Net 15,USD,"2,104.32",0.00,"2,104.32",1.0000,"2,104.32",0.00,Paid
INV-10134,C-0414,Belmont Natural Foods,02/02/2026,03/04/2026,Net 30,USD,"17,925.31",0.00,"17,925.31",1.0000,"17,925.31",0.00,Paid
INV-10135,C-0301,Alpenkost GmbH,02/19/2026,05/20/2026,Net 90,EUR,"7,327.85",0.00,"7,327.85",1.0826,"7,933.13",0.00,Paid
INV-10136,C-0047,Gable Brasserie,01/26/2026,02/10/2026,Net 15,USD,"2,048.80",0.00,"2,048.80",1.0000,"2,048.80",0.00,Paid
INV-10137,C-0105,Whidbey Harvest Co-op,01/26/2026,02/25/2026,Net 30,USD,"22,021.92",0.00,"22,021.92",1.0000,"22,021.92",0.00,Paid
INV-10138,C-0122,Owyhee Mercantile,01/26/2026,02/25/2026,Net 30,USD,"25,699.62",0.00,"25,699.62",1.0000,"25,699.62",0.00,Paid
INV-10139,C-0264,Vale Brasserie,01/26/2026,02/10/2026,Net 15,USD,"2,444.12",0.00,"2,444.12",1.0000,"2,444.12",0.00,Paid
INV-10140,C-0325,Cobalt Cafe,01/26/2026,02/10/2026,Net 15,USD,"2,410.22",0.00,"2,410.22",1.0000,"2,410.22",0.00,Paid
INV-10141,C-0425,Thistle Pizzeria,01/26/2026,02/10/2026,Net 15,USD,"1,726.37",0.00,"1,726.37",1.0000,"1,726.37",0.00,Paid
INV-10142,C-0295,Zephyr Bakery,01/27/2026,02/11/2026,Net 15,USD,"3,334.78",0.00,"3,334.78",1.0000,"3,334.78",0.00,Paid
INV-10143,C-0040,Parsnip Pizzeria,01/28/2026,02/12/2026,Net 15,USD,"4,034.80",0.00,"4,034.80",1.0000,"4,034.80",0.00,Paid
INV-10144,C-0330,Alder Street Market,01/30/2026,03/01/2026,Net 30,USD,"16,639.26",0.00,"16,639.26",1.0000,"16,639.26",0.00,Paid
INV-10145,C-0088,Palouse Provisions,02/02/2026,03/04/2026,Net 30,USD,"17,217.68",0.00,"17,217.68",1.0000,"17,217.68",0.00,Paid
INV-10146,C-0069,Riverbend Natural Grocers,01/28/2026,02/27/2026,Net 30,USD,"14,278.74",0.00,"14,278.74",1.0000,"14,278.74",0.00,Paid
INV-10147,C-0129,Anchor Pizzeria,01/28/2026,02/12/2026,Net 15,USD,"1,667.20",0.00,"1,667.20",1.0000,"1,667.20",0.00,Paid
INV-10148,C-0334,Isle Smokehouse,01/28/2026,02/12/2026,Net 15,USD,"2,353.10",0.00,"2,353.10",1.0000,"2,353.10",0.00,Paid
INV-10149,C-0102,Indigo Deli,01/29/2026,02/13/2026,Net 15,USD,"2,929.56",0.00,"2,929.56",1.0000,"2,929.56",0.00,Paid
INV-10150,C-0064,Juniper Hill Foods,01/30/2026,03/01/2026,Net 30,USD,"21,526.81",0.00,"21,526.81",1.0000,"21,526.81",0.00,Paid
INV-10151,C-0379,Filbert & Oak Market,02/02/2026,03/04/2026,Net 30,USD,"21,569.17",0.00,"21,569.17",1.0000,"21,569.17",0.00,Paid
INV-10152,C-0415,Kestrel Market Hall,02/02/2026,03/04/2026,Net 30,USD,"23,169.81",0.00,"23,169.81",1.0000,"23,169.81",0.00,Paid
INV-10153,C-0096,Pioneer Square Provisions,02/03/2026,03/05/2026,Net 30,USD,"22,449.62",0.00,"22,449.62",1.0000,"22,449.62",0.00,Paid
INV-10154,C-0306,Tillamook Road Grocery,02/04/2026,03/06/2026,Net 30,USD,"11,928.82",0.00,"11,928.82",1.0000,"11,928.82",0.00,Paid
INV-10155,C-0027,Cascade Harvest Grocers,01/28/2026,02/27/2026,Net 30,USD,"17,584.48",0.00,"17,584.48",1.0000,"17,584.48",0.00,Paid
INV-10156,C-0076,Thimbleberry Eatery,01/28/2026,02/12/2026,Net 15,USD,"3,299.57",0.00,"3,299.57",1.0000,"3,299.57",0.00,Paid
INV-10157,C-0136,Redtail Brasserie,01/28/2026,02/12/2026,Net 15,USD,"2,912.70",0.00,"2,912.70",1.0000,"2,912.70",0.00,Paid
INV-10158,C-0348,Foxglove Market,01/28/2026,02/27/2026,Net 30,USD,"20,363.41",0.00,"20,363.41",1.0000,"20,363.41",0.00,Paid
INV-10159,C-0276,Mossy Rock Taproom,01/29/2026,02/13/2026,Net 15,USD,"2,756.06",0.00,"2,756.06",1.0000,"2,756.06",0.00,Paid
INV-10160,C-0031,Oyster Taproom,01/30/2026,02/14/2026,Net 15,USD,"3,386.36",0.00,"3,386.36",1.0000,"3,386.36",0.00,Paid
INV-10161,C-0107,Green Valley Co-op,02/02/2026,03/04/2026,Net 30,USD,"12,977.16",0.00,"12,977.16",1.0000,"12,977.16",0.00,Paid
INV-10162,C-0396,Driftwood Pantry,02/05/2026,03/07/2026,Net 30,USD,"24,524.90",0.00,"24,524.90",1.0000,"24,524.90",0.00,Paid
INV-10163,C-0156,Hollow Noodle House,01/30/2026,02/14/2026,Net 15,USD,834.21,0.00,834.21,1.0000,834.21,0.00,Paid
INV-10164,C-0045,Bridgetown Pantry,02/02/2026,03/04/2026,Net 30,USD,"21,764.01",0.00,"21,764.01",1.0000,"21,764.01",0.00,Paid
INV-10165,C-0147,Vashon Island Market,02/02/2026,03/04/2026,Net 30,USD,"18,676.67",0.00,"18,676.67",1.0000,"18,676.67",0.00,Paid
INV-10166,C-0399,Larch Mountain Mercantile,02/02/2026,03/04/2026,Net 30,USD,"26,187.70",0.00,"26,187.70",1.0000,"26,187.70",0.00,Paid
INV-10167,C-0193,Quinault Country Store,02/05/2026,03/07/2026,Net 30,USD,"24,072.68",0.00,"24,072.68",1.0000,"24,072.68",0.00,Paid
INV-10168,C-0093,Heron Cafe,02/02/2026,02/17/2026,Net 15,USD,"2,168.56",0.00,"2,168.56",1.0000,"2,168.56",0.00,Paid
INV-10169,C-0186,Hawthorne Fresh Market,02/02/2026,03/04/2026,Net 30,USD,"20,295.03",0.00,"20,295.03",1.0000,"20,295.03",0.00,Paid
