Account,Description,Type,Detail Type,Active
6240,Waste Removal,Expense,Utilities,Yes
6300,Rent - Portland Warehouse,Expense,Rent or Lease of Buildings,Yes
6310,Rent - Seattle Warehouse,Expense,Rent or Lease of Buildings,Yes
6320,Rent - Boise Warehouse,Expense,Rent or Lease of Buildings,Yes
6330,Third-Party Storage,Expense,Rent or Lease of Buildings,Yes
6400,Freight-In,Expense,"Shipping, Freight & Delivery",Yes
6410,Freight Rebates,Expense,"Shipping, Freight & Delivery",Yes
6420,Delivery Fuel,Expense,Auto,Yes
6430,Vehicle Repairs & Maintenance,Expense,Auto,Yes
6440,Tolls & Parking,Expense,Auto,Yes
6450,Vehicle Registration,Expense,Auto,Yes
6460,Vehicle Leases,Expense,Auto,Yes
6500,Insurance - General,Expense,Insurance,Yes
6510,Insurance - Vehicles,Expense,Insurance,Yes
6520,Insurance - Product Liability,Expense,Insurance,Yes
6600,Repairs - Refrigeration & Equipment,Expense,Repair & Maintenance,Yes
6610,Forklift Lease,Expense,Equipment Rental,Yes
6620,Building Repairs,Expense,Repair & Maintenance,Yes
6630,Small Tools & Equipment,Expense,Supplies,Yes
6700,Depreciation Expense,Expense,Depreciation,Yes
6710,Amortization Expense,Expense,Amortization,Yes
6800,Bad Debt Expense,Expense,Bad Debts,Yes
6810,Collection Fees,Expense,Bad Debts,Yes
6900,Office Supplies,Expense,Office/General Administrative Expenses,Yes
6910,Postage & Delivery,Expense,Office/General Administrative Expenses,Yes
6920,Bank Service Charges,Expense,Bank Charges,Yes
6925,Merchant Fees,Expense,Bank Charges,Yes
6930,Dues & Subscriptions,Expense,Dues & subscriptions,Yes
6935,Software Subscriptions,Expense,Dues & subscriptions,Yes
6940,Accounting Fees,Expense,Legal & Professional Fees,Yes
6945,Consulting Fees,Expense,Legal & Professional Fees,Yes
6950,Legal Fees,Expense,Legal & Professional Fees,Yes
6960,IT Services,Expense,Other Business Expenses,Yes
6970,Janitorial,Expense,Other Business Expenses,Yes
6980,Pest Control,Expense,Other Business Expenses,Yes
6990,Uniforms & Laundry,Expense,Other Business Expenses,Yes
6995,Miscellaneous Expense (old),Expense,Other Miscellaneous Service Cost,No
6999,Suspense – Clearing,Other Current Asset,Other Current Assets,No
7100,Foreign Exchange Gain/Loss,Other Expense,Exchange Gain or Loss,Yes
7200,Interest Expense,Other Expense,Interest Paid,Yes
7300,Interest Income,Other Income,Interest Earned,Yes
7400,Gain/Loss on Asset Disposal,Other Expense,Other Miscellaneous Expense,Yes
7900,Other Expense,Other Expense,Other Miscellaneous Expense,Yes
8000,Owner Draw (old),Equity,Owner's Equity,No
