Customer ID,Customer Name,Address,City,State,Zip,Country,AP Email,Tax ID,Currency,Terms,Status,Created
C-0023,East Brook Catering,6814 Main St,Meridian,ID,83687,US,ap@eastbrookcatering.com,XX-XXX3075,USD,Net 30,Inactive,07/04/2010
C-0024,Silver Pine Foods,3369 N Mississippi Ave,Vancouver,WA,98611,US,ap@silverpinefoods.com,XX-XXX5516,USD,Net 30,Inactive,11/22/2022
C-0025,Big River Deli,6702 Rainier Ave S,Everett,WA,98210,US,ap@bigriverdeli.com,XX-XXX7746,USD,Net 30,Inactive,10/28/2015
C-0027,Cascade Harvest Grocers,7731 Market St,Corvallis,OR,97384,US,ap@cascadeharvestgroc.com,XX-XXX8037,USD,Net 30,Active,10/06/2022
C-0028,Grand Canyon Market,3024 Olive Way,Nampa,ID,83658,US,ap@grandcanyonmarket.com,XX-XXX2864,USD,Net 30,Inactive,07/03/2018
C-0029,Twin Meadow Cafe,5343 Oak St,Seattle,WA,98161,US,ap@twinmeadowcafe.com,XX-XXX6583,USD,Net 30,Inactive,07/07/2016
C-0030,Twin River Bistro,1924 Harbor Dr,Boise,ID,83763,US,ap@twinriverbistro.com,XX-XXX6182,USD,Net 30,Inactive,08/30/2016
C-0031,Oyster Taproom,4596 N Mississippi Ave,Meridian,ID,83678,US,billing@oystertaproom.com,XX-XXX5785,USD,Net 15,Active,05/20/2020
C-0032,Blue Butte Foods,3025 Olive Way,Boise,ID,83791,US,ap@bluebuttefoods.com,XX-XXX7696,USD,Net 30,Inactive,05/24/2019
C-0033,Treasure Valley Market,4495 Oak St,Idaho Falls,ID,83417,US,ap@treasurevalleymark.com,XX-XXX4852,USD,Net 30,Active,08/03/2012
C-0034,Golden Hollow Foods,3855 Capitol Blvd,Nampa,ID,83622,US,ap@goldenhollowfoods.com,XX-XXX7411,USD,Net 30,Inactive,10/17/2021
C-0035,Velvet Taproom,5821 Commercial St NE,Hillsboro,OR,97112,US,billing@velvettaproom.com,XX-XXX8169,USD,Net 15,Active,05/01/2023
C-0036,Alpine Eatery,9385 Harbor Dr,Gresham,OR,97020,US,billing@alpineeatery.com,XX-XXX7451,USD,Net 15,Active,11/01/2012
C-0037,Bellwether Tavern,4159 Center St,Corvallis,OR,97357,US,billing@bellwethertavern.com,XX-XXX4485,USD,Net 15,Active,04/16/2016
C-0038,Golden Meadow Deli,7052 SE Belmont St,Everett,WA,98247,US,ap@goldenmeadowdeli.com,XX-XXX8108,USD,Net 30,Inactive,09/28/2010
C-0039,Big Summit Foods,6551 Oak St,Portland,OR,97288,US,ap@bigsummitfoods.com,XX-XXX6392,USD,Net 30,Inactive,04/29/2019
C-0040,Parsnip Pizzeria,4927 Rainier Ave S,Hood River,OR,97033,US,billing@parsnippizzeria.com,XX-XXX1238,USD,Net 15,Active,03/14/2012
C-0042,Misty Field Foods,5695 Olive Way,Vancouver,WA,98607,US,ap@mistyfieldfoods.com,XX-XXX1150,USD,Net 30,Inactive,02/04/2022
C-0044,Old Pine Bistro,7555 Rainier Ave S,Tacoma,WA,98401,US,ap@oldpinebistro.com,XX-XXX1233,USD,Net 30,Inactive,06/24/2021
C-0045,Bridgetown Pantry,5415 SW Barbur Blvd,Bellevue,WA,98087,US,ap@bridgetownpantry.com,XX-XXX2712,USD,Net 30,Active,07/18/2013
C-0046,Yakima Orchard Market,1877 Main St,Everett,WA,98200,US,ap@yakimaorchardmarke.com,XX-XXX4984,USD,Net 30,Active,04/26/2013
C-0047,Gable Brasserie,8184 SE Division St,Seattle,WA,98156,US,billing@gablebrasserie.com,XX-XXX1000,USD,Net 15,Active,08/04/2011
C-0048,East Harbor Grocery,8227 Front Ave,Nampa,ID,83662,US,ap@eastharborgrocery.com,XX-XXX4779,USD,Net 30,Inactive,03/01/2018
C-0049,Portland Catering Collective,4271 Center St,Portland,OR,97210,US,ap@portlandcateringco.org,XX-XXX4131,USD,Net 30,Active,06/10/2012
C-0050,Aster Kitchen,2816 Center St,Eugene,OR,97405,US,billing@asterkitchen.com,XX-XXX9017,USD,Net 15,Active,05/17/2016
C-0051,Misty Bridge Market,7937 Pearl St,Seattle,WA,98152,US,ap@mistybridgemarket.com,XX-XXX7356,USD,Net 30,Inactive,02/23/2016
C-0052,Silver Ridge Cafe,871 SE Belmont St,Tacoma,WA,98406,US,ap@silverridgecafe.com,XX-XXX7810,USD,Net 30,Inactive,07/04/2013
C-0053,Golden Lake Provisions,6363 Pearl St,Salem,OR,97334,US,ap@goldenlakeprovisio.com,XX-XXX3456,USD,Net 30,Inactive,08/02/2016
C-0054,Big Prairie Grocery,4419 SW Barbur Blvd,Corvallis,OR,97381,US,ap@bigprairiegrocery.com,XX-XXX4541,USD,Net 30,Inactive,08/13/2022
C-0055,Lumen Kitchen,5165 Commercial St NE,Beaverton,OR,97006,US,billing@lumenkitchen.com,XX-XXX5673,USD,Net 15,Active,07/25/2018
C-0056,Granary Pizzeria,3256 Market St,Nampa,ID,83617,US,billing@granarypizzeria.com,XX-XXX3538,USD,Net 15,Active,03/10/2013
C-0057,East Pine Provisions,5099 Pearl St,Idaho Falls,ID,83455,US,ap@eastpineprovisions.com,XX-XXX9944,USD,Net 30,Inactive,08/30/2012
C-0058,Misty Grove Bistro,4256 Pearl St,Portland,OR,97286,US,ap@mistygrovebistro.com,XX-XXX3968,USD,Net 30,Inactive,09/03/2014
C-0059,Silver Hill Catering,5599 W Idaho St,Seattle,WA,98157,US,ap@silverhillcatering.com,XX-XXX5315,USD,Net 30,Inactive,11/15/2017
C-0060,Silver Creek Grocery,9606 Main St,Meridian,ID,83605,US,ap@silvercreekgrocery.com,XX-XXX3699,USD,Net 30,Inactive,08/23/2022
C-0061,Low Prairie Foods,9120 Center St,Olympia,WA,98593,US,ap@lowprairiefoods.com,XX-XXX6542,USD,Net 30,Inactive,10/06/2015
C-0063,High Creek Bistro,7988 SE Belmont St,Everett,WA,98248,US,ap@highcreekbistro.com,XX-XXX5682,USD,Net 30,Inactive,12/02/2019
C-0064,Juniper Hill Foods,5921 Main St,Beaverton,OR,97070,US,ap@juniperhillfoods.com,XX-XXX5598,USD,Net 30,Active,03/26/2017
C-0065,Red Field Grocery,3783 Oak St,Salem,OR,97302,US,ap@redfieldgrocery.com,XX-XXX9268,USD,Net 30,Inactive,06/15/2022
C-0066,Keel Smokehouse,9647 Evergreen Pkwy,Idaho Falls,ID,83446,US,billing@keelsmokehouse.com,XX-XXX2631,USD,Net 15,Active,12/02/2022
C-0067,Golden Ridge Bistro,3611 Riverside Dr,Vancouver,WA,98642,US,ap@goldenridgebistro.com,XX-XXX9681,USD,Net 30,Inactive,03/11/2022
C-0068,Low Spring Market,8347 E Fairview Ave,Hood River,OR,97010,US,ap@lowspringmarket.com,XX-XXX7195,USD,Net 30,Inactive,07/20/2015
C-0069,Riverbend Natural Grocers,5461 Market St,Seattle,WA,98196,US,ap@riverbendnaturalgr.com,XX-XXX2439,USD,Net 30,Active,03/14/2015
C-0070,Hidden Spring Provisions,7716 Center St,Tacoma,WA,98490,US,ap@hiddenspringprovis.com,XX-XXX6559,USD,Net 30,Inactive,10/05/2010
C-0071,Lone Pine Cafe,3981 N Mississippi Ave,Meridian,ID,83693,US,ap@lonepinecafe.com,XX-XXX3011,USD,Net 30,Inactive,03/19/2019
C-0072,Little Meadow Kitchen,1915 Pacific Ave,Everett,WA,98294,US,ap@littlemeadowkitche.com,XX-XXX7496,USD,Net 30,Inactive,11/16/2010
C-0073,Golden Field Bistro,5827 Market St,Bellevue,WA,98072,US,ap@goldenfieldbistro.com,XX-XXX7349,USD,Net 30,Inactive,09/17/2016
C-0074,Estuary Smokehouse,673 Broadway,Hood River,OR,97006,US,billing@estuarysmokehouse.com,XX-XXX3869,USD,Net 15,Active,06/29/2016
C-0075,Vesper Pizzeria,8154 N Mississippi Ave,Everett,WA,98248,US,billing@vesperpizzeria.com,XX-XXX8821,USD,Net 15,Active,12/31/2024
C-0076,Thimbleberry Eatery,3849 Center St,Boise,ID,83773,US,billing@thimbleberryeatery.com,XX-XXX8655,USD,Net 15,Active,01/22/2019
C-0077,Hidden Grove Deli,5694 SE Division St,Idaho Falls,ID,83482,US,ap@hiddengrovedeli.com,XX-XXX4740,USD,Net 30,Inactive,01/20/2015
C-0078,Red Hill Deli,5259 SE Belmont St,Meridian,ID,83668,US,ap@redhilldeli.com,XX-XXX5316,USD,Net 30,Inactive,05/08/2019
C-0080,Little Lake Provisions,3271 Harbor Dr,Beaverton,OR,97067,US,ap@littlelakeprovisio.com,XX-XXX5581,USD,Net 30,Inactive,12/07/2012
C-0081,Fernwood Grill,7989 Olive Way,Hillsboro,OR,97161,US,billing@fernwoodgrill.com,XX-XXX7774,USD,Net 15,Active,07/18/2025
C-0082,Chanterelle Supper Club,9326 Market St,Boise,ID,83714,US,billing@chanterellesupperc.com,XX-XXX5416,USD,Net 15,Active,03/29/2012
C-0083,Acorn Supper Club,1758 Industrial Way,Hood River,OR,97015,US,billing@acornsupperclub.com,XX-XXX5412,USD,Net 15,Active,12/07/2012
C-0084,Green Meadow Kitchen,1409 SE Division St,Olympia,WA,98540,US,ap@greenmeadowkitchen.com,XX-XXX3923,USD,Net 30,Inactive,04/02/2011
C-0085,Green Butte Cafe,4333 Broadway,Olympia,WA,98591,US,ap@greenbuttecafe.com,XX-XXX6152,USD,Net 30,Inactive,02/09/2020
C-0086,Sunny Bridge Kitchen,3940 Olive Way,Meridian,ID,83686,US,ap@sunnybridgekitchen.com,XX-XXX8412,USD,Net 30,Inactive,03/29/2020
C-0087,Inkwell Supper Club,3631 Evergreen Pkwy,Eugene,OR,97483,US,billing@inkwellsupperclub.com,XX-XXX5614,USD,Net 15,Active,03/13/2016
C-0088,Palouse Provisions,2379 NE Alberta St,Meridian,ID,83663,US,ap@palouseprovisions.com,XX-XXX3827,USD,Net 30,Active,07/02/2022
C-0089,Kinfolk Pizzeria,6184 W Idaho St,Vancouver,WA,98687,US,billing@kinfolkpizzeria.com,XX-XXX2988,USD,Net 15,Active,11/10/2018
C-0090,Zigzag Mountain Grocery,5578 Center St,Vancouver,WA,98682,US,ap@zigzagmountaingroc.com,XX-XXX3181,USD,Net 30,Active,09/27/2012
C-0091,West River Foods,8704 N Mississippi Ave,Hood River,OR,97028,US,ap@westriverfoods.com,XX-XXX6834,USD,Net 30,Inactive,04/14/2013
C-0092,Low Meadow Deli,4100 Oak St,Beaverton,OR,97024,US,ap@lowmeadowdeli.com,XX-XXX3213,USD,Net 30,Inactive,03/24/2019
C-0093,Heron Cafe,225 Pacific Ave,Gresham,OR,97044,US,billing@heroncafe.com,XX-XXX2008,USD,Net 15,Active,03/13/2012
C-0094,Misty Harbor Kitchen,2396 W Idaho St,Vancouver,WA,98602,US,ap@mistyharborkitchen.com,XX-XXX3763,USD,Net 30,Inactive,02/05/2019
C-0095,Misty Field Deli,5485 Olive Way,Lake Oswego,OR,97082,US,ap@mistyfielddeli.com,XX-XXX3127,USD,Net 30,Inactive,02/07/2018
C-0096,Pioneer Square Provisions,7733 Riverside Dr,Beaverton,OR,97004,US,ap@pioneersquareprovi.com,XX-XXX8751,USD,Net 30,Active,07/20/2021
C-0097,Misty Harbor Foods,6714 Center St,Tacoma,WA,98400,US,ap@mistyharborfoods.com,XX-XXX5155,USD,Net 30,Inactive,05/30/2012
C-0098,Low Meadow Grocery,609 Market St,Meridian,ID,83663,US,ap@lowmeadowgrocery.com,XX-XXX5422,USD,Net 30,Inactive,05/26/2020
C-0099,North Canyon Grocery,484 W Idaho St,Hood River,OR,97072,US,ap@northcanyongrocery.com,XX-XXX7414,USD,Net 30,Inactive,05/05/2015
C-0100,Copperleaf Brasserie,3520 SE Division St,Idaho Falls,ID,83491,US,billing@copperleafbrasseri.com,XX-XXX9841,USD,Net 15,Active,06/29/2016
C-0101,Big Pine Catering,5585 Industrial Way,Gresham,OR,97004,US,ap@bigpinecatering.com,XX-XXX9205,USD,Net 30,Inactive,09/27/2009
C-0102,Indigo Deli,5439 Pearl St,Eugene,OR,97412,US,billing@indigodeli.com,XX-XXX2129,USD,Net 15,Active,06/26/2021
C-0103,Salem Campus Dining,9204 Industrial Way,Boise,ID,83768,US,ap@salemcampusdining.org,XX-XXX8140,USD,Net 30,Active,12/06/2021
C-0104,Old Grove Catering,3408 Industrial Way,Portland,OR,97249,US,ap@oldgrovecatering.com,XX-XXX1334,USD,Net 30,Inactive,10/31/2009
C-0105,Whidbey Harvest Co-op,969 SW Barbur Blvd,Tacoma,WA,98406,US,ap@whidbeyharvestcoop.com,XX-XXX3479,USD,Net 30,Active,04/11/2013
C-0106,Fiddlehead Taproom,6600 Pearl St,Bellevue,WA,98081,US,billing@fiddleheadtaproom.com,XX-XXX1143,USD,Net 15,Active,07/13/2014
C-0107,Green Valley Co-op,1220 SE Hawthorne Blvd,Portland,OR,97214,US,ap@greenvalley.coop,XX-XXX8447,USD,Net 30,Active,05/12/2014
C-0108,Millrace Pizzeria,9724 Olive Way,Portland,OR,97222,US,billing@millracepizzeria.com,XX-XXX2154,USD,Net 15,Active,09/30/2021
C-0109,Big Stone Kitchen,7514 Evergreen Pkwy,Beaverton,OR,97014,US,ap@bigstonekitchen.com,XX-XXX5944,USD,Net 30,Inactive,08/09/2016
C-0110,West Ridge Foods,2087 Main St,Gresham,OR,97095,US,ap@westridgefoods.com,XX-XXX6752,USD,Net 30,Inactive,10/20/2018
C-0112,Loam Bakery,3900 Broadway,Corvallis,OR,97388,US,billing@loambakery.com,XX-XXX1215,USD,Net 15,Active,09/08/2023
C-0113,Willet Cafe,210 E Fairview Ave,Idaho Falls,ID,83420,US,billing@willetcafe.com,XX-XXX8326,USD,Net 15,Active,01/29/2025
C-0114,Misty Mill Kitchen,8059 Main St,Tacoma,WA,98407,US,ap@mistymillkitchen.com,XX-XXX8291,USD,Net 30,Inactive,03/25/2021
C-0115,Gull Eatery,6665 Capitol Blvd,Idaho Falls,ID,83435,US,billing@gulleatery.com,XX-XXX5889,USD,Net 15,Active,01/01/2025
C-0116,Ember Eatery,4101 SE Belmont St,Salem,OR,97349,US,billing@embereatery.com,XX-XXX4646,USD,Net 15,Active,07/01/2014
C-0117,Old Field Foods,6072 Rainier Ave S,Vancouver,WA,98605,US,ap@oldfieldfoods.com,XX-XXX8001,USD,Net 30,Inactive,12/19/2022
C-0118,High Bridge Foods,4430 Olive Way,Idaho Falls,ID,83499,US,ap@highbridgefoods.com,XX-XXX6303,USD,Net 30,Inactive,09/02/2011
C-0119,Green Ridge Provisions,8631 Industrial Way,Boise,ID,83794,US,ap@greenridgeprovisio.com,XX-XXX1523,USD,Net 30,Inactive,03/31/2016
C-0120,Saltbox Kitchen,2214 NW Thurman St,Portland,OR,97210,US,owner@saltboxkitchen.com,XX-XXX1967,USD,Net 15,Active,07/29/2018
C-0121,Upland Kitchen,4842 Market St,Eugene,OR,97424,US,billing@uplandkitchen.com,XX-XXX1284,USD,Net 15,Active,07/28/2021
C-0122,Owyhee Mercantile,9188 Oak St,Nampa,ID,83666,US,ap@owyheemercantile.com,XX-XXX6891,USD,Net 30,Active,10/09/2023
C-0123,Twin Summit Market,157 Industrial Way,Tacoma,WA,98488,US,ap@twinsummitmarket.com,XX-XXX2157,USD,Net 30,Inactive,06/01/2016
C-0124,Little River Kitchen,2860 Rainier Ave S,Olympia,WA,98560,US,ap@littleriverkitchen.com,XX-XXX8014,USD,Net 30,Inactive,04/28/2017
C-0125,Low Butte Deli,923 Oak St,Eugene,OR,97429,US,ap@lowbuttedeli.com,XX-XXX6761,USD,Net 30,Inactive,01/22/2021
C-0126,Grand Prairie Kitchen,3063 SW Barbur Blvd,Bellevue,WA,98065,US,ap@grandprairiekitche.com,XX-XXX8969,USD,Net 30,Inactive,12/25/2010
C-0127,Hidden Prairie Catering,8399 Industrial Way,Eugene,OR,97420,US,ap@hiddenprairiecater.com,XX-XXX3205,USD,Net 30,Inactive,12/08/2016
C-0128,South Brook Cafe,1695 Oak St,Vancouver,WA,98618,US,ap@southbrookcafe.com,XX-XXX8924,USD,Net 30,Inactive,01/20/2019
C-0129,Anchor Pizzeria,579 SW Barbur Blvd,Gresham,OR,97041,US,billing@anchorpizzeria.com,XX-XXX5083,USD,Net 15,Active,04/02/2011
C-0130,Cinder Kitchen,1653 Broadway,Idaho Falls,ID,83466,US,billing@cinderkitchen.com,XX-XXX3051,USD,Net 15,Active,02/26/2012
C-0131,Low Creek Provisions,2811 SE Division St,Boise,ID,83708,US,ap@lowcreekprovisions.com,XX-XXX3144,USD,Net 30,Inactive,10/25/2020
C-0132,Jubilee Cantina,4328 Front Ave,Tacoma,WA,98442,US,billing@jubileecantina.com,XX-XXX7268,USD,Net 15,Active,05/19/2014
C-0133,Sawtooth Natural Foods,7612 SW Barbur Blvd,Boise,ID,83707,US,ap@sawtoothnaturalfoo.com,XX-XXX8929,USD,Net 30,Active,03/01/2024
C-0134,East Summit Foods,7578 Riverside Dr,Lake Oswego,OR,97059,US,ap@eastsummitfoods.com,XX-XXX8038,USD,Net 30,Inactive,06/20/2016
C-0135,Vine Bistro,2990 NW 23rd Ave,Seattle,WA,98160,US,billing@vinebistro.com,XX-XXX1146,USD,Net 15,Active,05/05/2024
C-0136,Redtail Brasserie,9661 Pacific Ave,Everett,WA,98286,US,billing@redtailbrasserie.com,XX-XXX5768,USD,Net 15,Active,04/27/2021
C-0137,Grand Summit Foods,1019 Pearl St,Olympia,WA,98553,US,ap@grandsummitfoods.com,XX-XXX2676,USD,Net 30,Inactive,07/29/2017
C-0138,Hidden Meadow Market,3063 Pearl St,Seattle,WA,98190,US,ap@hiddenmeadowmarket.com,XX-XXX3199,USD,Net 30,Inactive,08/27/2019
C-0139,Greenhouse Bistro,9562 SE Belmont St,Boise,ID,83738,US,billing@greenhousebistro.com,XX-XXX4385,USD,Net 15,Active,01/25/2022
C-0140,South Stone Kitchen,329 NW 23rd Ave,Bellevue,WA,98040,US,ap@southstonekitchen.com,XX-XXX6784,USD,Net 30,Inactive,08/23/2010
C-0141,Low Brook Grocery,3427 NW 23rd Ave,Salem,OR,97319,US,ap@lowbrookgrocery.com,XX-XXX2167,USD,Net 30,Inactive,08/31/2016
C-0142,Sextant Bakery,5789 E Fairview Ave,Olympia,WA,98573,US,billing@sextantbakery.com,XX-XXX3512,USD,Net 15,Active,06/27/2015
C-0143,Gorge Valley Co-op,2339 Olive Way,Eugene,OR,97434,US,ap@gorgevalleycoop.com,XX-XXX3683,USD,Net 30,Active,11/27/2018
C-0144,Hidden Brook Catering,9322 E Fairview Ave,Hillsboro,OR,97144,US,ap@hiddenbrookcaterin.com,XX-XXX8202,USD,Net 30,Inactive,10/13/2009
C-0145,Hearth Cantina,171 N Mississippi Ave,Meridian,ID,83620,US,billing@hearthcantina.com,XX-XXX8600,USD,Net 15,Active,11/20/2012
C-0146,Jetty Tavern,1031 Pacific Ave,Tacoma,WA,98471,US,billing@jettytavern.com,XX-XXX7392,USD,Net 15,Active,04/18/2019
C-0147,Vashon Island Market,4937 Riverside Dr,Bellevue,WA,98062,US,ap@vashonislandmarket.com,XX-XXX8634,USD,Net 30,Active,03/04/2025
C-0148,Little Pine Deli,9307 N Mississippi Ave,Boise,ID,83783,US,ap@littlepinedeli.com,XX-XXX2165,USD,Net 30,Inactive,03/09/2022
C-0149,Golden Hill Foods,9561 Industrial Way,Beaverton,OR,97015,US,ap@goldenhillfoods.com,XX-XXX7026,USD,Net 30,Inactive,04/08/2021
C-0150,Little Mill Bistro,841 Evergreen Pkwy,Tacoma,WA,98445,US,ap@littlemillbistro.com,XX-XXX7507,USD,Net 30,Inactive,05/22/2019
C-0151,East Harbor Foods,6324 Commercial St NE,Meridian,ID,83660,US,ap@eastharborfoods.com,XX-XXX8522,USD,Net 30,Inactive,06/25/2013
C-0152,Lone Meadow Kitchen,1789 Pearl St,Idaho Falls,ID,83402,US,ap@lonemeadowkitchen.com,XX-XXX7633,USD,Net 30,Inactive,01/23/2019
C-0153,Hidden Ridge Catering,9188 NW 23rd Ave,Idaho Falls,ID,83400,US,ap@hiddenridgecaterin.com,XX-XXX5755,USD,Net 30,Inactive,07/09/2019
C-0154,Green Valley Cooperative Market,1220 S.E. Hawthorne Boulevard,Portland,OR,97214,US,accounts@greenvalley.coop,XX-XXX8447,USD,Net 30,Active,09/18/2025
C-0155,Lodestar Cafe,1816 Front Ave,Meridian,ID,83612,US,billing@lodestarcafe.com,XX-XXX9611,USD,Net 15,Active,01/30/2024
C-0156,Hollow Noodle House,1760 Pacific Ave,Hillsboro,OR,97153,US,billing@hollownoodlehouse.com,XX-XXX4760,USD,Net 15,Active,06/05/2017
C-0157,North Stone Kitchen,8943 NW 23rd Ave,Portland,OR,97208,US,ap@northstonekitchen.com,XX-XXX5368,USD,Net 30,Inactive,05/28/2014
C-0158,Umber Grill,6987 Market St,Lake Oswego,OR,97094,US,billing@umbergrill.com,XX-XXX8451,USD,Net 15,Active,02/27/2022
C-0159,High Lake Kitchen,1109 Riverside Dr,Meridian,ID,83696,US,ap@highlakekitchen.com,XX-XXX1654,USD,Net 30,Inactive,04/17/2015
C-0160,Sunny Field Cafe,3255 Pearl St,Everett,WA,98287,US,ap@sunnyfieldcafe.com,XX-XXX1434,USD,Net 30,Inactive,06/19/2013
C-0161,Bramble Noodle House,2454 Riverside Dr,Seattle,WA,98186,US,billing@bramblenoodlehouse.com,XX-XXX1575,USD,Net 15,Active,08/29/2011
C-0162,Little Meadow Bistro,8955 Commercial St NE,Nampa,ID,83648,US,ap@littlemeadowbistro.com,XX-XXX2464,USD,Net 30,Inactive,03/07/2014
C-0163,Elk Rock Provisions,9511 Rainier Ave S,Gresham,OR,97047,US,ap@elkrockprovisions.com,XX-XXX7959,USD,Net 30,Active,10/01/2019
C-0164,West Harbor Bistro,4032 SW Barbur Blvd,Idaho Falls,ID,83417,US,ap@westharborbistro.com,XX-XXX4425,USD,Net 30,Inactive,12/10/2022
C-0165,Twin Harbor Market,617 Riverside Dr,Salem,OR,97301,US,ap@twinharbormarket.com,XX-XXX7220,USD,Net 30,Inactive,06/06/2020
C-0167,East Creek Cafe,1908 Pearl St,Idaho Falls,ID,83487,US,ap@eastcreekcafe.com,XX-XXX3496,USD,Net 30,Inactive,11/27/2015
C-0168,Red Creek Provisions,7855 NE Alberta St,Bellevue,WA,98092,US,ap@redcreekprovisions.com,XX-XXX5824,USD,Net 30,Inactive,02/16/2013
C-0169,High Summit Cafe,5644 Market St,Eugene,OR,97465,US,ap@highsummitcafe.com,XX-XXX1390,USD,Net 30,Inactive,12/01/2014
C-0170,Big Spring Grocery,599 Center St,Seattle,WA,98135,US,ap@bigspringgrocery.com,XX-XXX3528,USD,Net 30,Inactive,03/04/2009
C-0171,Dune Cantina,1576 Capitol Blvd,Lake Oswego,OR,97017,US,billing@dunecantina.com,XX-XXX1632,USD,Net 15,Active,04/20/2021
C-0172,Driftless Tavern,9354 Evergreen Pkwy,Hillsboro,OR,97123,US,billing@driftlesstavern.com,XX-XXX9575,USD,Net 15,Active,07/15/2017
C-0173,Misty Meadow Grocery,278 W Idaho St,Idaho Falls,ID,83491,US,ap@mistymeadowgrocery.com,XX-XXX1937,USD,Net 30,Inactive,04/12/2014
C-0174,High Hollow Grocery,2431 W Idaho St,Gresham,OR,97057,US,ap@highhollowgrocery.com,XX-XXX4997,USD,Net 30,Inactive,02/12/2017
C-0175,Lone Meadow Provisions,534 Center St,Tacoma,WA,98408,US,ap@lonemeadowprovisio.com,XX-XXX1535,USD,Net 30,Inactive,07/23/2016
C-0177,Quarterdeck Tavern,6657 Pacific Ave,Corvallis,OR,97331,US,billing@quarterdecktavern.com,XX-XXX6711,USD,Net 15,Active,09/18/2014
C-0178,South Canyon Provisions,4533 N Mississippi Ave,Seattle,WA,98173,US,ap@southcanyonprovisi.com,XX-XXX1716,USD,Net 30,Inactive,08/25/2017
C-0179,South Lake Bistro,5322 Market St,Salem,OR,97307,US,ap@southlakebistro.com,XX-XXX7902,USD,Net 30,Inactive,09/30/2018
C-0180,Low Creek Bistro,6512 Oak St,Corvallis,OR,97377,US,ap@lowcreekbistro.com,XX-XXX9372,USD,Net 30,Inactive,05/23/2021
