Posted Date,Description,Amount,Balance,Reference
2026-01-06,REMOTE DEPOSIT CAPTURE,2350.59,724053.53,9008
2026-01-06,ACH CREDIT FOXGLOVE MARKET PPD,26178.70,750232.23,168694778252442
2026-01-06,REMOTE DEPOSIT CAPTURE,962.88,751195.11,7998
2026-01-07,REMOTE DEPOSIT CAPTURE,20348.26,771543.37,3708
2026-01-07,ACH CREDIT HERON CAFE PPD,3147.29,774690.66,173373622366838
2026-01-07,ACH CREDIT COPPERLEAF BRASS PPD,2611.00,777301.66,987970167193563
2026-01-07,ACH CREDIT ELK ROCK PROVISI PPD,18467.16,795768.82,942449614438401
2026-01-07,REMOTE DEPOSIT CAPTURE,19621.81,815390.63,4958
2026-01-07,REMOTE DEPOSIT CAPTURE,831.13,816221.76,6786
2026-01-07,REMOTE DEPOSIT CAPTURE,1699.41,817921.17,2510
2026-01-07,ACH CREDIT ROOKERY CAFE PPD,1868.44,819789.61,611634349648355
2026-01-07,REMOTE DEPOSIT CAPTURE,2476.93,822266.54,4753
2026-01-08,REMOTE DEPOSIT CAPTURE,2851.99,825118.53,4382
2026-01-08,ACH CREDIT PARSNIP PIZZERIA PPD,3529.77,828648.30,146074218655191
2026-01-08,ACH CREDIT JUNIPER HILL FOO PPD,22982.46,851630.76,653038461301428
2026-01-08,REMOTE DEPOSIT CAPTURE,3227.86,854858.62,9363
2026-01-08,ACH CREDIT KINFOLK PIZZERIA PPD,1118.19,855976.81,827463473534964
2026-01-08,REMOTE DEPOSIT CAPTURE,27626.10,883602.91,2835
2026-01-08,ACH CREDIT VASHON ISLAND MA PPD,12339.91,895942.82,465220019609778
2026-01-08,REMOTE DEPOSIT CAPTURE,2525.93,898468.75,6923
2026-01-08,ACH CREDIT IRONCLAD BRASSER PPD,3271.05,901739.80,350577588093218
2026-01-08,REMOTE DEPOSIT CAPTURE,2224.26,903964.06,3901
2026-01-08,ACH CREDIT ROSE CITY MARKET PPD,21035.01,924999.07,111721081599229
2026-01-08,REMOTE DEPOSIT CAPTURE,2141.60,927140.67,7043
2026-01-08,ACH CREDIT BELMONT NATURAL  PPD,16033.40,943174.07,539348509689631
2026-01-08,ACH DEBIT ROGUE VALLEY CHEES CCD,-7605.70,935568.37,283080562163607
2026-01-08,ACH DEBIT MT. HOOD BERRY FAR CCD,-10765.21,924803.16,319173190035703
2026-01-08,ACH DEBIT COWLITZ CREEK FARM CCD,-11282.31,913520.85,914786650689148
2026-01-08,ACH DEBIT NOOKSACK BERRY GRO CCD,-22202.51,891318.34,959020448504076
2026-01-08,ACH DEBIT YAKIMA HOP & HERB CCD,-11437.23,879881.11,133882467226967
2026-01-08,ACH DEBIT CHEHALIS VALLEY EG CCD,-7615.80,872265.31,533081267169472
2026-01-08,ACH DEBIT METHOW VALLEY APPL CCD,-10255.29,862010.02,460286965825901
2026-01-08,ACH DEBIT CHINOOK SMOKEHOUSE CCD,-16316.78,845693.24,970285804340982
2026-01-08,ACH DEBIT TREASURE VALLEY TR CCD,-1969.34,843723.90,827544462426334
2026-01-08,ACH DEBIT LUMMI BAY SEAFOOD CCD,-12871.67,830852.23,652323992730458
2026-01-08,ACH DEBIT TETON VALLEY TROUT CCD,-4161.25,826690.98,824357992050415
2026-01-08,ACH DEBIT PAYETTE VALLEY BEE CCD,-16385.69,810305.29,152002098539065
2026-01-08,ACH DEBIT BOARDMAN TREE FRUI CCD,-23664.58,786640.71,114929259790686
2026-01-08,ACH DEBIT HOOD CANAL OYSTER  CCD,-6073.06,780567.65,731701672531483
2026-01-08,ACH DEBIT WALLOWA GRASS-FED  CCD,-8868.25,771699.40,878195903059608
2026-01-08,ACH DEBIT COLUMBIA GORGE ORC CCD,-11063.35,760636.05,827592443978140
2026-01-08,ACH DEBIT PALOUSE LENTIL GRO CCD,-6757.39,753878.66,988685909567338
2026-01-08,ACH DEBIT HERMISTON MELON FA CCD,-4793.81,749084.85,194376934651107
2026-01-08,ACH DEBIT UMPQUA OAT MILL CCD,-5961.75,743123.10,821873518717657
2026-01-09,REMOTE DEPOSIT CAPTURE,15991.86,759114.96,6245
2026-01-09,ACH CREDIT WREN NOODLE HOUS PPD,3225.33,762340.29,459111046389318
2026-01-09,ACH CREDIT ALDER STREET MAR PPD,21180.62,783520.91,787933537875024
2026-01-09,FIRST CASCADE LOAN PMT 7719,-6326.20,777194.71,
2026-01-12,REMOTE DEPOSIT CAPTURE,1814.84,779009.55,4639
2026-01-12,REMOTE DEPOSIT CAPTURE,11070.08,790079.63,6069
2026-01-12,ACH CREDIT BELLWETHER TAVER PPD,1361.95,791441.58,549587378667929
2026-01-12,REMOTE DEPOSIT CAPTURE,17381.87,808823.45,8164
2026-01-12,ACH CREDIT YAKIMA ORCHARD M PPD,21368.66,830192.11,381208384018368
2026-01-12,ACH CREDIT KEEL SMOKEHOUSE PPD,2044.03,832236.14,818266573613920
2026-01-12,REMOTE DEPOSIT CAPTURE,1516.99,833753.13,3457
2026-01-12,ACH CREDIT PIONEER SQUARE P PPD,22257.49,856010.62,896612227865674
2026-01-12,REMOTE DEPOSIT CAPTURE,1518.35,857528.97,8868
2026-01-12,ACH CREDIT GULL EATERY PPD,3461.44,860990.41,460619124869921
2026-01-12,ACH CREDIT OWYHEE MERCANTIL PPD,12011.91,873002.32,704979175867927
2026-01-12,ACH CREDIT SAWTOOTH NATURAL PPD,15415.38,888417.70,631882560715361
2026-01-12,REMOTE DEPOSIT CAPTURE,3748.06,892165.76,4338
2026-01-12,ACH CREDIT JETTY TAVERN PPD,1830.73,893996.49,329317218107106
2026-01-12,ACH CREDIT HOLLOW NOODLE HO PPD,1922.99,895919.48,374954926763582
2026-01-12,REMOTE DEPOSIT CAPTURE,12652.18,908571.66,6521
2026-01-12,ACH CREDIT ZEPHYR BAKERY PPD,3299.21,911870.87,156633269317995
2026-01-12,REMOTE DEPOSIT CAPTURE,1449.33,913320.20,2073
2026-01-12,REMOTE DEPOSIT CAPTURE,24680.05,938000.25,8611
2026-01-12,REMOTE DEPOSIT CAPTURE,1847.44,939847.69,6808
2026-01-12,REMOTE DEPOSIT CAPTURE,2300.54,942148.23,5858
2026-01-12,ACH CREDIT IRONWOOD GROCERY PPD,13992.68,956140.91,861155886719051
2026-01-12,REMOTE DEPOSIT CAPTURE,28574.96,984715.87,2057
2026-01-12,ACH CREDIT FILBERT & OAK MA PPD,14880.52,999596.39,759578019523260
2026-01-12,ACH CREDIT UMPQUA VALLEY FO PPD,19779.29,1019375.68,124077986505364
2026-01-12,REMOTE DEPOSIT CAPTURE,16478.73,1035854.41,837
2026-01-12,ACH CREDIT BASALT GRILL PPD,3292.47,1039146.88,429059870824876
2026-01-12,ACH CREDIT KESTREL MARKET H PPD,11895.59,1051042.47,461964576901672
2026-01-12,CHECK 40113,-11303.18,1039739.29,40113
2026-01-12,CHECK 40114,-9246.62,1030492.67,40114
2026-01-12,CHECK 40120,-8671.25,1021821.42,40120
2026-01-13,ACH CREDIT GABLE BRASSERIE PPD,2609.75,1024431.17,829430648261701
2026-01-13,REMOTE DEPOSIT CAPTURE,24744.11,1049175.28,5311
2026-01-13,REMOTE DEPOSIT CAPTURE,18008.51,1067183.79,3975
2026-01-13,CHECK 40115,-9945.83,1057237.96,40115
2026-01-14,ACH CREDIT FIDDLEHEAD TAPRO PPD,1501.38,1058739.34,573831024992139
2026-01-14,REMOTE DEPOSIT CAPTURE,3336.33,1062075.67,2772
2026-01-14,REMOTE DEPOSIT CAPTURE,2434.19,1064509.86,9919
2026-01-14,REMOTE DEPOSIT CAPTURE,3626.31,1068136.17,8114
2026-01-14,ACH CREDIT OXBOW SMOKEHOUSE PPD,1634.93,1069771.10,681290768664236
2026-01-14,ACH CREDIT DOGWOOD BISTRO PPD,2744.02,1072515.12,348165140217302
2026-01-14,CHECK 40112,-5952.68,1066562.44,40112
2026-01-14,CHECK 40119,-21887.18,1044675.26,40119
2026-01-15,ACH CREDIT GORGE VALLEY CO- PPD,24120.85,1068796.11,452855269257833
2026-01-15,ACH CREDIT HUCKLEBERRY GRIL PPD,1870.53,1070666.64,710856331633948
2026-01-15,ACH CREDIT DESCHUTES FOOD H PPD,22488.49,1093155.13,790591562558957
2026-01-15,CHECK 40110,-3886.60,1089268.53,40110
2026-01-15,CHECK 40111,-13627.78,1075640.75,40111
2026-01-15,CHECK 40118,-17083.97,1058556.78,40118
2026-01-15,ACH DEBIT DESCHUTES BREWING  CCD,-26029.43,1032527.35,890968458507050
2026-01-15,ACH DEBIT PUGET SOUND SHELLF CCD,-21004.01,1011523.34,123151309676672
2026-01-15,ACH DEBIT MT. HOOD BERRY FAR CCD,-13075.67,998447.67,485117584514317
2026-01-15,ACH DEBIT COWLITZ CREEK FARM CCD,-13965.35,984482.32,018752749210403
2026-01-15,ACH DEBIT COLUMBIA RIVER FRE CCD,-4333.52,980148.80,672832390006028
2026-01-15,ACH DEBIT NOOKSACK BERRY GRO CCD,-9984.38,970164.42,683816074868270
2026-01-15,ACH DEBIT YAKIMA HOP & HERB CCD,-15060.74,955103.68,758409921436182
2026-01-15,ACH DEBIT WALLA WALLA ONION  CCD,-10450.76,944652.92,878640463846208
2026-01-15,ACH DEBIT CHEHALIS VALLEY EG CCD,-8979.66,935673.26,983689103696216
2026-01-15,ACH DEBIT NORTHWEST REEFER T CCD,-3696.71,931976.55,855491862316825
2026-01-15,ACH DEBIT METHOW VALLEY APPL CCD,-10961.48,921015.07,756141588912332
2026-01-15,ACH DEBIT SOUND CARTAGE CO. CCD,-2753.49,918261.58,520684365889961
2026-01-15,ACH DEBIT TREASURE VALLEY TR CCD,-3311.82,914949.76,946513707856085
2026-01-15,ACH DEBIT SIUSLAW CRANBERRY  CCD,-13692.32,901257.44,608486024066481
2026-01-15,ACH DEBIT BITTERROOT BAKEHOU CCD,-7623.31,893634.13,270913086966708
2026-01-15,ACH DEBIT MCKENZIE RIVER MIL CCD,-17719.24,875914.89,552039105671248
2026-01-15,ACH DEBIT SNAKE RIVER TROUT  CCD,-27680.53,848234.36,892192790693612
2026-01-15,ACH DEBIT COQUILLE DAIRY COO CCD,-5468.04,842766.32,720465797516197
2026-01-15,ACH DEBIT COLUMBIA GORGE ORC CCD,-10340.97,832425.35,221563762039687
2026-01-15,ACH DEBIT PALOUSE LENTIL GRO CCD,-15444.69,816980.66,401433462894935
2026-01-15,ACH DEBIT HERMISTON MELON FA CCD,-6972.18,810008.48,466677620196455
2026-01-15,PINNACLE PAYROLL SVCS PAYROLL DD,-162865.84,647142.64,
2026-01-16,REMOTE DEPOSIT CAPTURE,14062.61,661205.25,7484
2026-01-16,REMOTE DEPOSIT CAPTURE,3010.78,664216.03,9913
2026-01-16,ACH CREDIT WHIDBEY HARVEST  PPD,25975.29,690191.32,601347107147236
2026-01-16,ACH CREDIT FOXGLOVE MARKET PPD,16079.74,706271.06,035544292930672
2026-01-16,ACH CREDIT DRIFTWOOD PANTRY PPD,25069.42,731340.48,949108025952138
2026-01-16,CHECK 40109,-3013.46,728327.02,40109
2026-01-16,CHECK 40116,-11725.95,716601.07,40116
2026-01-16,CHECK 40117,-9292.03,707309.04,40117
2026-01-19,REMOTE DEPOSIT CAPTURE,1583.62,708892.66,6492
2026-01-19,REMOTE DEPOSIT CAPTURE,2529.64,711422.30,2779
2026-01-19,REMOTE DEPOSIT CAPTURE,25533.85,736956.15,190
2026-01-19,ACH CREDIT WHIDBEY HARVEST  PPD,28391.28,765347.43,180651927606279
2026-01-19,REMOTE DEPOSIT CAPTURE,11661.91,777009.34,9108
2026-01-19,ACH CREDIT JUBILEE CANTINA PPD,778.29,777787.63,188896233102354
2026-01-19,ACH CREDIT ELK ROCK PROVISI PPD,16708.78,794496.41,375962407225069
2026-01-19,REMOTE DEPOSIT CAPTURE,1466.70,795963.11,1144
2026-01-19,REMOTE DEPOSIT CAPTURE,3812.89,799776.00,4883
2026-01-19,REMOTE DEPOSIT CAPTURE,1293.22,801069.22,4519
2026-01-19,REMOTE DEPOSIT CAPTURE,11542.68,812611.90,5835
2026-01-19,REMOTE DEPOSIT CAPTURE,863.93,813475.83,2934
2026-01-19,REMOTE DEPOSIT CAPTURE,3242.64,816718.47,8295
2026-01-19,REMOTE DEPOSIT CAPTURE,1876.35,818594.82,6465
2026-01-19,REMOTE DEPOSIT CAPTURE,25057.19,843652.01,9466
2026-01-19,ACH CREDIT DOVETAIL TAPROOM PPD,2076.85,845728.86,012825307538013
2026-01-19,ACH CREDIT FILBERT & OAK MA PPD,27887.86,873616.72,089927580633966
2026-01-19,ACH CREDIT UMPQUA VALLEY FO PPD,21040.73,894657.45,359187276633855
2026-01-19,REMOTE DEPOSIT CAPTURE,19905.22,914562.67,4251
2026-01-19,ACH CREDIT DESCHUTES FOOD H PPD,23421.31,937983.98,220693202087756
2026-01-19,CHECK 40125,-6520.07,931463.91,40125
2026-01-19,CHECK 40126,-24549.62,906914.29,40126
2026-01-20,REMOTE DEPOSIT CAPTURE,12453.02,919367.31,8104
2026-01-20,REMOTE DEPOSIT CAPTURE,1981.70,921349.01,9953
2026-01-20,ACH CREDIT ALDER STREET MAR PPD,12453.75,933802.76,577596758008262
2026-01-20,REMOTE DEPOSIT CAPTURE,3434.88,937237.64,9303
2026-01-20,CHECK 40124,-21514.41,915723.23,40124
2026-01-21,ACH CREDIT RIVERBEND NATURA PPD,28235.12,943958.35,420892168675534
2026-01-21,REMOTE DEPOSIT CAPTURE,3600.10,947558.45,2101
2026-01-21,REMOTE DEPOSIT CAPTURE,24793.84,972352.29,8099
2026-01-21,ACH CREDIT OBSIDIAN GRILL PPD,1842.72,974195.01,396507794274792
2026-01-21,REMOTE DEPOSIT CAPTURE,2321.36,976516.37,6731
2026-01-21,ACH CREDIT MOUNTAIN GROCERS PPD,27367.32,1003883.69,326934336395752
2026-01-21,ACH CREDIT BELMONT NATURAL  PPD,20507.05,1024390.74,181682135644516
2026-01-21,CHECK 40121,-10441.53,1013949.21,40121
2026-01-21,CHECK 40128,-14115.71,999833.50,40128
2026-01-22,REMOTE DEPOSIT CAPTURE,1954.82,1001788.32,6279
2026-01-22,REMOTE DEPOSIT CAPTURE,2342.22,1004130.54,5255
2026-01-22,ACH CREDIT MADRONA FOOD CO- PPD,22250.98,1026381.52,540470868184546
2026-01-22,ACH CREDIT ROOKERY CAFE PPD,4063.79,1030445.31,936533242421874
2026-01-22,CHECK 40123,-8642.47,1021802.84,40123
2026-01-22,CHECK 40127,-9690.36,1012112.48,40127
2026-01-22,CHECK 40129,-8509.11,1003603.37,40129
2026-01-22,ACH DEBIT CLEARWATER CREAMER CCD,-9881.12,993722.25,811482270376045
2026-01-22,ACH DEBIT RIDGELINE EXPRESS CCD,-1898.65,991823.60,114903650949459
2026-01-22,ACH DEBIT ROGUE VALLEY CHEES CCD,-3844.97,987978.63,115835775711592
2026-01-22,ACH DEBIT COWLITZ CREEK FARM CCD,-4159.33,983819.30,511478439280023
2026-01-22,ACH DEBIT WALLA WALLA ONION  CCD,-11214.25,972605.05,417775112369088
2026-01-22,ACH DEBIT NORTHWEST REEFER T CCD,-3110.62,969494.43,872550766665067
2026-01-22,ACH DEBIT METHOW VALLEY APPL CCD,-14926.64,954567.79,663334017277900
2026-01-22,ACH DEBIT NEWBERG NUT GROWER CCD,-11217.69,943350.10,238901902415665
2026-01-22,ACH DEBIT COLUMBIA BASIN WAT CCD,-438.03,942912.07,881952831732882
2026-01-22,ACH DEBIT WILLAMETTE VALLEY  CCD,-7555.97,935356.10,809353066333898
2026-01-22,ACH DEBIT UMPQUA OAT MILL CCD,-10529.88,924826.22,681863542758205
2026-01-23,REMOTE DEPOSIT CAPTURE,3190.25,928016.47,9504
2026-01-23,ACH CREDIT MOSSY ROCK TAPRO PPD,3288.23,931304.70,339182660761781
2026-01-23,ACH CREDIT KESTREL MARKET H PPD,25849.00,957153.70,866355611666005
2026-01-23,CHECK 40122,-5995.27,951158.43,40122
2026-01-23,FIRST CASCADE LOC INTEREST 5512,-5175.00,945983.43,
2026-01-23,FIRST CASCADE LOC ADVANCE 5512,55000.00,1000983.43,
2026-01-26,REMOTE DEPOSIT CAPTURE,16152.03,1017135.46,3183
2026-01-26,ACH CREDIT PARSNIP PIZZERIA PPD,1168.41,1018303.87,015734455292666
2026-01-26,ACH CREDIT YAKIMA ORCHARD M PPD,25875.31,1044179.18,214553938886298
2026-01-26,REMOTE DEPOSIT CAPTURE,910.83,1045090.01,5398
2026-01-26,ACH CREDIT GORGE VALLEY CO- PPD,14459.21,1059549.22,710622689177281
2026-01-26,ACH CREDIT VASHON ISLAND MA PPD,28408.48,1087957.70,493860893595306
2026-01-26,ACH CREDIT HAWTHORNE FRESH  PPD,26764.42,1114722.12,136384875354276
2026-01-26,REMOTE DEPOSIT CAPTURE,28571.94,1143294.06,3554
2026-01-26,REMOTE DEPOSIT CAPTURE,22397.64,1165691.70,1704
2026-01-26,ACH CREDIT ROSE CITY MARKET PPD,14939.30,1180631.00,820899884698203
2026-01-26,ACH CREDIT IRONWOOD GROCERY PPD,13178.94,1193809.94,875065296521406
2026-01-26,ACH CREDIT UPROOT CAFE PPD,1539.17,1195349.11,333276458363869
2026-01-26,REMOTE DEPOSIT CAPTURE,14264.15,1209613.26,4622
2026-01-26,ACH CREDIT IRIS TAPROOM PPD,1593.98,1211207.24,999354758399799
2026-01-26,REMOTE DEPOSIT CAPTURE,3788.52,1214995.76,8558
2026-01-26,CHECK 40131,-7884.64,1207111.12,40131
2026-01-26,CHECK 40133,-15348.83,1191762.29,40133
2026-01-26,CHECK 40134,-14155.18,1177607.11,40134
2026-01-26,CHECK 40138,-2086.35,1175520.76,40138
2026-01-26,CHECK 40139,-7628.58,1167892.18,40139
2026-01-27,ACH CREDIT OWYHEE MERCANTIL PPD,21083.67,1188975.85,610028158938326
2026-01-27,CHECK 40136,-6941.21,1182034.64,40136
2026-01-28,REMOTE DEPOSIT CAPTURE,4001.12,1186035.76,9783
2026-01-28,REMOTE DEPOSIT CAPTURE,2711.03,1188746.79,2163
2026-01-28,ACH CREDIT DRIFTWOOD PANTRY PPD,11041.27,1199788.06,681139633075095
2026-01-28,ACH CREDIT KESTREL MARKET H PPD,25029.58,1224817.64,094814720662534
2026-01-28,CHECK 40130,-11650.98,1213166.66,40130
2026-01-28,CHECK 40132,-6233.95,1206932.71,40132
2026-01-29,ACH CREDIT ASTER KITCHEN PPD,3906.86,1210839.57,644479064406774
2026-01-29,REMOTE DEPOSIT CAPTURE,3987.49,1214827.06,9545
2026-01-29,ACH CREDIT PIONEER SQUARE P PPD,27932.99,1242760.05,100440475524075
2026-01-29,REMOTE DEPOSIT CAPTURE,2201.87,1244961.92,1688
2026-01-29,ACH CREDIT ALDER STREET MAR PPD,12093.45,1257055.37,253585317936203
2026-01-29,REMOTE DEPOSIT CAPTURE,21761.02,1278816.39,2963
2026-01-29,CHECK 40135,-5841.33,1272975.06,40135
2026-01-29,CHECK 40137,-11506.30,1261468.76,40137
2026-01-29,ACH DEBIT CLEARWATER CREAMER CCD,-8614.00,1252854.76,065218631862578
2026-01-29,ACH DEBIT PACIFIC COAST PACK CCD,-3084.45,1249770.31,434484035586538
2026-01-29,ACH DEBIT RIDGELINE EXPRESS CCD,-2229.66,1247540.65,837260073037956
2026-01-29,ACH DEBIT PUGET SOUND SHELLF CCD,-10579.53,1236961.12,746084701443989
2026-01-29,ACH DEBIT COLUMBIA RIVER FRE CCD,-1992.36,1234968.76,564439374467531
2026-01-29,ACH DEBIT NOOKSACK BERRY GRO CCD,-25407.21,1209561.55,640800648475469
2026-01-29,ACH DEBIT YAKIMA HOP & HERB CCD,-11556.30,1198005.25,745292401405586
2026-01-29,ACH DEBIT WALLA WALLA ONION  CCD,-5897.00,1192108.25,341450103807425
2026-01-29,ACH DEBIT PACIFIC FLEET FUEL CCD,-2680.02,1189428.23,217530156586193
2026-01-29,ACH DEBIT SALEM PALLET RECYC CCD,-459.94,1188968.29,802243571370845
2026-01-29,ACH DEBIT CHEHALIS VALLEY EG CCD,-4037.95,1184930.34,922390067604881
2026-01-29,ACH DEBIT EMERALD CITY COLD  CCD,-3808.52,1181121.82,919140548171327
2026-01-29,ACH DEBIT PORTLAND GENERAL U CCD,-1263.51,1179858.31,606638819042537
2026-01-29,ACH DEBIT PINNACLE PAYROLL S CCD,-355.83,1179502.48,219363019651369
2026-01-29,ACH DEBIT CHINOOK SMOKEHOUSE CCD,-11425.77,1168076.71,710498199609576
2026-01-29,ACH DEBIT TREASURE VALLEY TR CCD,-2406.25,1165670.46,418997090527581
2026-01-29,ACH DEBIT LUMMI BAY SEAFOOD CCD,-8765.25,1156905.21,635320512926493
2026-01-29,ACH DEBIT BITTERROOT BAKEHOU CCD,-8870.01,1148035.20,025701004902904
2026-01-29,ACH DEBIT MCKENZIE RIVER MIL CCD,-11370.22,1136664.98,761610227008007
2026-01-29,ACH DEBIT NEWBERG NUT GROWER CCD,-14063.71,1122601.27,935946114402364
2026-01-29,ACH DEBIT TETON VALLEY TROUT CCD,-11012.63,1111588.64,390058019916890
2026-01-29,ACH DEBIT PAYETTE VALLEY BEE CCD,-15481.05,1096107.59,142385071113301
2026-01-29,ACH DEBIT BOARDMAN TREE FRUI CCD,-15169.47,1080938.12,272997275159577
2026-01-29,ACH DEBIT WALLOWA GRASS-FED  CCD,-8022.58,1072915.54,616706631167322
2026-01-29,ACH DEBIT PALOUSE LENTIL GRO CCD,-11263.45,1061652.09,908388078020288
2026-01-29,ACH DEBIT HERMISTON MELON FA CCD,-15781.51,1045870.58,515606918913620
2026-01-29,ACH DEBIT UMPQUA OAT MILL CCD,-9615.02,1036255.56,457360249863616
2026-01-29,ACH DEBIT EVERGREEN BOX & FI CCD,-1708.04,1034547.52,728594678104186
2026-01-30,ACH CREDIT JUNIPER HILL FOO PPD,14839.25,1049386.77,545546877904688
2026-01-30,REMOTE DEPOSIT CAPTURE,27137.61,1076524.38,9730
2026-01-30,ACH CREDIT SAWTOOTH NATURAL PPD,25261.60,1101785.98,083591582100708
2026-01-30,ACH CREDIT UMPQUA VALLEY FO PPD,26008.67,1127794.65,696378786070160
2026-01-30,CHECK 40140,-29321.33,1098473.32,40140
2026-01-30,PINNACLE PAYROLL SVCS PAYROLL DD,-145703.14,952770.18,
2026-01-30,MONTHLY MAINTENANCE FEE,-45.00,952725.18,
2026-02-02,REMOTE DEPOSIT CAPTURE,27972.04,980697.22,5543
2026-02-02,REMOTE DEPOSIT CAPTURE,2035.41,982732.63,2676
2026-02-02,REMOTE DEPOSIT CAPTURE,1842.58,984575.21,1473
2026-02-02,REMOTE DEPOSIT CAPTURE,3222.66,987797.87,185
2026-02-02,ACH CREDIT DRIFTWOOD PANTRY PPD,20472.56,1008270.43,357072111933586
2026-02-02,ACH CREDIT BELMONT NATURAL  PPD,28638.45,1036908.88,607819506102093
2026-02-02,CHECK 40143,-567.58,1036341.30,40143
2026-02-02,CHECK 40147,-11566.44,1024774.86,40147
2026-02-02,CHECK 40149,-7463.12,1017311.74,40149
2026-02-02,ACH DEBIT GOWEN FIELD COMMER CCD,-4875.00,1012436.74,421547101647700
2026-02-02,ACH DEBIT LOMBARD STREET PRO CCD,-8500.00,1003936.74,067960153410790
2026-02-02,ACH DEBIT DUWAMISH INDUSTRIA CCD,-6420.00,997516.74,211227307316761
2026-02-03,REMOTE DEPOSIT CAPTURE,1458.71,998975.45,8991
2026-02-03,ACH CREDIT GREENHOUSE BISTR PPD,1456.28,1000431.73,487609759564742
2026-02-03,REMOTE DEPOSIT CAPTURE,766.13,1001197.86,41
2026-02-03,REMOTE DEPOSIT CAPTURE,23128.67,1024326.53,6799
2026-02-03,ACH CREDIT HUCKLEBERRY GRIL PPD,3908.37,1028234.90,378494066174890
2026-02-03,ACH CREDIT DOGWOOD BISTRO PPD,2745.65,1030980.55,651233599267785
2026-02-03,CHECK 40154,-13567.11,1017413.44,40154
2026-02-03,CHECK 40155,-14788.72,1002624.72,40155
2026-02-04,ACH CREDIT YAKIMA ORCHARD M PPD,17495.31,1020120.03,152722713210715
2026-02-04,REMOTE DEPOSIT CAPTURE,15796.67,1035916.70,7563
2026-02-04,ACH CREDIT SAWTOOTH NATURAL PPD,23804.64,1059721.34,254443423078121
2026-02-04,REMOTE DEPOSIT CAPTURE,2245.15,1061966.49,4362
2026-02-04,ACH CREDIT DOVETAIL TAPROOM PPD,2703.42,1064669.91,315383228809849
2026-02-04,REMOTE DEPOSIT CAPTURE,22415.61,1087085.52,9668
2026-02-04,CHECK 40141,-14638.22,1072447.30,40141
2026-02-04,CHECK 40148,-10321.62,1062125.68,40148
2026-02-04,CHECK 40151,-5554.82,1056570.86,40151
2026-02-04,CHECK 40152,-10544.58,1046026.28,40152
2026-02-05,REMOTE DEPOSIT CAPTURE,3322.48,1049348.76,363
2026-02-05,ACH CREDIT VASHON ISLAND MA PPD,11566.90,1060915.66,299851927964256
2026-02-05,ACH CREDIT DRIFTLESS TAVERN PPD,3301.33,1064216.99,881690605667815
2026-02-05,REMOTE DEPOSIT CAPTURE,11041.55,1075258.54,2798
2026-02-05,REMOTE DEPOSIT CAPTURE,2680.20,1077938.74,8626
2026-02-05,REMOTE DEPOSIT CAPTURE,3285.65,1081224.39,2043
2026-02-05,CHECK 40142,-3966.40,1077257.99,40142
2026-02-05,CHECK 40144,-7429.25,1069828.74,40144
2026-02-05,CHECK 40146,-10575.43,1059253.31,40146
