Date,Currency Pair,Rate
2026-04-25,EUR/USD,1.0951
2026-04-26,EUR/USD,1.0956
2026-04-27,EUR/USD,1.0957
2026-04-28,EUR/USD,1.0968
2026-04-29,EUR/USD,1.0973
2026-04-30,EUR/USD,1.0995
2026-05-01,EUR/USD,1.0990
2026-05-02,EUR/USD,1.1002
2026-05-03,EUR/USD,1.1008
2026-05-04,EUR/USD,1.1015
2026-05-05,EUR/USD,1.1029
2026-05-06,EUR/USD,1.1035
2026-05-07,EUR/USD,1.1059
2026-05-08,EUR/USD,1.1066
2026-05-09,EUR/USD,1.1068
2026-05-10,EUR/USD,1.1090
2026-05-11,EUR/USD,1.1096
2026-05-12,EUR/USD,1.1098
2026-05-13,EUR/USD,1.1120
2026-05-14,EUR/USD,1.1120
2026-05-15,EUR/USD,1.1116
2026-05-16,EUR/USD,1.1118
2026-05-17,EUR/USD,1.1109
2026-05-18,EUR/USD,1.1124
2026-05-19,EUR/USD,1.1109
2026-05-20,EUR/USD,1.1115
2026-05-21,EUR/USD,1.1127
2026-05-22,EUR/USD,1.1114
2026-05-23,EUR/USD,1.1125
2026-05-24,EUR/USD,1.1114
2026-05-25,EUR/USD,1.1123
2026-05-26,EUR/USD,1.1124
2026-05-27,EUR/USD,1.1120
2026-05-28,EUR/USD,1.1116
2026-05-29,EUR/USD,1.1118
2026-05-30,EUR/USD,1.1120
2026-05-31,EUR/USD,1.1124
2026-06-01,EUR/USD,1.1124
2026-06-02,EUR/USD,1.1129
2026-06-03,EUR/USD,1.1112
2026-06-04,EUR/USD,1.1122
2026-06-05,EUR/USD,1.1110
2026-06-06,EUR/USD,1.1131
2026-06-07,EUR/USD,1.1130
2026-06-08,EUR/USD,1.1124
2026-06-09,EUR/USD,1.1112
2026-06-10,EUR/USD,1.1120
2026-06-11,EUR/USD,1.1125
2026-06-12,EUR/USD,1.1119
2026-06-13,EUR/USD,1.1105
2026-06-14,EUR/USD,1.1112
2026-06-15,EUR/USD,1.1102
2026-06-16,EUR/USD,1.1105
2026-06-17,EUR/USD,1.1108
2026-06-18,EUR/USD,1.1103
2026-06-19,EUR/USD,1.1098
2026-06-20,EUR/USD,1.1107
2026-06-21,EUR/USD,1.1093
2026-06-22,EUR/USD,1.1098
2026-06-23,EUR/USD,1.1085
2026-06-24,EUR/USD,1.1083
2026-06-25,EUR/USD,1.1091
2026-06-26,EUR/USD,1.1075
2026-06-27,EUR/USD,1.1089
2026-06-28,EUR/USD,1.1071
2026-06-29,EUR/USD,1.1085
2026-06-30,EUR/USD,1.1083
2026-07-01,EUR/USD,1.1081
2026-07-02,EUR/USD,1.1061
2026-07-03,EUR/USD,1.1071
2026-07-04,EUR/USD,1.1060
2026-07-05,EUR/USD,1.1057
2026-07-06,EUR/USD,1.1057
2026-07-07,EUR/USD,1.1064
2026-07-08,EUR/USD,1.1059
2026-07-09,EUR/USD,1.1063
2026-07-10,EUR/USD,1.1049
2026-07-11,EUR/USD,1.1058
2026-07-12,EUR/USD,1.1056
2026-07-13,EUR/USD,1.1060
2026-07-14,EUR/USD,1.1058
2026-07-15,EUR/USD,1.1045
