Code;Entry;Line;Posted;Period;Module;Document;Party;Text;Amount;Currency;Foreign Amount;Reverses
1010;JNL-00084;1;05.05.2026;05.2026;cash_receipts;S-2026-0018;K-0005;Customer receipt;16.281,76;EUR;;
1010;JNL-00094;2;07.05.2026;05.2026;cash_disbursements;P-2026-0014;L-0004;Supplier payment;-5.663,54;EUR;;
1010;JNL-00087;1;09.05.2026;05.2026;cash_receipts;S-2026-0019;K-0003;Customer receipt;9.450,75;EUR;;
1010;JNL-00096;2;12.05.2026;05.2026;cash_disbursements;P-2026-0015;L-0002;Supplier payment;-4.980,25;EUR;;
1010;JNL-00090;1;13.05.2026;05.2026;cash_receipts;S-2026-0020;K-0007;Customer receipt;26.310,00;EUR;;
1010;JNL-00098;2;21.05.2026;05.2026;cash_disbursements;P-2026-0016;L-0006;Supplier payment;-2.310,00;EUR;;
1010;JNL-00116;2;31.05.2026;05.2026;manual;;;Payroll;-18.750,00;EUR;;
1010;JNL-00131;2;01.06.2026;06.2026;manual;;;Workshop rent;-2.400,00;EUR;;
1010;JNL-00132;2;30.06.2026;06.2026;manual;;;Payroll;-18.750,00;EUR;;
1200;JNL-00001;1;07.01.2026;01.2026;ar;S-2026-0001;K-0001;Invoice;21.400,00;EUR;;
1200;JNL-00004;1;11.01.2026;01.2026;ar;S-2026-0002;K-0002;Invoice;13.980,50;EUR;;
1200;JNL-00007;1;15.01.2026;01.2026;ar;S-2026-0003;K-0005;Invoice;16.105,76;USD;17.600,00;
1200;JNL-00010;1;19.01.2026;01.2026;ar;S-2026-0004;K-0003;Invoice;9.450,75;EUR;;
1200;JNL-00013;1;23.01.2026;01.2026;ar;S-2026-0005;K-0007;Invoice;26.310,00;EUR;;
1200;JNL-00003;2;27.01.2026;01.2026;cash_receipts;S-2026-0001;K-0001;Customer receipt;-21.400,00;EUR;;
1200;JNL-00006;2;31.01.2026;01.2026;cash_receipts;S-2026-0002;K-0002;Customer receipt;-13.980,50;EUR;;
1200;JNL-00009;2;04.02.2026;02.2026;cash_receipts;S-2026-0003;K-0005;Customer receipt;-16.105,76;USD;-17.600,00;
1200;JNL-00026;1;07.02.2026;02.2026;ar;S-2026-0006;K-0001;Invoice;21.400,00;EUR;;
1200;JNL-00012;2;08.02.2026;02.2026;cash_receipts;S-2026-0004;K-0003;Customer receipt;-9.450,75;EUR;;
1200;JNL-00029;1;11.02.2026;02.2026;ar;S-2026-0007;K-0002;Invoice;13.980,50;EUR;;
1200;JNL-00015;2;12.02.2026;02.2026;cash_receipts;S-2026-0005;K-0007;Customer receipt;-26.310,00;EUR;;
1200;JNL-00032;1;15.02.2026;02.2026;ar;S-2026-0008;K-0005;Invoice;16.067,04;USD;17.600,00;
1200;JNL-00035;1;19.02.2026;02.2026;ar;S-2026-0009;K-0003;Invoice;9.450,75;EUR;;
1200;JNL-00038;1;23.02.2026;02.2026;ar;S-2026-0010;K-0007;Invoice;26.310,00;EUR;;
1200;JNL-00028;2;27.02.2026;02.2026;cash_receipts;S-2026-0006;K-0001;Customer receipt;-21.400,00;EUR;;
1200;JNL-00031;2;03.03.2026;03.2026;cash_receipts;S-2026-0007;K-0002;Customer receipt;-13.980,50;EUR;;
1200;JNL-00034;2;07.03.2026;03.2026;cash_receipts;S-2026-0008;K-0005;Customer receipt;-16.067,04;USD;-17.600,00;
1200;JNL-00051;1;07.03.2026;03.2026;ar;S-2026-0011;K-0001;Invoice;21.400,00;EUR;;
1200;JNL-00037;2;11.03.2026;03.2026;cash_receipts;S-2026-0009;K-0003;Customer receipt;-9.450,75;EUR;;
1200;JNL-00054;1;11.03.2026;03.2026;ar;S-2026-0012;K-0002;Invoice;13.980,50;EUR;;
1200;JNL-00040;2;15.03.2026;03.2026;cash_receipts;S-2026-0010;K-0007;Customer receipt;-26.310,00;EUR;;
1200;JNL-00057;1;15.03.2026;03.2026;ar;S-2026-0013;K-0005;Invoice;16.156,80;USD;17.600,00;
1200;JNL-00060;1;19.03.2026;03.2026;ar;S-2026-0014;K-0003;Invoice;9.450,75;EUR;;
1200;JNL-00063;1;23.03.2026;03.2026;ar;S-2026-0015;K-0007;Invoice;26.310,00;EUR;;
1200;JNL-00053;2;27.03.2026;03.2026;cash_receipts;S-2026-0011;K-0001;Customer receipt;-21.400,00;EUR;;
1200;JNL-00056;2;31.03.2026;03.2026;cash_receipts;S-2026-0012;K-0002;Customer receipt;-13.980,50;EUR;;
1200;JNL-00059;2;04.04.2026;04.2026;cash_receipts;S-2026-0013;K-0005;Customer receipt;-16.156,80;USD;-17.600,00;
1200;JNL-00076;1;07.04.2026;04.2026;ar;S-2026-0016;K-0001;Invoice;21.400,00;EUR;;
1200;JNL-00062;2;08.04.2026;04.2026;cash_receipts;S-2026-0014;K-0003;Customer receipt;-9.450,75;EUR;;
1200;JNL-00079;1;11.04.2026;04.2026;ar;S-2026-0017;K-0002;Invoice;13.980,50;EUR;;
1200;JNL-00065;2;12.04.2026;04.2026;cash_receipts;S-2026-0015;K-0007;Customer receipt;-26.310,00;EUR;;
1200;JNL-00082;1;15.04.2026;04.2026;ar;S-2026-0018;K-0005;Invoice;16.246,56;USD;17.600,00;
1200;JNL-00085;1;19.04.2026;04.2026;ar;S-2026-0019;K-0003;Invoice;9.450,75;EUR;;
1200;JNL-00088;1;23.04.2026;04.2026;ar;S-2026-0020;K-0007;Invoice;26.310,00;EUR;;
1200;JNL-00078;2;27.04.2026;04.2026;cash_receipts;S-2026-0016;K-0001;Customer receipt;-21.400,00;EUR;;
1200;JNL-00081;2;01.05.2026;05.2026;cash_receipts;S-2026-0017;K-0002;Customer receipt;-13.980,50;EUR;;
1200;JNL-00084;2;05.05.2026;05.2026;cash_receipts;S-2026-0018;K-0005;Customer receipt;-16.246,56;USD;-17.600,00;
1200;JNL-00101;1;07.05.2026;05.2026;ar;S-2026-0021;K-0001;Invoice;21.400,00;EUR;;
1200;JNL-00087;2;09.05.2026;05.2026;cash_receipts;S-2026-0019;K-0003;Customer receipt;-9.450,75;EUR;;
1200;JNL-00103;1;11.05.2026;05.2026;ar;S-2026-0022;K-0002;Invoice;13.980,50;EUR;;
1200;JNL-00090;2;13.05.2026;05.2026;cash_receipts;S-2026-0020;K-0007;Customer receipt;-26.310,00;EUR;;
1200;JNL-00105;1;15.05.2026;05.2026;ar;S-2026-0023;K-0005;Invoice;16.262,40;USD;17.600,00;
1200;JNL-00107;1;19.05.2026;05.2026;ar;S-2026-0024;K-0003;Invoice;9.450,75;EUR;;
1200;JNL-00109;1;23.05.2026;05.2026;ar;S-2026-0025;K-0007;Invoice;26.310,00;EUR;;
1200;JNL-00117;1;07.06.2026;06.2026;ar;S-2026-0026;K-0001;Invoice;21.400,00;EUR;;
1200;JNL-00119;1;11.06.2026;06.2026;ar;S-2026-0027;K-0002;Invoice;13.980,50;EUR;;
1200;JNL-00121;1;15.06.2026;06.2026;ar;S-2026-0028;K-0005;Invoice;16.352,16;USD;17.600,00;
1200;JNL-00123;1;19.06.2026;06.2026;ar;S-2026-0029;K-0003;Invoice;9.450,75;EUR;;
1200;JNL-00125;1;23.06.2026;06.2026;ar;S-2026-0030;K-0007;Invoice;26.310,00;EUR;;
1300;JNL-00016;1;05.01.2026;01.2026;ap;P-2026-0001;;Goods received;8.420,00;EUR;;
1300;JNL-00002;2;07.01.2026;01.2026;manual;S-2026-0001;;Stock relief;-12.840,00;EUR;;
1300;JNL-00005;2;11.01.2026;01.2026;manual;S-2026-0002;;Stock relief;-8.388,30;EUR;;
1300;JNL-00018;1;12.01.2026;01.2026;ap;P-2026-0002;;Goods received;5.608,80;EUR;;
1300;JNL-00008;2;15.01.2026;01.2026;manual;S-2026-0003;;Stock relief;-9.663,46;EUR;;
1300;JNL-00020;1;17.01.2026;01.2026;ap;P-2026-0003;;Goods received;4.980,25;EUR;;
1300;JNL-00011;2;19.01.2026;01.2026;manual;S-2026-0004;;Stock relief;-5.670,45;EUR;;
1300;JNL-00014;2;23.01.2026;01.2026;manual;S-2026-0005;;Stock relief;-15.786,00;EUR;;
1300;JNL-00022;1;26.01.2026;01.2026;ap;P-2026-0004;;Goods received;2.310,00;EUR;;
1300;JNL-00041;1;05.02.2026;02.2026;ap;P-2026-0005;;Goods received;8.420,00;EUR;;
1300;JNL-00027;2;07.02.2026;02.2026;manual;S-2026-0006;;Stock relief;-12.840,00;EUR;;
1300;JNL-00030;2;11.02.2026;02.2026;manual;S-2026-0007;;Stock relief;-8.388,30;EUR;;
1300;JNL-00043;1;12.02.2026;02.2026;ap;P-2026-0006;;Goods received;5.614,34;EUR;;
1300;JNL-00033;2;15.02.2026;02.2026;manual;S-2026-0008;;Stock relief;-9.640,22;EUR;;
1300;JNL-00045;1;17.02.2026;02.2026;ap;P-2026-0007;;Goods received;4.980,25;EUR;;
1300;JNL-00036;2;19.02.2026;02.2026;manual;S-2026-0009;;Stock relief;-5.670,45;EUR;;
1300;JNL-00039;2;23.02.2026;02.2026;manual;S-2026-0010;;Stock relief;-15.786,00;EUR;;
1300;JNL-00047;1;26.02.2026;02.2026;ap;P-2026-0008;;Goods received;2.310,00;EUR;;
1300;JNL-00066;1;05.03.2026;03.2026;ap;P-2026-0009;;Goods received;8.420,00;EUR;;
1300;JNL-00052;2;07.03.2026;03.2026;manual;S-2026-0011;;Stock relief;-12.840,00;EUR;;
1300;JNL-00055;2;11.03.2026;03.2026;manual;S-2026-0012;;Stock relief;-8.388,30;EUR;;
1300;JNL-00068;1;12.03.2026;03.2026;ap;P-2026-0010;;Goods received;5.645,70;EUR;;
1300;JNL-00058;2;15.03.2026;03.2026;manual;S-2026-0013;;Stock relief;-9.694,08;EUR;;
1300;JNL-00070;1;17.03.2026;03.2026;ap;P-2026-0011;;Goods received;4.980,25;EUR;;
1300;JNL-00061;2;19.03.2026;03.2026;manual;S-2026-0014;;Stock relief;-5.670,45;EUR;;
1300;JNL-00064;2;23.03.2026;03.2026;manual;S-2026-0015;;Stock relief;-15.786,00;EUR;;
1300;JNL-00072;1;26.03.2026;03.2026;ap;P-2026-0012;;Goods received;2.310,00;EUR;;
1300;JNL-00091;1;05.04.2026;04.2026;ap;P-2026-0013;;Goods received;8.420,00;EUR;;
1300;JNL-00077;2;07.04.2026;04.2026;manual;S-2026-0016;;Stock relief;-12.840,00;EUR;;
1300;JNL-00080;2;11.04.2026;04.2026;manual;S-2026-0017;;Stock relief;-8.388,30;EUR;;
1300;JNL-00093;1;12.04.2026;04.2026;ap;P-2026-0014;;Goods received;5.677,06;EUR;;
1300;JNL-00083;2;15.04.2026;04.2026;manual;S-2026-0018;;Stock relief;-9.747,94;EUR;;
1300;JNL-00095;1;17.04.2026;04.2026;ap;P-2026-0015;;Goods received;4.980,25;EUR;;
1300;JNL-00086;2;19.04.2026;04.2026;manual;S-2026-0019;;Stock relief;-5.670,45;EUR;;
1300;JNL-00089;2;23.04.2026;04.2026;manual;S-2026-0020;;Stock relief;-15.786,00;EUR;;
1300;JNL-00097;1;26.04.2026;04.2026;ap;P-2026-0016;;Goods received;2.310,00;EUR;;
1300;JNL-00111;1;05.05.2026;05.2026;ap;P-2026-0017;;Goods received;8.420,00;EUR;;
1300;JNL-00102;2;07.05.2026;05.2026;manual;S-2026-0021;;Stock relief;-12.840,00;EUR;;
1300;JNL-00104;2;11.05.2026;05.2026;manual;S-2026-0022;;Stock relief;-8.388,30;EUR;;
1300;JNL-00112;1;12.05.2026;05.2026;ap;P-2026-0018;;Goods received;5.663,54;EUR;;
1300;JNL-00106;2;15.05.2026;05.2026;manual;S-2026-0023;;Stock relief;-9.757,44;EUR;;
1300;JNL-00113;1;17.05.2026;05.2026;ap;P-2026-0019;;Goods received;4.980,25;EUR;;
1300;JNL-00108;2;19.05.2026;05.2026;manual;S-2026-0024;;Stock relief;-5.670,45;EUR;;
1300;JNL-00110;2;23.05.2026;05.2026;manual;S-2026-0025;;Stock relief;-15.786,00;EUR;;
1300;JNL-00114;1;26.05.2026;05.2026;ap;P-2026-0020;;Goods received;2.310,00;EUR;;
1300;JNL-00127;1;05.06.2026;06.2026;ap;P-2026-0021;;Goods received;8.420,00;EUR;;
1300;JNL-00118;2;07.06.2026;06.2026;manual;S-2026-0026;;Stock relief;-12.840,00;EUR;;
1300;JNL-00120;2;11.06.2026;06.2026;manual;S-2026-0027;;Stock relief;-8.388,30;EUR;;
1300;JNL-00128;1;12.06.2026;06.2026;ap;P-2026-0022;;Goods received;5.713,96;EUR;;
1300;JNL-00122;2;15.06.2026;06.2026;manual;S-2026-0028;;Stock relief;-9.811,30;EUR;;
1300;JNL-00129;1;17.06.2026;06.2026;ap;P-2026-0023;;Goods received;4.980,25;EUR;;
1300;JNL-00124;2;19.06.2026;06.2026;manual;S-2026-0029;;Stock relief;-5.670,45;EUR;;
1300;JNL-00126;2;23.06.2026;06.2026;manual;S-2026-0030;;Stock relief;-15.786,00;EUR;;
1300;JNL-00130;1;26.06.2026;06.2026;ap;P-2026-0024;;Goods received;2.310,00;EUR;;
1400;JNL-00136;2;31.01.2026;01.2026;manual;;;Insurance release;-700,00;EUR;;
1400;JNL-00137;2;28.02.2026;02.2026;manual;;;Insurance release;-700,00;EUR;;
1400;JNL-00138;2;31.03.2026;03.2026;manual;;;Insurance release;-700,00;EUR;;
1400;JNL-00139;2;30.04.2026;04.2026;manual;;;Insurance release;-700,00;EUR;;
1400;JNL-00140;2;31.05.2026;05.2026;manual;;;Insurance release;-700,00;EUR;;
1400;JNL-00141;2;30.06.2026;06.2026;manual;;;Insurance release;-700,00;EUR;;
2000;JNL-00016;2;05.01.2026;01.2026;ap;P-2026-0001;L-0001;Purchase invoice;-8.420,00;EUR;;
2000;JNL-00018;2;12.01.2026;01.2026;ap;P-2026-0002;L-0004;Purchase invoice;-5.608,80;USD;-6.150,00;
2000;JNL-00020;2;17.01.2026;01.2026;ap;P-2026-0003;L-0002;Purchase invoice;-4.980,25;EUR;;
2000;JNL-00022;2;26.01.2026;01.2026;ap;P-2026-0004;L-0006;Purchase invoice;-2.310,00;EUR;;
2000;JNL-00017;1;30.01.2026;01.2026;cash_disbursements;P-2026-0001;L-0001;Supplier payment;8.420,00;EUR;;
2000;JNL-00041;2;05.02.2026;02.2026;ap;P-2026-0005;L-0001;Purchase invoice;-8.420,00;EUR;;
2000;JNL-00019;1;06.02.2026;02.2026;cash_disbursements;P-2026-0002;L-0004;Supplier payment;5.608,80;USD;6.150,00;
2000;JNL-00021;1;11.02.2026;02.2026;cash_disbursements;P-2026-0003;L-0002;Supplier payment;4.980,25;EUR;;
2000;JNL-00043;2;12.02.2026;02.2026;ap;P-2026-0006;L-0004;Purchase invoice;-5.614,34;USD;-6.150,00;
2000;JNL-00045;2;17.02.2026;02.2026;ap;P-2026-0007;L-0002;Purchase invoice;-4.980,25;EUR;;
2000;JNL-00023;1;20.02.2026;02.2026;cash_disbursements;P-2026-0004;L-0006;Supplier payment;2.310,00;EUR;;
2000;JNL-00047;2;26.02.2026;02.2026;ap;P-2026-0008;L-0006;Purchase invoice;-2.310,00;EUR;;
2000;JNL-00042;1;02.03.2026;03.2026;cash_disbursements;P-2026-0005;L-0001;Supplier payment;8.420,00;EUR;;
2000;JNL-00066;2;05.03.2026;03.2026;ap;P-2026-0009;L-0001;Purchase invoice;-8.420,00;EUR;;
2000;JNL-00044;1;09.03.2026;03.2026;cash_disbursements;P-2026-0006;L-0004;Supplier payment;5.614,34;USD;6.150,00;
2000;JNL-00068;2;12.03.2026;03.2026;ap;P-2026-0010;L-0004;Purchase invoice;-5.645,70;USD;-6.150,00;
2000;JNL-00046;1;14.03.2026;03.2026;cash_disbursements;P-2026-0007;L-0002;Supplier payment;4.980,25;EUR;;
2000;JNL-00070;2;17.03.2026;03.2026;ap;P-2026-0011;L-0002;Purchase invoice;-4.980,25;EUR;;
2000;JNL-00048;1;23.03.2026;03.2026;cash_disbursements;P-2026-0008;L-0006;Supplier payment;2.310,00;EUR;;
2000;JNL-00072;2;26.03.2026;03.2026;ap;P-2026-0012;L-0006;Purchase invoice;-2.310,00;EUR;;
2000;JNL-00067;1;30.03.2026;03.2026;cash_disbursements;P-2026-0009;L-0001;Supplier payment;8.420,00;EUR;;
2000;JNL-00091;2;05.04.2026;04.2026;ap;P-2026-0013;L-0001;Purchase invoice;-8.420,00;EUR;;
2000;JNL-00069;1;06.04.2026;04.2026;cash_disbursements;P-2026-0010;L-0004;Supplier payment;5.645,70;USD;6.150,00;
2000;JNL-00071;1;11.04.2026;04.2026;cash_disbursements;P-2026-0011;L-0002;Supplier payment;4.980,25;EUR;;
2000;JNL-00093;2;12.04.2026;04.2026;ap;P-2026-0014;L-0004;Purchase invoice;-5.677,06;USD;-6.150,00;
2000;JNL-00095;2;17.04.2026;04.2026;ap;P-2026-0015;L-0002;Purchase invoice;-4.980,25;EUR;;
2000;JNL-00073;1;20.04.2026;04.2026;cash_disbursements;P-2026-0012;L-0006;Supplier payment;2.310,00;EUR;;
2000;JNL-00097;2;26.04.2026;04.2026;ap;P-2026-0016;L-0006;Purchase invoice;-2.310,00;EUR;;
2000;JNL-00092;1;30.04.2026;04.2026;cash_disbursements;P-2026-0013;L-0001;Supplier payment;8.420,00;EUR;;
2000;JNL-00111;2;05.05.2026;05.2026;ap;P-2026-0017;L-0001;Purchase invoice;-8.420,00;EUR;;
2000;JNL-00094;1;07.05.2026;05.2026;cash_disbursements;P-2026-0014;L-0004;Supplier payment;5.677,06;USD;6.150,00;
2000;JNL-00096;1;12.05.2026;05.2026;cash_disbursements;P-2026-0015;L-0002;Supplier payment;4.980,25;EUR;;
2000;JNL-00112;2;12.05.2026;05.2026;ap;P-2026-0018;L-0004;Purchase invoice;-5.663,54;USD;-6.150,00;
2000;JNL-00113;2;17.05.2026;05.2026;ap;P-2026-0019;L-0002;Purchase invoice;-4.980,25;EUR;;
2000;JNL-00098;1;21.05.2026;05.2026;cash_disbursements;P-2026-0016;L-0006;Supplier payment;2.310,00;EUR;;
2000;JNL-00114;2;26.05.2026;05.2026;ap;P-2026-0020;L-0006;Purchase invoice;-2.310,00;EUR;;
2000;JNL-00127;2;05.06.2026;06.2026;ap;P-2026-0021;L-0001;Purchase invoice;-8.420,00;EUR;;
2000;JNL-00128;2;12.06.2026;06.2026;ap;P-2026-0022;L-0004;Purchase invoice;-5.713,96;USD;-6.150,00;
2000;JNL-00129;2;17.06.2026;06.2026;ap;P-2026-0023;L-0002;Purchase invoice;-4.980,25;EUR;;
2000;JNL-00130;2;26.06.2026;06.2026;ap;P-2026-0024;L-0006;Purchase invoice;-2.310,00;EUR;;
2200;JNL-00134;2;31.03.2026;03.2026;manual;;;March accrual;-1.150,00;EUR;;
2200;JNL-00135;2;01.04.2026;04.2026;manual;;;Reversal of March accrual;1.150,00;EUR;;JNL-00134
4000;JNL-00001;2;07.01.2026;01.2026;ar;S-2026-0001;K-0001;Instrument sales;-21.400,00;EUR;;
4000;JNL-00004;2;11.01.2026;01.2026;ar;S-2026-0002;K-0002;Instrument sales;-12.730,50;EUR;;
4000;JNL-00007;2;15.01.2026;01.2026;ar;S-2026-0003;K-0005;Instrument sales;-16.105,76;EUR;;
4000;JNL-00010;2;19.01.2026;01.2026;ar;S-2026-0004;K-0003;Instrument sales;-9.450,75;EUR;;
4000;JNL-00013;2;23.01.2026;01.2026;ar;S-2026-0005;K-0007;Instrument sales;-23.910,00;EUR;;
4000;JNL-00026;2;07.02.2026;02.2026;ar;S-2026-0006;K-0001;Instrument sales;-21.400,00;EUR;;
4000;JNL-00029;2;11.02.2026;02.2026;ar;S-2026-0007;K-0002;Instrument sales;-12.730,50;EUR;;
4000;JNL-00032;2;15.02.2026;02.2026;ar;S-2026-0008;K-0005;Instrument sales;-16.067,04;EUR;;
4000;JNL-00035;2;19.02.2026;02.2026;ar;S-2026-0009;K-0003;Instrument sales;-9.450,75;EUR;;
4000;JNL-00038;2;23.02.2026;02.2026;ar;S-2026-0010;K-0007;Instrument sales;-23.910,00;EUR;;
4000;JNL-00051;2;07.03.2026;03.2026;ar;S-2026-0011;K-0001;Instrument sales;-21.400,00;EUR;;
4000;JNL-00054;2;11.03.2026;03.2026;ar;S-2026-0012;K-0002;Instrument sales;-12.730,50;EUR;;
4000;JNL-00057;2;15.03.2026;03.2026;ar;S-2026-0013;K-0005;Instrument sales;-16.156,80;EUR;;
4000;JNL-00060;2;19.03.2026;03.2026;ar;S-2026-0014;K-0003;Instrument sales;-9.450,75;EUR;;
4000;JNL-00063;2;23.03.2026;03.2026;ar;S-2026-0015;K-0007;Instrument sales;-23.910,00;EUR;;
4000;JNL-00076;2;07.04.2026;04.2026;ar;S-2026-0016;K-0001;Instrument sales;-21.400,00;EUR;;
4000;JNL-00079;2;11.04.2026;04.2026;ar;S-2026-0017;K-0002;Instrument sales;-12.730,50;EUR;;
4000;JNL-00082;2;15.04.2026;04.2026;ar;S-2026-0018;K-0005;Instrument sales;-16.246,56;EUR;;
4000;JNL-00085;2;19.04.2026;04.2026;ar;S-2026-0019;K-0003;Instrument sales;-9.450,75;EUR;;
4000;JNL-00088;2;23.04.2026;04.2026;ar;S-2026-0020;K-0007;Instrument sales;-23.910,00;EUR;;
4000;JNL-00101;2;07.05.2026;05.2026;ar;S-2026-0021;K-0001;Instrument sales;-21.400,00;EUR;;
4000;JNL-00103;2;11.05.2026;05.2026;ar;S-2026-0022;K-0002;Instrument sales;-12.730,50;EUR;;
4000;JNL-00105;2;15.05.2026;05.2026;ar;S-2026-0023;K-0005;Instrument sales;-16.262,40;EUR;;
4000;JNL-00107;2;19.05.2026;05.2026;ar;S-2026-0024;K-0003;Instrument sales;-9.450,75;EUR;;
4000;JNL-00109;2;23.05.2026;05.2026;ar;S-2026-0025;K-0007;Instrument sales;-23.910,00;EUR;;
4000;JNL-00117;2;07.06.2026;06.2026;ar;S-2026-0026;K-0001;Instrument sales;-21.400,00;EUR;;
4000;JNL-00119;2;11.06.2026;06.2026;ar;S-2026-0027;K-0002;Instrument sales;-12.730,50;EUR;;
4000;JNL-00121;2;15.06.2026;06.2026;ar;S-2026-0028;K-0005;Instrument sales;-16.352,16;EUR;;
4000;JNL-00123;2;19.06.2026;06.2026;ar;S-2026-0029;K-0003;Instrument sales;-9.450,75;EUR;;
4000;JNL-00125;2;23.06.2026;06.2026;ar;S-2026-0030;K-0007;Instrument sales;-23.910,00;EUR;;
4100;JNL-00004;3;11.01.2026;01.2026;ar;S-2026-0002;K-0002;Calibration;-1.250,00;EUR;;
4100;JNL-00013;3;23.01.2026;01.2026;ar;S-2026-0005;K-0007;Calibration;-2.400,00;EUR;;
4100;JNL-00029;3;11.02.2026;02.2026;ar;S-2026-0007;K-0002;Calibration;-1.250,00;EUR;;
4100;JNL-00038;3;23.02.2026;02.2026;ar;S-2026-0010;K-0007;Calibration;-2.400,00;EUR;;
4100;JNL-00054;3;11.03.2026;03.2026;ar;S-2026-0012;K-0002;Calibration;-1.250,00;EUR;;
